frame,time,human_part,human_side,object_part,object_local_id,expected,observed,persistent,rel_static,min_distance_m,surface_gap_m,penetration_depth_m,contact_confidence,contact_state,anchor_update_allowed,pose_anchor_allowed,stable_local_x,stable_local_y,stable_local_z,stable_local_s,observed_local_x,observed_local_y,observed_local_z,observed_local_s,contact_u,contact_v,contact_depth_offset_m,local_s_drift,source
39,1.583333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
40,1.625000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
41,1.666667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
42,1.708333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
43,1.750000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
44,1.791667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
45,1.833333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
46,1.875000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
47,1.916667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
48,1.958333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
49,2.000000,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
50,2.041667,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
51,2.083333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
52,2.125000,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
53,2.166667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
54,2.208333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
55,2.250000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
56,2.291667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
57,2.333333,left_thumb,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
58,2.375000,left_thumb,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
59,2.416667,left_thumb,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
60,2.458333,left_thumb,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
61,2.500000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
62,2.541667,right_pinky,,surface,,0,0,0,0,,,,,inactive,0,0,,,,,,,,,,,,,tom_body_surface_contacts
63,2.583333,right_pinky,,surface,,0,0,0,0,,,,,inactive,0,0,,,,,,,,,,,,,tom_body_surface_contacts
64,2.625000,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
65,2.666667,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
66,2.708333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
67,2.750000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
68,2.791667,left_thumb,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
69,2.833333,left_thumb,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
70,2.875000,left_thumb,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
71,2.916667,left_thumb,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
72,2.958333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
73,3.000000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
74,3.041667,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
75,3.083333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
76,3.125000,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
77,3.166667,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
78,3.208333,right_pinky,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
79,3.250000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
80,3.291667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
81,3.333333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
82,3.375000,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
83,3.416667,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
84,3.458333,right_palm,,surface,,1,1,0,0,,,,,observed_no_pose_anchor,0,0,,,,,,,,,,,,,tom_body_surface_contacts
