human_part,human_side,object_part,start_frame,end_frame,n_frames,mean_contact_confidence,mean_surface_gap_m,mean_anchor_drift,source
left_thumb,,surface,57,60,4,,,,tom_body_surface_contacts
left_thumb,,surface,68,71,4,,,,tom_body_surface_contacts
left_thumb,,surface,153,156,4,,,,tom_body_surface_contacts
right_palm,,surface,5,6,2,,,,tom_body_surface_contacts
right_palm,,surface,15,19,5,,,,tom_body_surface_contacts
right_palm,,surface,26,33,8,,,,tom_body_surface_contacts
right_palm,,surface,40,47,8,,,,tom_body_surface_contacts
right_palm,,surface,53,56,4,,,,tom_body_surface_contacts
right_palm,,surface,61,61,1,,,,tom_body_surface_contacts
right_palm,,surface,66,67,2,,,,tom_body_surface_contacts
right_palm,,surface,72,73,2,,,,tom_body_surface_contacts
right_palm,,surface,79,84,6,,,,tom_body_surface_contacts
right_palm,,surface,92,97,6,,,,tom_body_surface_contacts
right_palm,,surface,103,110,8,,,,tom_body_surface_contacts
right_palm,,surface,115,123,9,,,,tom_body_surface_contacts
right_palm,,surface,128,133,6,,,,tom_body_surface_contacts
right_palm,,surface,140,145,6,,,,tom_body_surface_contacts
right_palm,,surface,151,152,2,,,,tom_body_surface_contacts
right_palm,,surface,157,158,2,,,,tom_body_surface_contacts
right_palm,,surface,164,170,7,,,,tom_body_surface_contacts
right_palm,,surface,177,184,8,,,,tom_body_surface_contacts
right_palm,,surface,190,192,3,,,,tom_body_surface_contacts
right_pinky,,surface,7,14,8,,,,tom_body_surface_contacts
right_pinky,,surface,20,25,6,,,,tom_body_surface_contacts
right_pinky,,surface,34,39,6,,,,tom_body_surface_contacts
right_pinky,,surface,48,52,5,,,,tom_body_surface_contacts
right_pinky,,surface,64,65,2,,,,tom_body_surface_contacts
right_pinky,,surface,74,78,5,,,,tom_body_surface_contacts
right_pinky,,surface,85,91,7,,,,tom_body_surface_contacts
right_pinky,,surface,98,102,5,,,,tom_body_surface_contacts
right_pinky,,surface,111,111,1,,,,tom_body_surface_contacts
right_pinky,,surface,114,114,1,,,,tom_body_surface_contacts
right_pinky,,surface,124,127,4,,,,tom_body_surface_contacts
right_pinky,,surface,134,139,6,,,,tom_body_surface_contacts
right_pinky,,surface,146,150,5,,,,tom_body_surface_contacts
right_pinky,,surface,159,163,5,,,,tom_body_surface_contacts
right_pinky,,surface,171,176,6,,,,tom_body_surface_contacts
right_pinky,,surface,185,185,1,,,,tom_body_surface_contacts
right_pinky,,surface,187,189,3,,,,tom_body_surface_contacts
