start_frame,end_frame,support_surface_type
2,4,unknown_plane
12,13,unknown_plane
15,39,unknown_plane
43,53,unknown_plane
86,87,
103,104,
125,125,
145,146,
177,177,
206,206,floor
219,219,floor
226,226,floor
230,231,floor
234,242,floor
