frame,time,human_part,human_side,object_part,object_local_id,expected,observed,persistent,rel_static,min_distance_m,surface_gap_m,penetration_depth_m,contact_confidence,contact_state,anchor_update_allowed,pose_anchor_allowed,stable_local_x,stable_local_y,stable_local_z,stable_local_s,observed_local_x,observed_local_y,observed_local_z,observed_local_s,contact_u,contact_v,contact_depth_offset_m,local_s_drift,source
2,0.041667,hand,right,ball_boundary,boundary_004,1,1,0,0,0.052342,0.052342,,0.905911,observed_anchor,1,1,,,,,,,,,506.000,342.000,0.052342,,hand_floor_from_anchor_floor_candidates
10,0.375000,floor,,floor_support,boundary_000,1,1,0,0,0.008248,0.008248,,0.871438,observed_anchor,1,1,,,,,,,,,547.000,558.000,0.008248,,hand_floor_from_anchor_floor_candidates
22,0.875000,floor,,floor_support,boundary_000,1,1,1,0,0.012039,0.012039,,0.573102,persistent_anchor,1,1,,,,,,,,,534.000,563.000,0.012039,,hand_floor_from_anchor_floor_candidates
24,0.958333,hand,right,ball_boundary,boundary_000,1,1,1,0,0.12502,0.12502,,0.285891,persistent_anchor,1,1,,,,,,,,,532.000,502.000,0.125020,,hand_floor_from_anchor_floor_candidates
25,1.000000,hand,right,ball_boundary,boundary_003,1,1,1,0,-0.038615,-0.038615,,0.65439,persistent_anchor,1,1,,,,,,,,,519.000,460.000,-0.038615,,hand_floor_from_anchor_floor_candidates
26,1.041667,hand,right,ball_boundary,boundary_004,1,1,1,0,-0.005201,-0.005201,,0.74,persistent_anchor,1,1,,,,,,,,,520.000,435.000,-0.005201,,hand_floor_from_anchor_floor_candidates
34,1.375000,hand,right,ball_boundary,boundary_062,1,1,1,0,0.026105,0.026105,,0.448788,persistent_anchor,1,1,,,,,,,,,531.000,488.000,0.026105,,hand_floor_from_anchor_floor_candidates
35,1.416667,hand,right,ball_boundary,boundary_000,1,1,1,0,0.07022,0.07022,,0.478145,persistent_anchor,1,1,,,,,,,,,542.000,545.000,0.070220,,hand_floor_from_anchor_floor_candidates
36,1.458333,hand,right,ball_boundary,boundary_000,1,1,1,0,0.069242,0.069242,,0.81015,persistent_anchor,1,1,,,,,,,,,539.000,574.000,0.069242,,hand_floor_from_anchor_floor_candidates
37,1.500000,hand,right,ball_boundary,boundary_000,1,1,1,0,-0.027936,-0.027936,,0.341507,persistent_anchor,1,1,,,,,,,,,535.000,528.000,-0.027936,,hand_floor_from_anchor_floor_candidates
38,1.541667,hand,right,ball_boundary,boundary_000,1,1,1,0,0.058664,0.058664,,0.668167,persistent_anchor,1,1,,,,,,,,,532.000,484.000,0.058664,,hand_floor_from_anchor_floor_candidates
50,2.041667,floor,,floor_support,boundary_000,1,1,1,0,0.116312,0.116312,,0.584193,persistent_anchor,1,1,,,,,,,,,539.000,586.000,0.116312,,hand_floor_from_anchor_floor_candidates
52,2.125000,hand,right,ball_boundary,boundary_003,1,1,1,0,0.039678,0.039678,,0.56954,persistent_anchor,1,1,,,,,,,,,559.000,493.000,0.039678,,hand_floor_from_anchor_floor_candidates
53,2.166667,hand,right,ball_boundary,boundary_005,1,1,1,0,-0.02719,-0.02719,,0.64298,persistent_anchor,1,1,,,,,,,,,559.000,470.000,-0.027190,,hand_floor_from_anchor_floor_candidates
62,2.541667,hand,right,ball_boundary,boundary_062,1,1,1,0,1.748307,1.748307,,0.294004,persistent_anchor,1,1,,,,,,,,,616.000,531.000,1.748307,,hand_floor_from_anchor_floor_candidates
63,2.583333,hand,right,ball_boundary,boundary_000,1,1,1,0,0.093592,0.093592,,0.124645,persistent_anchor,1,1,,,,,,,,,610.000,585.000,0.093592,,hand_floor_from_anchor_floor_candidates
64,2.625000,hand,right,ball_boundary,boundary_000,1,1,1,0,1.732655,1.732655,,0.28398,persistent_anchor,1,1,,,,,,,,,609.000,540.000,1.732655,,hand_floor_from_anchor_floor_candidates
