event,audio_time,audio_frame,visual_event,visual_frame,difference_frames
bounce 1,0.080000,2,,,
bounce 2,1.984000,48,,,
bounce 3,2.352000,56,,,
bounce 4,2.992000,72,,,
bounce 5,3.568000,86,,,
bounce 6,4.368000,105,,,
bounce 7,5.600000,134,,,
bounce 8,5.952000,143,,,
bounce 9,7.184000,172,,,
bounce 10,7.840000,188,,,
