event,audio_time,audio_frame,peak,prominence
bounce 1,0.080000,2,1.777261,1.502240
bounce 2,1.984000,48,2.724335,2.639207
bounce 3,2.352000,56,2.240564,2.061039
bounce 4,2.992000,72,1.007374,0.707638
bounce 5,3.568000,86,2.278613,2.141813
bounce 6,4.368000,105,1.835433,1.583587
bounce 7,5.600000,134,11.579531,11.569254
bounce 8,5.952000,143,6.608613,6.563915
bounce 9,7.184000,172,1.490064,1.284863
bounce 10,7.840000,188,0.875950,0.505654
