frame,time,contact_active,human_contact_state,contact_label,contact_part,contact_conf,anchor_score,anchor_update,visibility,source
1,0.000000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
2,0.041667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
3,0.083333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
4,0.125000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
5,0.166667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
6,0.208333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
7,0.250000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
8,0.291667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
9,0.333333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
10,0.375000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
11,0.416667,1,1,audio_timed_impact,paddle_face,0.968782,0.968782,1,visible,joint_audio_motion_impact_state_no_metric_contact
12,0.458333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
13,0.500000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
14,0.541667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
15,0.583333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
16,0.625000,1,1,audio_timed_impact,practice_wall,1.000000,1.000000,1,visible,joint_audio_motion_impact_state_no_metric_contact
17,0.666667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
18,0.708333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
19,0.750000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
20,0.791667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
21,0.833333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
22,0.875000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
23,0.916667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
24,0.958333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
25,1.000000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
26,1.041667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
27,1.083333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
28,1.125000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
29,1.166667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
30,1.208333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
31,1.250000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
32,1.291667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
33,1.333333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
34,1.375000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
35,1.416667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
36,1.458333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
37,1.500000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
38,1.541667,1,1,audio_timed_impact,paddle_face,0.829509,0.829509,1,visible,joint_audio_motion_impact_state_no_metric_contact
39,1.583333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
40,1.625000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
41,1.666667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
42,1.708333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
43,1.750000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
44,1.791667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
45,1.833333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
46,1.875000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
47,1.916667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
48,1.958333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
49,2.000000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
50,2.041667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
51,2.083333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
52,2.125000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
53,2.166667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
54,2.208333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
55,2.250000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
56,2.291667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
57,2.333333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
58,2.375000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
59,2.416667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
60,2.458333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
61,2.500000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
62,2.541667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
63,2.583333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
64,2.625000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
65,2.666667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
66,2.708333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
67,2.750000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
68,2.791667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
69,2.833333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
70,2.875000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
71,2.916667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
72,2.958333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
73,3.000000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
74,3.041667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
75,3.083333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
76,3.125000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
77,3.166667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
78,3.208333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
79,3.250000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
80,3.291667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
81,3.333333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
82,3.375000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
83,3.416667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
84,3.458333,1,1,audio_timed_impact,practice_wall,0.737457,0.737457,1,visible,joint_audio_motion_impact_state_no_metric_contact
85,3.500000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
86,3.541667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
87,3.583333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
88,3.625000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
89,3.666667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
90,3.708333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
91,3.750000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
92,3.791667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
93,3.833333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
94,3.875000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
95,3.916667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
96,3.958333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
97,4.000000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
98,4.041667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
99,4.083333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
100,4.125000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
101,4.166667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
102,4.208333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
103,4.250000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
104,4.291667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
105,4.333333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
106,4.375000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
107,4.416667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
108,4.458333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
109,4.500000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
110,4.541667,1,1,audio_timed_impact,paddle_face,0.574799,0.574799,1,visible,joint_audio_motion_impact_state_no_metric_contact
111,4.583333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
112,4.625000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
113,4.666667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
114,4.708333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
115,4.750000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
116,4.791667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
117,4.833333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
118,4.875000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
119,4.916667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
120,4.958333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
121,5.000000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
122,5.041667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
123,5.083333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
124,5.125000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
125,5.166667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
126,5.208333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
127,5.250000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
128,5.291667,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
129,5.333333,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
130,5.375000,0,0,none,none,0.000000,0.000000,0,visible,joint_audio_motion_impact_state_no_metric_contact
