frame,time,contact_active,human_part,human_side,object_part,object_local_id,contact_u,contact_v,contact_depth_offset_m,contact_conf,anchor_score,source
1,0.000000,1,hand,right,ball_boundary,right,888.000,340.466,-0.023964,0.476298,0.206572,hand_floor_from_anchor_floor_candidates
2,0.041667,1,hand,right,ball_boundary,top,842.487,284.206,-0.016622,0.340010,0.117978,hand_floor_from_anchor_floor_candidates
3,0.083333,1,hand,right,ball_boundary,top,845.815,279.010,-0.056089,0.340150,0.096320,hand_floor_from_anchor_floor_candidates
4,0.125000,0,none,right,none,top,849.962,272.498,-0.115595,0.340659,0.000000,hand_floor_from_anchor_floor_candidates
5,0.166667,0,none,right,none,top,854.576,264.166,-0.080431,0.346975,0.000000,hand_floor_from_anchor_floor_candidates
6,0.208333,0,none,right,none,top,859.889,255.677,-0.065189,0.350289,0.000000,hand_floor_from_anchor_floor_candidates
7,0.250000,0,none,right,none,top,865.218,246.309,-0.106577,0.342471,0.000000,hand_floor_from_anchor_floor_candidates
8,0.291667,0,none,right,none,top,871.908,236.506,-0.091533,0.348351,0.000000,hand_floor_from_anchor_floor_candidates
9,0.333333,0,none,right,none,top,879.344,227.730,-0.098680,0.355064,0.000000,hand_floor_from_anchor_floor_candidates
10,0.375000,0,none,right,none,top,888.118,219.595,-0.137685,0.375799,0.000000,hand_floor_from_anchor_floor_candidates
11,0.416667,0,none,right,none,top,896.544,212.304,-0.112378,0.405070,0.000000,hand_floor_from_anchor_floor_candidates
12,0.458333,0,none,right,none,top,901.955,206.076,-0.153329,0.429469,0.000000,hand_floor_from_anchor_floor_candidates
13,0.500000,0,none,right,none,top,902.857,203.070,-0.131424,0.438236,0.000000,hand_floor_from_anchor_floor_candidates
14,0.541667,0,none,right,none,top,897.153,202.270,-0.093095,0.412724,0.000000,hand_floor_from_anchor_floor_candidates
15,0.583333,0,none,right,none,top,886.930,204.490,-0.080216,0.384373,0.000000,hand_floor_from_anchor_floor_candidates
16,0.625000,0,none,right,none,top,872.574,213.058,-0.073961,0.352255,0.000000,hand_floor_from_anchor_floor_candidates
17,0.666667,0,none,right,none,top,853.695,229.609,-0.115728,0.327167,0.000000,hand_floor_from_anchor_floor_candidates
18,0.708333,0,none,left,none,sphere:surface,858.182,283.781,-0.030969,0.522171,0.132076,hand_floor_from_anchor_floor_candidates
19,0.750000,0,none,left,none,sphere:surface,836.064,324.997,-0.068612,0.632957,0.564563,hand_floor_from_anchor_floor_candidates
20,0.791667,0,none,left,none,sphere:surface,804.523,368.563,-0.047338,0.693015,1.000000,hand_floor_from_anchor_floor_candidates
21,0.833333,0,none,left,none,sphere:surface,746.253,447.355,-0.068621,0.215664,1.000000,hand_floor_from_anchor_floor_candidates
22,0.875000,0,none,left,none,sphere:surface,650.872,548.114,0.726033,0.080517,1.000000,hand_floor_from_anchor_floor_candidates
23,0.916667,1,floor,,floor_support,sphere:surface,608.575,570.347,0.470215,0.257197,1.000000,hand_floor_from_anchor_floor_candidates
24,0.958333,0,none,left,none,sphere:surface,595.906,540.851,0.695013,0.253458,1.000000,hand_floor_from_anchor_floor_candidates
25,1.000000,0,none,left,none,sphere:surface,600.458,429.067,0.063279,0.325540,1.000000,hand_floor_from_anchor_floor_candidates
26,1.041667,0,none,left,none,sphere:surface,567.586,397.854,-0.025115,0.625934,1.000000,hand_floor_from_anchor_floor_candidates
27,1.083333,0,none,left,none,sphere:surface,532.071,366.239,-0.052631,0.997027,0.803204,hand_floor_from_anchor_floor_candidates
28,1.125000,0,none,left,none,sphere:surface,497.580,341.814,0.008443,1.000000,0.594572,hand_floor_from_anchor_floor_candidates
29,1.166667,0,none,left,none,sphere:surface,479.185,323.921,0.051400,0.929721,0.376139,hand_floor_from_anchor_floor_candidates
30,1.208333,0,none,left,none,sphere:surface,466.142,305.630,0.047749,0.755392,0.227037,hand_floor_from_anchor_floor_candidates
31,1.250000,0,none,left,none,sphere:surface,458.929,290.315,0.029273,0.635060,0.091648,hand_floor_from_anchor_floor_candidates
32,1.291667,0,none,left,none,sphere:surface,456.023,278.988,-0.026562,0.544063,0.000000,hand_floor_from_anchor_floor_candidates
33,1.333333,0,none,left,none,left,447.000,291.644,0.037848,0.404075,0.000000,hand_floor_from_anchor_floor_candidates
34,1.375000,0,none,left,none,left,452.441,289.174,0.013284,0.410527,0.000000,hand_floor_from_anchor_floor_candidates
35,1.416667,0,none,left,none,left,463.881,292.220,0.026301,0.453270,0.000000,hand_floor_from_anchor_floor_candidates
36,1.458333,0,none,left,none,sphere:surface,483.905,268.086,-0.093346,1.000000,0.000000,hand_floor_from_anchor_floor_candidates
37,1.500000,0,none,left,none,sphere:surface,530.753,273.875,-0.039635,1.000000,0.060427,hand_floor_from_anchor_floor_candidates
38,1.541667,0,none,left,none,bottom,501.298,339.736,5.648995,0.179600,0.000000,hand_floor_from_anchor_floor_candidates
39,1.583333,0,none,left,none,sphere:surface,594.313,361.128,-0.131936,0.630914,0.528239,hand_floor_from_anchor_floor_candidates
40,1.625000,0,none,left,none,sphere:surface,639.063,392.218,0.027451,0.549636,1.000000,hand_floor_from_anchor_floor_candidates
41,1.666667,0,none,left,none,sphere:surface,672.034,458.031,2.013942,0.159129,1.000000,hand_floor_from_anchor_floor_candidates
42,1.708333,1,floor,,floor_support,sphere:surface,676.140,565.825,0.146234,0.057383,1.000000,hand_floor_from_anchor_floor_candidates
43,1.750000,0,none,left,none,sphere:surface,732.851,482.755,1.595666,0.109654,1.000000,hand_floor_from_anchor_floor_candidates
44,1.791667,0,none,left,none,sphere:surface,800.393,450.825,-0.069512,0.215611,1.000000,hand_floor_from_anchor_floor_candidates
45,1.833333,0,none,left,none,sphere:surface,828.054,410.594,-0.102140,0.332562,1.000000,hand_floor_from_anchor_floor_candidates
46,1.875000,0,none,left,none,sphere:surface,882.806,369.442,-0.090687,0.655276,0.876214,hand_floor_from_anchor_floor_candidates
47,1.916667,0,none,left,none,sphere:surface,910.834,334.994,-0.026575,0.672928,0.532597,hand_floor_from_anchor_floor_candidates
48,1.958333,0,none,left,none,sphere:surface,934.063,299.795,0.001252,0.752951,0.219649,hand_floor_from_anchor_floor_candidates
49,2.000000,0,none,left,none,sphere:surface,949.286,273.327,-0.038669,0.738317,0.000000,hand_floor_from_anchor_floor_candidates
50,2.041667,0,none,left,none,sphere:surface,959.417,253.631,0.048148,0.759865,0.000000,hand_floor_from_anchor_floor_candidates
51,2.083333,0,none,left,none,sphere:surface,960.924,245.423,0.021187,0.784318,0.000000,hand_floor_from_anchor_floor_candidates
52,2.125000,0,none,left,none,sphere:surface,956.252,247.614,4.394187,0.853890,0.000000,hand_floor_from_anchor_floor_candidates
53,2.166667,0,none,left,none,sphere:surface,942.517,263.715,4.512528,0.909112,0.000000,hand_floor_from_anchor_floor_candidates
54,2.208333,0,none,left,none,sphere:surface,919.176,295.460,4.616126,0.916463,0.246459,hand_floor_from_anchor_floor_candidates
55,2.250000,0,none,left,none,sphere:surface,883.555,339.660,1.623910,0.829155,0.756016,hand_floor_from_anchor_floor_candidates
56,2.291667,0,none,left,none,sphere:surface,817.293,404.159,-0.051503,0.356464,1.000000,hand_floor_from_anchor_floor_candidates
57,2.333333,0,none,left,none,sphere:surface,765.079,469.749,0.064727,0.128730,1.000000,hand_floor_from_anchor_floor_candidates
58,2.375000,1,floor,,floor_support,sphere:surface,634.114,571.336,0.362605,0.101195,1.000000,hand_floor_from_anchor_floor_candidates
59,2.416667,0,none,left,none,sphere:surface,598.079,551.403,0.036484,0.205047,1.000000,hand_floor_from_anchor_floor_candidates
60,2.458333,0,none,left,none,sphere:surface,574.355,523.798,0.044602,0.197423,1.000000,hand_floor_from_anchor_floor_candidates
61,2.500000,0,none,left,none,sphere:surface,542.443,408.423,3.707931,0.339052,1.000000,hand_floor_from_anchor_floor_candidates
62,2.541667,0,none,left,none,sphere:surface,504.260,368.699,0.000191,0.841257,1.000000,hand_floor_from_anchor_floor_candidates
63,2.583333,0,none,left,none,sphere:surface,473.717,343.726,0.513896,1.000000,0.749361,hand_floor_from_anchor_floor_candidates
64,2.625000,0,none,left,none,sphere:surface,453.063,327.609,5.772142,1.000000,0.479030,hand_floor_from_anchor_floor_candidates
65,2.666667,0,none,left,none,left,446.000,342.262,0.123649,0.469520,0.326846,hand_floor_from_anchor_floor_candidates
66,2.708333,0,none,left,none,left,438.701,327.836,0.050250,0.437103,0.212527,hand_floor_from_anchor_floor_candidates
67,2.750000,0,none,left,none,left,435.024,316.925,0.026743,0.418508,0.122476,hand_floor_from_anchor_floor_candidates
68,2.791667,0,none,left,none,left,434.356,311.331,-0.042405,0.401228,0.068378,hand_floor_from_anchor_floor_candidates
69,2.833333,0,none,left,none,left,436.427,309.724,-0.026866,0.394905,0.068665,hand_floor_from_anchor_floor_candidates
70,2.875000,0,none,left,none,bottom,495.487,362.448,0.266035,0.221027,0.146225,hand_floor_from_anchor_floor_candidates
71,2.916667,0,none,left,none,bottom,503.237,371.365,0.062132,0.258825,0.241016,hand_floor_from_anchor_floor_candidates
72,2.958333,0,none,left,none,bottom,512.987,384.874,-0.155423,0.316397,0.384622,hand_floor_from_anchor_floor_candidates
73,3.000000,1,hand,left,ball_boundary,center,533.793,361.965,-0.085329,0.395567,0.065767,hand_floor_from_anchor_floor_candidates
74,3.041667,0,none,left,none,sphere:surface,561.469,359.805,-0.128844,0.882014,0.817311,hand_floor_from_anchor_floor_candidates
75,3.083333,0,none,left,none,sphere:surface,605.631,405.556,-0.092904,0.567653,1.000000,hand_floor_from_anchor_floor_candidates
76,3.125000,0,none,left,none,sphere:surface,642.147,431.747,0.052038,0.398446,1.000000,hand_floor_from_anchor_floor_candidates
77,3.166667,0,none,left,none,sphere:surface,681.308,493.543,1.347982,0.102445,1.000000,hand_floor_from_anchor_floor_candidates
78,3.208333,1,floor,,floor_support,sphere:surface,772.759,575.450,0.269320,0.074882,1.000000,hand_floor_from_anchor_floor_candidates
79,3.250000,0,none,left,none,sphere:surface,782.023,481.724,-0.126555,0.173785,1.000000,hand_floor_from_anchor_floor_candidates
80,3.291667,0,none,left,none,sphere:surface,807.360,454.186,-0.066892,0.295433,1.000000,hand_floor_from_anchor_floor_candidates
81,3.333333,0,none,left,none,sphere:surface,843.136,419.989,-0.014724,0.511916,1.000000,hand_floor_from_anchor_floor_candidates
