frame,time,ball_center_x,ball_center_y,radius,mask_area
133,5.500000,515.270,461.631,45.413,6479.0
134,5.541667,511.047,491.976,44.920,6339.0
135,5.583333,506.397,536.366,46.133,6686.0
136,5.625000,509.825,601.682,43.340,5901.0
137,5.666667,509.128,606.983,42.618,5706.0
138,5.708333,509.650,562.886,41.386,5381.0
139,5.750000,513.947,518.229,45.047,6375.0
140,5.791667,516.900,490.800,44.795,6304.0
141,5.833333,521.983,470.197,44.072,6102.0
142,5.875000,528.321,457.995,44.881,6328.0
143,5.916667,535.863,453.796,45.301,6447.0
144,5.958333,545.222,459.526,45.339,6458.0
145,6.000000,554.649,480.737,43.782,6022.0
146,6.041667,565.977,526.620,43.684,5995.0
147,6.083333,575.477,581.856,43.237,5873.0
148,6.125000,582.895,624.597,43.902,6055.0
149,6.166667,584.301,585.558,43.512,5948.0
150,6.208333,584.590,546.341,43.727,6007.0
151,6.250000,585.314,512.921,42.830,5763.0
152,6.291667,586.714,485.187,43.800,6027.0
153,6.333333,585.993,464.527,43.807,6029.0
154,6.375000,586.343,454.786,43.691,5997.0
155,6.416667,587.002,452.196,44.870,6325.0
156,6.458333,588.723,457.252,44.442,6205.0
157,6.500000,588.966,475.664,44.820,6311.0
158,6.541667,585.767,517.510,43.622,5978.0
159,6.583333,578.651,574.288,46.463,6782.0
160,6.625000,570.858,629.637,45.026,6369.0
161,6.666667,557.948,599.012,43.347,5903.0
162,6.708333,543.822,555.179,44.061,6099.0
163,6.750000,533.086,517.497,45.213,6422.0
164,6.791667,523.806,489.157,44.342,6177.0
165,6.833333,515.877,468.454,44.331,6174.0
166,6.875000,509.587,452.943,44.589,6246.0
167,6.916667,504.700,442.878,44.685,6273.0
168,6.958333,501.748,438.964,44.877,6327.0
169,7.000000,498.586,441.905,45.058,6378.0
170,7.041667,495.537,461.154,45.015,6366.0
171,7.083333,493.806,495.687,44.927,6341.0
172,7.125000,497.673,550.423,43.804,6028.0
173,7.166667,501.279,613.058,43.673,5992.0
174,7.208333,504.181,604.007,42.479,5669.0
175,7.250000,505.618,555.770,43.963,6072.0
176,7.291667,510.761,518.525,45.234,6428.0
177,7.333333,516.465,484.594,45.699,6561.0
178,7.375000,521.045,463.534,44.517,6226.0
179,7.416667,528.280,449.620,44.678,6271.0
180,7.458333,536.638,441.982,44.212,6141.0
181,7.500000,545.075,441.429,44.320,6171.0
182,7.541667,555.309,448.114,44.937,6344.0
183,7.583333,563.659,467.108,44.492,6219.0
184,7.625000,574.829,500.032,45.818,6595.0
185,7.666667,580.814,548.336,47.586,7114.0
186,7.708333,587.218,615.703,44.596,6248.0
187,7.750000,584.361,613.432,42.997,5808.0
188,7.791667,577.312,567.095,43.945,6067.0
189,7.833333,571.466,528.793,43.884,6050.0
190,7.875000,561.810,502.829,43.016,5813.0
191,7.916667,552.919,480.222,45.188,6415.0
192,7.958333,547.233,466.475,44.742,6289.0
