frame,motion_regime,sequence_se3_optimizer_enabled,visual_residual_enabled,contact_anchor_residual_enabled,depth_residual_enabled,geometry_residual_enabled,velocity_residual_enabled,acceleration_residual_enabled,static_freeze_residual_enabled,boundary_freeze_interpolation_enabled,static_tail_freeze_enabled,trust_weight,smooth_weight,accel_weight,feedback_reoptimized,feedback_reweight_reason,visual_prior_reason,overlay_prior_reason,pose_lock_reason,vlm_pose_refine_disabled,vlm_gate_optimizer_mode,decision_source
1,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,0.935000,1.326667,1,,,,,0,,generic_sequence_se3_mainline
2,short_impact,1,1,1,1,1,1,1,1,1,1,0.905911,0.935000,1.326667,1,,,,,0,,generic_sequence_se3_mainline
3,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,0.935000,1.326667,1,,,,,0,,generic_sequence_se3_mainline
4,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,1.450000,1.616667,1,,,,,0,,generic_sequence_se3_mainline
5,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.300000,1.250000,1,,,,,0,,generic_sequence_se3_mainline
6,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,0.856667,1,,,,,0,,generic_sequence_se3_mainline
7,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.646667,1,,,,,0,,generic_sequence_se3_mainline
8,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.493333,1,,,,,0,,generic_sequence_se3_mainline
9,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.500000,0.413333,1,,,,,0,,generic_sequence_se3_mainline
10,short_impact,1,1,1,1,1,1,1,1,1,1,0.871438,0.350000,0.413333,1,,,,,0,,generic_sequence_se3_mainline
11,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.570000,0.540000,1,,,,,0,,generic_sequence_se3_mainline
12,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.646667,1,,,,,0,,generic_sequence_se3_mainline
13,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.673333,1,,,,,0,,generic_sequence_se3_mainline
14,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.700000,1,,,,,0,,generic_sequence_se3_mainline
15,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.883333,1,,,,,0,,generic_sequence_se3_mainline
16,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,1.066667,1,,,,,0,,generic_sequence_se3_mainline
17,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.433333,1,,,,,0,,generic_sequence_se3_mainline
18,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,1.300000,1.433333,1,,,,,0,,generic_sequence_se3_mainline
19,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.300000,1.223333,1,,,,,0,,generic_sequence_se3_mainline
20,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.935000,0.703333,1,,,,,0,,generic_sequence_se3_mainline
21,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.500000,0.400000,1,,,,,0,,generic_sequence_se3_mainline
22,sustained_grasp_high_speed,1,1,1,1,1,1,1,1,1,1,0.860000,0.330000,0.793333,1,,,,,0,,generic_sequence_se3_mainline
23,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,0.915000,0.826667,1,,,,,0,,generic_sequence_se3_mainline
24,sustained_grasp_high_speed,1,1,1,1,1,1,1,1,1,1,0.860000,0.915000,1.113333,1,,,,,0,,generic_sequence_se3_mainline
25,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,0.715000,0.913333,1,,,,,0,,generic_sequence_se3_mainline
26,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.033333,1,,,,,0,,generic_sequence_se3_mainline
27,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.935000,1.050000,1,,,,,0,,generic_sequence_se3_mainline
28,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,1.066667,1,,,,,0,,generic_sequence_se3_mainline
29,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.433333,1,,,,,0,,generic_sequence_se3_mainline
30,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,1.300000,1.616667,1,,,,,0,,generic_sequence_se3_mainline
31,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,1.450000,1.433333,1,,,,,0,,generic_sequence_se3_mainline
