frame,se3_velocity_spike,se3_accel_spike,raw_se3_velocity_spike,raw_se3_accel_spike,raw_velocity_score,raw_accel_score,final_velocity_score,final_accel_score,se3_smoothed,delta_translation_m,delta_rotation_rad,trust_weight,anchor_residual_enabled,anchor_residual_count,anchor_residual_m
1,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,0.050218,0.000000,0.800000,0,0,0.000000
2,0,0,0,0,0.015867,0.012338,0.040907,0.000035,1,0.011240,0.000000,0.905911,0,0,0.000000
3,0,0,0,0,0.004006,0.009839,0.040895,0.000116,1,0.052297,0.000000,0.800000,0,0,0.000000
4,0,0,0,0,0.007064,0.016079,0.040790,0.000146,1,0.086489,0.000000,0.800000,0,0,0.000000
5,0,0,0,0,0.022914,0.043241,0.040661,0.000388,1,0.105201,0.000000,0.700000,0,0,0.000000
6,0,0,0,0,0.065008,0.038979,0.040300,0.002398,1,0.080669,0.000000,0.700000,0,0,0.000000
7,0,0,0,0,0.103662,0.025483,0.037932,0.004724,1,0.014974,0.000000,0.700000,0,0,0.000000
8,0,0,0,0,0.129120,0.042860,0.033250,0.003408,1,0.081103,0.000000,0.700000,0,0,0.000000
9,0,0,0,1,0.171864,0.128537,0.029890,0.006242,1,0.223129,0.000000,0.780000,0,0,0.000000
10,0,0,0,1,0.043654,0.151370,0.023688,0.032302,1,0.243036,0.000000,0.871438,0,0,0.000000
11,0,0,0,0,0.107818,0.010337,0.009168,0.000759,1,0.143985,0.000000,0.700000,0,0,0.000000
12,0,0,0,0,0.099696,0.024718,0.009714,0.000271,1,0.054033,0.000000,0.700000,0,0,0.000000
13,0,0,0,0,0.078401,0.016637,0.009603,0.000769,1,0.015461,0.000000,0.700000,0,0,0.000000
14,0,0,0,0,0.064130,0.012960,0.008839,0.003732,1,0.070368,0.000000,0.700000,0,0,0.000000
15,0,0,0,0,0.051526,0.013975,0.005183,0.001136,1,0.116692,0.000000,0.700000,0,0,0.000000
16,0,0,0,0,0.038327,0.021699,0.004073,0.000532,1,0.151204,0.000000,0.700000,0,0,0.000000
17,0,0,0,0,0.018094,0.020633,0.003550,0.000217,1,0.165287,0.000000,0.700000,0,0,0.000000
18,0,0,0,0,0.004825,0.037320,0.003337,0.000167,1,0.159063,0.000000,0.800000,0,0,0.000000
19,0,0,0,0,0.040943,0.081222,0.003177,0.000169,1,0.116173,0.000000,0.700000,0,0,0.000000
20,0,0,0,0,0.121327,0.022986,0.003026,0.000476,1,0.012903,0.000000,0.700000,0,0,0.000000
21,0,0,0,0,0.144277,0.014653,0.002631,0.004097,1,0.155465,0.000000,0.780000,0,0,0.000000
22,0,0,0,1,0.157509,0.165891,0.001793,0.000905,1,0.311547,0.000000,0.860000,0,0,0.000000
23,0,0,0,1,0.008716,0.129334,0.002592,0.001394,1,0.300917,0.000000,0.800000,0,0,0.000000
24,0,0,0,0,0.137749,0.039035,0.003901,0.000421,1,0.159667,0.000000,0.860000,0,0,0.000000
25,0,0,0,0,0.099043,0.022156,0.004279,0.000355,1,0.057279,0.000000,0.880000,0,0,0.000000
26,0,0,0,0,0.076898,0.020944,0.004462,0.000280,1,0.026721,0.000000,0.880000,0,0,0.000000
27,0,0,0,0,0.056784,0.017942,0.004392,0.000482,1,0.085652,0.000000,0.700000,0,0,0.000000
28,0,0,0,0,0.039800,0.019513,0.004017,0.000949,1,0.128490,0.000000,0.700000,0,0,0.000000
29,0,0,0,0,0.020962,0.011582,0.003175,0.000500,1,0.151428,0.000000,0.700000,0,0,0.000000
30,0,0,0,0,0.009827,0.016119,0.002752,0.000314,1,0.163123,0.000000,0.800000,0,0,0.000000
31,0,0,0,0,0.007430,0.038786,0.002507,0.000290,1,0.158507,0.000000,0.800000,0,0,0.000000
32,0,0,0,0,0.045514,0.031278,0.002308,0.000364,1,0.114898,0.000000,0.700000,0,0,0.000000
33,0,0,0,0,0.074420,0.077793,0.002085,0.000947,1,0.047323,0.000000,0.700000,0,0,0.000000
34,0,0,0,0,0.142888,0.023774,0.001562,0.001407,1,0.097212,0.000000,0.860000,0,0,0.000000
35,0,0,0,0,0.156294,0.097620,0.001302,0.000684,1,0.254257,0.000000,0.860000,0,0,0.000000
36,0,0,0,1,0.058738,0.174124,0.001371,0.000361,1,0.314215,0.000000,0.880000,0,0,0.000000
37,0,0,0,0,0.115642,0.012291,0.001447,0.000234,1,0.200708,0.000000,0.880000,0,0,0.000000
38,0,0,0,0,0.104072,0.019087,0.001511,0.000350,1,0.099449,0.000000,0.880000,0,0,0.000000
39,0,0,0,0,0.087499,0.022022,0.001606,0.000556,1,0.018223,0.000000,0.700000,0,0,0.000000
40,0,0,0,0,0.068131,0.017148,0.001743,0.001194,1,0.057304,0.000000,0.700000,0,0,0.000000
