frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,contact_depth_offset_used_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap,source
14,0.541667,-0.276381,0.316545,3.629255,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,526.331,459.700,,526.331,459.700,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.071485,3.785596,526.331,459.700,521.000,414.000,3.813060,0.000000,3.628397,3.628958,3.901222,3.628958,-0.157199,sequence_se3_optimizer
15,0.583333,-0.275463,0.311619,3.630583,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.823,438.871,,527.823,438.871,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.038150,3.755041,527.823,438.871,521.000,394.000,2.160910,0.000000,3.629901,3.630437,3.911630,3.630437,-0.125140,sequence_se3_optimizer
16,0.625000,-0.274668,0.307819,3.631814,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.348,423.359,,527.348,423.359,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.020730,3.729562,527.348,423.359,525.000,379.000,0.550248,0.550248,4.181621,3.631917,3.907696,3.631917,0.452059,sequence_se3_optimizer
17,0.666667,-0.273966,0.304537,3.632972,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.287,416.293,,529.287,416.293,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.020257,3.714808,529.287,416.293,525.000,372.000,0.008560,0.008560,3.641397,3.633397,3.862725,3.633397,-0.073410,sequence_se3_optimizer
18,0.708333,-0.273326,0.301461,3.634094,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,530.680,417.553,,530.680,417.553,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.043412,3.699178,530.680,417.553,529.000,375.000,-0.016328,-0.016328,3.617946,3.634876,3.821476,3.634876,-0.081231,sequence_se3_optimizer
19,0.750000,-0.272750,0.298537,3.635194,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,533.560,433.814,,533.560,433.814,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.088233,3.699030,533.560,433.814,529.000,391.000,-0.002018,-0.002018,3.633657,3.636356,3.795792,3.636356,-0.065373,sequence_se3_optimizer
20,0.791667,-0.272266,0.295753,3.636278,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,534.040,482.778,,534.040,482.778,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.150929,3.711479,534.040,482.778,529.000,439.000,-0.072256,-0.072256,3.564632,3.637835,3.761156,3.637835,-0.146847,sequence_se3_optimizer
21,0.833333,-0.272083,0.293328,3.637281,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,535.175,540.956,,535.175,540.956,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.199159,3.735127,535.175,540.956,531.000,495.000,0.041338,0.041338,3.679617,3.639315,3.717928,3.639315,-0.055509,sequence_se3_optimizer
22,0.875000,-0.273002,0.294807,3.637710,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,539.066,604.311,,539.066,604.311,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,1,0,1,floor,,floor,right_hand,0.231528,3.730947,539.066,604.311,534.000,563.000,0.012039,0.012039,3.651874,3.640794,3.671186,3.640794,-0.079073,sequence_se3_optimizer
23,0.916667,-0.274121,0.297137,3.637905,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,538.213,600.868,,538.213,600.868,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.243225,3.729294,538.213,600.868,528.000,560.000,0.021368,0.021368,3.662861,3.642274,3.618787,3.642274,-0.066434,sequence_se3_optimizer
24,0.958333,-0.275391,0.300825,3.637822,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,533.800,545.411,,533.800,545.411,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.234850,3.714227,533.800,545.411,532.000,502.000,0.125020,0.125020,3.768229,3.643754,3.592024,3.643754,0.054002,sequence_se3_optimizer
25,1.000000,-0.276700,0.304890,3.637558,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,528.938,505.726,,528.938,505.726,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.207546,3.668438,528.938,505.726,519.000,460.000,-0.038615,-0.038615,3.606340,3.645233,3.568300,3.645233,-0.062098,sequence_se3_optimizer
26,1.041667,-0.277940,0.309139,3.636998,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,524.993,474.955,,524.993,474.955,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,0.160121,3.641512,524.993,474.955,520.000,435.000,-0.005201,-0.005201,3.641512,3.646713,3.554566,3.646713,0.000000,sequence_se3_optimizer
27,1.083333,-0.279050,0.313314,3.636203,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,520.833,452.553,,520.833,452.553,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.107274,3.619800,520.833,452.553,521.000,410.000,0.034359,0.034359,3.678214,3.643894,3.543737,3.643894,0.058413,sequence_se3_optimizer
28,1.125000,-0.279964,0.317096,3.635206,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,519.796,436.642,,519.796,436.642,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.065614,3.608790,519.796,436.642,519.000,394.000,0.073357,0.073357,3.714351,3.641075,3.549327,3.641075,0.105562,sequence_se3_optimizer
29,1.166667,-0.280646,0.319973,3.634048,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,520.589,428.366,,520.589,428.366,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.040879,3.600039,520.589,428.366,521.000,380.000,0.126605,0.126605,3.764747,3.638256,3.546023,3.638256,0.164708,sequence_se3_optimizer
30,1.208333,-0.281198,0.322372,3.632817,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,520.286,424.626,,520.286,424.626,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.033650,3.591058,520.286,424.626,518.000,378.000,0.115378,0.115378,3.750672,3.635437,3.546541,3.635437,0.159614,sequence_se3_optimizer
31,1.250000,-0.281658,0.324476,3.631534,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.106,427.299,,521.106,427.299,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.052545,3.585791,521.106,427.299,520.000,382.000,0.087785,0.087785,3.720247,3.632618,3.545501,3.632618,0.134456,sequence_se3_optimizer
32,1.291667,-0.282028,0.326312,3.630185,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,522.738,445.650,,522.738,445.650,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.104748,3.585649,522.738,445.650,519.000,399.000,-0.001729,-0.001729,3.627834,3.629799,3.554113,3.629799,0.042185,sequence_se3_optimizer
33,1.333333,-0.282296,0.327807,3.628758,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,531.500,474.500,,531.500,474.500,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.168942,3.592409,531.500,474.500,528.000,432.000,0.036688,0.036688,3.663421,3.626980,3.553088,3.626980,0.071011,sequence_se3_optimizer
34,1.375000,-0.282424,0.328367,3.627305,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.866,532.374,,527.866,532.374,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.236420,3.618556,527.866,532.374,531.000,488.000,0.026105,0.026105,3.650042,3.624161,3.534568,3.624161,0.031486,sequence_se3_optimizer
