frame,time,contact_active,human_part,human_side,object_part,object_local_id,contact_u,contact_v,contact_depth_offset_m,anchor_score,source,stable_local_x,stable_local_y,stable_local_z,visibility,anchor_update,keep_previous
36,1.458333,1,palm,left_hand,body_shell_or_occluded_handle_region,535,557.487,216.931,0.038716,1.000000,palm_handle_from_stable_grasp_anchor,-0.101961,0.010377,0.057836,hidden,0,1
37,1.500000,1,palm,left_hand,body_shell,68,549.871,210.538,-0.048403,1.000000,palm_handle_from_stable_grasp_anchor,-0.016554,0.001943,0.036170,hidden,0,1
38,1.541667,1,palm,left_hand,body_shell,68,541.803,202.290,-0.022964,1.000000,palm_handle_from_stable_grasp_anchor,-0.022524,0.001866,0.042806,hidden,0,1
39,1.583333,1,palm,left_hand,body_shell_or_occluded_handle_region,687,534.599,193.440,0.038700,1.000000,palm_handle_from_stable_grasp_anchor,-0.063232,0.008518,0.056856,hidden,0,1
40,1.625000,1,palm,left_hand,body_shell_or_occluded_handle_region,578,531.135,187.577,0.071323,1.000000,palm_handle_from_stable_grasp_anchor,-0.086609,0.017068,0.057969,hidden,0,1
41,1.666667,1,palm,left_hand,body_shell_or_occluded_handle_region,557,524.923,182.855,0.119574,1.000000,palm_handle_from_stable_grasp_anchor,-0.120079,0.032113,0.071180,hidden,0,1
42,1.708333,1,palm,left_hand,body_shell_or_occluded_handle_region,535,521.107,171.688,0.129613,1.000000,palm_handle_from_stable_grasp_anchor,-0.122231,0.023705,0.070855,hidden,0,1
43,1.750000,1,palm,left_hand,body_shell_or_occluded_handle_region,536,516.848,166.507,0.189681,1.000000,palm_handle_from_stable_grasp_anchor,-0.163454,0.043000,0.086714,hidden,0,1
44,1.791667,1,palm,left_hand,body_shell_or_occluded_handle_region,535,512.231,156.139,0.165327,1.000000,palm_handle_from_stable_grasp_anchor,-0.128697,0.022316,0.073664,hidden,0,1
45,1.833333,1,palm,left_hand,body_shell_or_occluded_handle_region,579,507.747,154.579,0.155697,1.000000,palm_handle_from_stable_grasp_anchor,-0.103898,0.024269,0.068453,hidden,0,1
46,1.875000,1,palm,left_hand,body_shell_or_occluded_handle_region,557,499.831,149.228,0.204201,1.000000,palm_handle_from_stable_grasp_anchor,-0.130681,0.035531,0.089834,hidden,0,1
47,1.916667,1,palm,left_hand,body_shell_or_occluded_handle_region,580,499.163,146.957,0.230050,1.000000,palm_handle_from_stable_grasp_anchor,-0.147701,0.050635,0.092080,hidden,0,1
48,1.958333,1,palm,left_hand,handle_loop,609,523.061,138.836,0.122505,0.953612,palm_handle_from_stable_grasp_anchor,-0.081348,0.015395,-0.004366,visible,1,0
49,2.000000,1,palm,left_hand,handle_loop,631,520.188,135.371,0.123409,0.892525,palm_handle_from_stable_grasp_anchor,-0.078703,0.018026,-0.004366,visible,1,0
50,2.041667,1,palm,left_hand,handle_loop,653,516.874,132.547,0.123622,0.845366,palm_handle_from_stable_grasp_anchor,-0.075780,0.020328,-0.004366,visible,1,0
51,2.083333,1,palm,left_hand,handle_loop,675,514.751,130.283,0.123264,0.825417,palm_handle_from_stable_grasp_anchor,-0.072620,0.022270,-0.004366,visible,1,0
52,2.125000,1,palm,left_hand,handle_loop,675,511.616,127.200,0.121592,0.785221,palm_handle_from_stable_grasp_anchor,-0.072620,0.022270,-0.004366,visible,1,0
53,2.166667,1,palm,left_hand,handle_loop,697,509.315,125.616,0.115834,0.762163,palm_handle_from_stable_grasp_anchor,-0.069263,0.023825,-0.004366,visible,1,0
54,2.208333,1,palm,left_hand,handle_loop,696,508.011,122.670,0.108200,0.740810,palm_handle_from_stable_grasp_anchor,-0.069684,0.024894,-0.003628,visible,1,0
55,2.250000,1,palm,left_hand,handle_loop,718,506.543,121.283,0.094635,0.730394,palm_handle_from_stable_grasp_anchor,-0.066046,0.026084,-0.003628,visible,1,0
56,2.291667,1,palm,left_hand,handle_loop,718,505.261,119.306,0.078682,0.714786,palm_handle_from_stable_grasp_anchor,-0.066046,0.026084,-0.003628,visible,1,0
57,2.333333,1,palm,left_hand,handle_loop,740,503.609,117.789,0.063214,0.714325,palm_handle_from_stable_grasp_anchor,-0.062298,0.026835,-0.003628,visible,1,0
58,2.375000,1,palm,left_hand,handle_loop,740,503.084,115.447,0.051495,0.724852,palm_handle_from_stable_grasp_anchor,-0.062298,0.026835,-0.003628,visible,1,0
59,2.416667,1,palm,left_hand,handle_loop,762,501.134,114.543,0.041233,0.729779,palm_handle_from_stable_grasp_anchor,-0.058490,0.027137,-0.003628,visible,1,0
60,2.458333,1,palm,left_hand,handle_loop,762,500.716,113.084,0.038832,0.774549,palm_handle_from_stable_grasp_anchor,-0.058490,0.027137,-0.003628,visible,1,0
61,2.500000,1,palm,left_hand,handle_loop,850,488.632,116.489,0.153452,0.738522,palm_handle_from_stable_grasp_anchor,-0.043682,0.023865,-0.003628,visible,0,1
62,2.541667,1,palm,left_hand,body_shell_or_occluded_handle_region,602,472.321,111.266,0.212301,1.000000,palm_handle_from_stable_grasp_anchor,-0.094255,0.026885,0.029922,hidden,0,1
63,2.583333,1,palm,left_hand,body_shell_or_occluded_handle_region,602,469.884,111.396,0.229689,1.000000,palm_handle_from_stable_grasp_anchor,-0.105989,0.033560,0.036760,hidden,0,1
64,2.625000,1,palm,left_hand,body_shell_or_occluded_handle_region,603,470.866,110.917,0.259059,1.000000,palm_handle_from_stable_grasp_anchor,-0.118885,0.046607,0.037106,hidden,0,1
65,2.666667,1,palm,left_hand,body_shell_or_occluded_handle_region,601,469.037,106.629,0.230236,1.000000,palm_handle_from_stable_grasp_anchor,-0.089716,0.021135,0.037948,hidden,0,1
66,2.708333,1,palm,left_hand,body_shell_or_occluded_handle_region,622,469.257,106.132,0.239934,1.000000,palm_handle_from_stable_grasp_anchor,-0.086569,0.026255,0.046761,hidden,0,1
67,2.750000,1,palm,left_hand,body_shell_or_occluded_handle_region,600,467.383,102.610,0.253702,1.000000,palm_handle_from_stable_grasp_anchor,-0.085278,0.020197,0.062767,hidden,0,1
68,2.791667,1,palm,left_hand,body_shell_or_occluded_handle_region,602,469.804,102.109,0.308786,1.000000,palm_handle_from_stable_grasp_anchor,-0.119914,0.053114,0.074817,hidden,0,1
69,2.833333,1,palm,left_hand,body_shell_or_occluded_handle_region,579,470.507,98.450,0.293071,1.000000,palm_handle_from_stable_grasp_anchor,-0.103006,0.029060,0.061707,hidden,0,1
70,2.875000,1,palm,left_hand,body_shell_or_occluded_handle_region,580,470.322,99.576,0.319915,1.000000,palm_handle_from_stable_grasp_anchor,-0.120937,0.043635,0.062267,hidden,0,1
71,2.916667,1,palm,left_hand,body_shell_or_occluded_handle_region,580,469.200,97.763,0.316836,1.000000,palm_handle_from_stable_grasp_anchor,-0.118348,0.040892,0.052537,hidden,0,1
72,2.958333,1,palm,left_hand,rim_ring,579,468.089,97.020,0.293266,1.000000,palm_handle_from_stable_grasp_anchor,-0.102722,0.025368,0.052940,hidden,0,1
73,3.000000,1,palm,left_hand,rim_ring,580,467.110,94.767,0.306335,1.000000,palm_handle_from_stable_grasp_anchor,-0.112340,0.030436,0.055072,hidden,0,1
74,3.041667,1,palm,left_hand,body_shell_or_occluded_handle_region,580,468.689,94.190,0.313495,1.000000,palm_handle_from_stable_grasp_anchor,-0.115397,0.037525,0.057086,hidden,0,1
75,3.083333,1,palm,left_hand,body_shell_or_occluded_handle_region,599,468.006,94.652,0.274547,1.000000,palm_handle_from_stable_grasp_anchor,-0.078145,0.014378,0.050663,hidden,0,1
76,3.125000,1,palm,left_hand,body_shell_or_occluded_handle_region,577,464.629,93.862,0.271119,1.000000,palm_handle_from_stable_grasp_anchor,-0.073441,0.006126,0.056219,hidden,0,1
77,3.166667,1,palm,left_hand,rim_ring,621,466.611,91.865,0.282368,1.000000,palm_handle_from_stable_grasp_anchor,-0.078224,0.014950,0.059585,hidden,0,1
78,3.208333,1,palm,left_hand,rim_ring,644,469.012,93.122,0.298923,1.000000,palm_handle_from_stable_grasp_anchor,-0.084054,0.031398,0.067716,hidden,0,1
79,3.250000,1,palm,left_hand,body_shell_or_occluded_handle_region,644,466.483,92.625,0.301559,1.000000,palm_handle_from_stable_grasp_anchor,-0.082772,0.027708,0.076215,hidden,0,1
80,3.291667,1,palm,left_hand,body_shell,48,467.730,93.207,0.314920,1.000000,palm_handle_from_stable_grasp_anchor,-0.084763,0.038663,0.087772,hidden,0,1
81,3.333333,1,palm,left_hand,body_shell,52,467.339,90.882,0.326544,1.000000,palm_handle_from_stable_grasp_anchor,-0.088918,0.039536,0.098558,hidden,0,1
82,3.375000,1,palm,left_hand,body_shell,56,468.268,93.433,0.309228,1.000000,palm_handle_from_stable_grasp_anchor,-0.070748,0.034562,0.092697,hidden,0,1
83,3.416667,1,palm,left_hand,rim_ring,56,468.594,93.205,0.258390,1.000000,palm_handle_from_stable_grasp_anchor,-0.044549,0.003058,0.060867,hidden,0,1
84,3.458333,1,palm,left_hand,body_shell_or_occluded_handle_region,623,469.650,94.615,0.323415,1.000000,palm_handle_from_stable_grasp_anchor,-0.102600,0.043350,0.083787,hidden,0,1
85,3.500000,1,palm,left_hand,body_shell_or_occluded_handle_region,580,470.337,93.012,0.317712,1.000000,palm_handle_from_stable_grasp_anchor,-0.115767,0.037598,0.058813,hidden,0,1
