frame,time,x,y,z,yaw,yaw_deg,pitch,pitch_deg,roll,roll_deg,scale,handle_phase_rad,handle_phase_deg,vlm_visibility,source,m45_pose_source,m45_rotation_smooth_start,m45_rotation_smooth_end,m45_static_frame,m45_yaw_input,m45_pitch_input,m45_roll_input
26,1.041667,-0.042565978,-0.132147877,3.941584976,-0.095471501,-5.470114,-0.034112537,-1.954504,-0.020264066,-1.161045,1.148687268,-0.099500,-5.7009,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
27,1.083333,-0.056052156,-0.156289207,3.930292746,-0.100262306,-5.744607,-0.029236111,-1.675106,-0.020927762,-1.199072,1.146141867,-0.042911,-2.4586,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
28,1.125000,-0.069285632,-0.179855445,3.916683254,-0.104997653,-6.015922,-0.025653553,-1.469840,-0.020956848,-1.200739,1.141920510,0.063371,3.6309,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
29,1.166667,-0.082443424,-0.203012009,3.901052953,-0.109714883,-6.286200,-0.024072553,-1.379256,-0.021340745,-1.222735,1.137054088,0.196113,11.2365,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
30,1.208333,-0.095747543,-0.225935515,3.883901891,-0.114412481,-6.555352,-0.026308360,-1.507358,-0.021594095,-1.237251,1.133473275,0.337727,19.3503,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
31,1.250000,-0.109341087,-0.248709553,3.865732517,-0.119107134,-6.824336,-0.030878376,-1.769201,-0.021248620,-1.217456,1.128669598,0.481231,27.5725,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
32,1.291667,-0.123277687,-0.271315305,3.846999661,-0.123927817,-7.100541,-0.036159352,-2.071778,-0.020729837,-1.187732,1.123545067,0.624993,35.8095,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
33,1.333333,-0.137527780,-0.293661819,3.828140583,-0.128889112,-7.384802,-0.042333007,-2.425503,-0.020189800,-1.156790,1.119100308,0.768778,44.0477,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
34,1.375000,-0.152009327,-0.315625229,3.809610813,-0.134010755,-7.678251,-0.048199709,-2.761640,-0.019396367,-1.111330,1.114418624,0.912562,52.2860,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
35,1.416667,-0.166638303,-0.337076377,3.792014690,-0.138944379,-7.960927,-0.053377084,-3.058282,-0.015372581,-0.880784,1.113716956,1.056347,60.5242,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
36,1.458333,-0.181321568,-0.357901845,3.776456589,-0.142856727,-8.185088,-0.053886450,-3.087466,0.001646329,0.094328,1.131247282,1.200131,68.7625,hidden,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
