frame,time,ball_center_x,ball_center_y,source
1,0.000000,654.000,837.500,cotracker_box_center
2,0.033333,654.170,837.902,cotracker_box_center
3,0.066667,654.102,837.968,cotracker_box_center
4,0.100000,653.801,837.846,cotracker_box_center
5,0.133333,653.770,837.825,cotracker_box_center
6,0.166667,653.819,837.781,cotracker_box_center
7,0.200000,653.867,837.769,cotracker_box_center
8,0.233333,653.930,837.727,cotracker_box_center
9,0.266667,653.986,837.652,cotracker_box_center
10,0.300000,654.038,837.609,cotracker_box_center
11,0.333333,653.972,837.612,cotracker_box_center
12,0.366667,653.976,837.712,cotracker_box_center
13,0.400000,654.015,837.824,cotracker_box_center
14,0.433333,654.028,837.859,cotracker_box_center
15,0.466667,654.155,837.911,cotracker_box_center
16,0.500000,654.179,837.852,cotracker_box_center
17,0.533333,654.285,837.889,cotracker_box_center
18,0.566667,654.347,837.902,cotracker_box_center
19,0.600000,654.294,837.907,cotracker_box_center
20,0.633333,654.443,837.902,cotracker_box_center
21,0.666667,654.378,837.780,cotracker_box_center
22,0.700000,654.271,837.687,cotracker_box_center
23,0.733333,654.257,837.717,cotracker_box_center
24,0.766667,654.224,837.632,cotracker_box_center
25,0.800000,654.207,837.668,cotracker_box_center
26,0.833333,654.131,837.686,cotracker_box_center
27,0.866667,654.010,837.632,cotracker_box_center
28,0.900000,653.935,837.671,cotracker_box_center
29,0.933333,654.001,837.606,cotracker_box_center
30,0.966667,653.894,837.668,cotracker_box_center
31,1.000000,653.917,837.720,cotracker_box_center
32,1.033333,653.993,837.738,cotracker_box_center
33,1.066667,653.000,838.000,cotracker_box_center
34,1.100000,652.708,838.625,cotracker_box_center
35,1.133333,652.864,838.748,cotracker_box_center
36,1.166667,652.936,838.445,cotracker_box_center
37,1.200000,653.085,838.284,cotracker_box_center
38,1.233333,653.152,838.345,cotracker_box_center
39,1.266667,653.814,838.171,cotracker_box_center
40,1.300000,653.481,838.188,cotracker_tb_center
41,1.333333,653.469,838.188,cotracker_tb_center
42,1.366667,653.546,838.162,cotracker_tb_center
43,1.400000,653.704,838.100,cotracker_tb_center
44,1.433333,653.766,838.099,cotracker_tb_center
45,1.466667,653.733,838.241,cotracker_tb_center
46,1.500000,653.850,838.156,cotracker_tb_center
47,1.533333,653.747,838.145,cotracker_tb_center
48,1.566667,653.966,838.133,cotracker_tb_center
49,1.600000,653.962,838.107,cotracker_tb_center
50,1.633333,654.115,838.037,cotracker_tb_center
51,1.666667,653.866,838.142,cotracker_tb_center
52,1.700000,682.704,787.710,cotracker_center_fallback
53,1.733333,682.303,787.945,cotracker_center_fallback
54,1.766667,700.809,711.024,cotracker_center_fallback
55,1.800000,711.371,631.171,cotracker_center_fallback
56,1.833333,716.724,576.812,cotracker_center_fallback
57,1.866667,724.903,523.836,cotracker_center_fallback
58,1.900000,732.455,473.137,cotracker_center_fallback
59,1.933333,733.883,471.808,cotracker_center_fallback
