frame,time,object_name,center_x,center_y,center_source,tracking_available,track_center_x,track_center_y,track_center_source,mask_available,mask_center_x,mask_center_y,mask_area_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w_px,bbox_h_px,enclosing_radius_px,major_axis_px,minor_axis_px,aspect_ratio,circularity,body_available,body_center_x,body_center_y,body_bbox_x1,body_bbox_y1,body_bbox_x2,body_bbox_y2,body_bbox_w_px,body_bbox_h_px,handle_side,handle_extra_left_px,handle_extra_right_px,track_geometry_conf,mask_conf,observation_conf,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
1,0.000000,chair,823.192,495.173,tracking,1,823.192,495.173,,1,822.311,496.913,24264.0,724.000,377.000,902.000,629.000,178.000,252.000,132.385,231.878,171.393,0.706349,0.311382,0,,,,,,,,,,,,0.000000,0.311382,0.311382,,,,,,,,,,,,
2,0.041667,chair,822.802,495.468,tracking,1,822.802,495.468,,1,821.887,497.043,24436.0,723.000,376.000,902.000,629.000,179.000,253.000,132.677,232.521,175.849,0.707510,0.318185,0,,,,,,,,,,,,0.000000,0.318185,0.318185,,,,,,,,,,,,
3,0.083333,chair,822.741,495.758,tracking,1,822.741,495.758,,1,821.858,497.191,24406.0,723.000,376.000,902.000,629.000,179.000,253.000,132.415,232.823,175.685,0.707510,0.318869,0,,,,,,,,,,,,0.000000,0.318869,0.318869,,,,,,,,,,,,
4,0.125000,chair,822.959,496.168,tracking,1,822.959,496.168,,1,822.205,497.422,24309.0,724.000,376.000,902.000,629.000,178.000,253.000,131.887,234.188,172.675,0.703557,0.316752,0,,,,,,,,,,,,0.000000,0.316752,0.316752,,,,,,,,,,,,
5,0.166667,chair,822.968,496.734,tracking,1,822.968,496.734,,1,822.214,497.771,24334.0,723.000,376.000,902.000,629.000,179.000,253.000,130.972,233.475,173.101,0.707510,0.311148,0,,,,,,,,,,,,0.000000,0.311148,0.311148,,,,,,,,,,,,
6,0.208333,chair,822.468,495.950,tracking,1,822.468,495.950,,1,821.784,497.254,24124.0,723.000,378.000,901.000,629.000,178.000,251.000,130.673,228.984,174.742,0.709163,0.309800,0,,,,,,,,,,,,0.000000,0.309800,0.309800,,,,,,,,,,,,
7,0.250000,chair,822.656,496.749,tracking,1,822.656,496.749,,1,821.862,497.870,24344.0,723.000,378.000,901.000,629.000,178.000,251.000,130.410,229.263,174.356,0.709163,0.312843,0,,,,,,,,,,,,0.000000,0.312843,0.312843,,,,,,,,,,,,
8,0.291667,chair,822.002,495.446,tracking,1,822.002,495.446,,1,821.309,496.816,23902.0,723.000,380.000,899.000,629.000,176.000,249.000,129.458,231.352,164.249,0.706827,0.340107,0,,,,,,,,,,,,0.000000,0.340107,0.340107,,,,,,,,,,,,
9,0.333333,chair,821.777,495.450,tracking,1,821.777,495.450,,1,821.220,496.953,23848.0,723.000,382.000,899.000,629.000,176.000,247.000,129.058,231.420,164.641,0.712551,0.343104,0,,,,,,,,,,,,0.000000,0.343104,0.343104,,,,,,,,,,,,
10,0.375000,chair,821.462,495.870,tracking,1,821.462,495.870,,1,821.035,497.325,23750.5,723.000,383.000,899.000,629.000,176.000,246.000,127.908,229.005,162.041,0.715447,0.346313,0,,,,,,,,,,,,0.000000,0.346313,0.346313,,,,,,,,,,,,
11,0.416667,chair,821.402,496.074,tracking,1,821.402,496.074,,1,820.996,497.523,23706.0,723.000,384.000,900.000,629.000,177.000,245.000,126.873,228.792,163.300,0.722449,0.346976,0,,,,,,,,,,,,0.000000,0.346976,0.346976,,,,,,,,,,,,
12,0.458333,chair,822.043,497.818,tracking,1,822.043,497.818,,1,821.605,498.866,23981.0,723.000,385.000,901.000,629.000,178.000,244.000,126.970,227.891,175.782,0.729508,0.316332,0,,,,,,,,,,,,0.000000,0.316332,0.316332,,,,,,,,,,,,
13,0.500000,chair,821.976,498.228,tracking,1,821.976,498.228,,1,821.560,499.090,23972.5,723.000,386.000,901.000,629.000,178.000,243.000,126.082,225.118,174.253,0.732510,0.320077,0,,,,,,,,,,,,0.000000,0.320077,0.320077,,,,,,,,,,,,
14,0.541667,chair,821.317,497.497,tracking,1,821.317,497.497,,1,821.123,498.593,23684.5,723.000,386.000,901.000,629.000,178.000,243.000,125.266,224.885,176.433,0.732510,0.315916,0,,,,,,,,,,,,0.000000,0.315916,0.315916,,,,,,,,,,,,
15,0.583333,chair,821.898,498.714,tracking,1,821.898,498.714,,1,821.508,499.225,23973.5,723.000,386.000,901.000,629.000,178.000,243.000,125.450,224.488,174.737,0.732510,0.324087,0,,,,,,,,,,,,0.000000,0.324087,0.324087,,,,,,,,,,,,
16,0.625000,chair,821.916,498.726,tracking,1,821.916,498.726,,1,821.514,499.217,24011.5,723.000,386.000,901.000,629.000,178.000,243.000,125.925,226.293,173.490,0.732510,0.325952,0,,,,,,,,,,,,0.000000,0.325952,0.325952,,,,,,,,,,,,
17,0.666667,chair,821.839,498.869,tracking,1,821.839,498.869,,1,821.419,499.297,24007.5,723.000,386.000,901.000,629.000,178.000,243.000,125.735,224.649,171.385,0.732510,0.326226,0,,,,,,,,,,,,0.000000,0.326226,0.326226,,,,,,,,,,,,
18,0.708333,chair,821.884,498.969,tracking,1,821.884,498.969,,1,821.371,499.386,24021.0,723.000,386.000,901.000,629.000,178.000,243.000,126.133,224.796,172.571,0.732510,0.324009,0,,,,,,,,,,,,0.000000,0.324009,0.324009,,,,,,,,,,,,
19,0.750000,chair,821.812,498.904,tracking,1,821.812,498.904,,1,821.287,499.317,24046.5,723.000,386.000,901.000,629.000,178.000,243.000,126.338,225.123,172.045,0.732510,0.324516,0,,,,,,,,,,,,0.000000,0.324516,0.324516,,,,,,,,,,,,
20,0.791667,chair,821.604,498.723,tracking,1,821.604,498.723,,1,821.156,499.171,24050.5,723.000,386.000,901.000,629.000,178.000,243.000,126.761,224.425,172.857,0.732510,0.324109,0,,,,,,,,,,,,0.000000,0.324109,0.324109,,,,,,,,,,,,
21,0.833333,chair,821.387,498.902,tracking,1,821.387,498.902,,1,820.949,499.207,24054.0,723.000,386.000,901.000,629.000,178.000,243.000,126.934,224.100,174.389,0.732510,0.325339,0,,,,,,,,,,,,0.000000,0.325339,0.325339,,,,,,,,,,,,
22,0.875000,chair,821.061,498.744,tracking,1,821.061,498.744,,1,820.611,499.052,24067.0,722.000,385.000,901.000,629.000,179.000,244.000,127.148,222.875,176.326,0.733607,0.321179,0,,,,,,,,,,,,0.000000,0.321179,0.321179,,,,,,,,,,,,
23,0.916667,chair,820.829,498.334,tracking,1,820.829,498.334,,1,820.237,498.693,24098.0,722.000,385.000,901.000,629.000,179.000,244.000,127.161,224.796,177.668,0.733607,0.323246,0,,,,,,,,,,,,0.000000,0.323246,0.323246,,,,,,,,,,,,
