frame,motion_regime,sequence_se3_optimizer_enabled,visual_residual_enabled,contact_anchor_residual_enabled,depth_residual_enabled,geometry_residual_enabled,velocity_residual_enabled,acceleration_residual_enabled,static_freeze_residual_enabled,boundary_freeze_interpolation_enabled,static_tail_freeze_enabled,trust_weight,smooth_weight,accel_weight,feedback_reoptimized,feedback_reweight_reason,visual_prior_reason,overlay_prior_reason,pose_lock_reason,decision_source
41,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.673333,1,,,,,generic_sequence_se3_mainline
42,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.673333,1,,,,,generic_sequence_se3_mainline
43,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.646667,1,,,,,generic_sequence_se3_mainline
44,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.646667,1,,,,,generic_sequence_se3_mainline
45,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.520000,1,,,,,generic_sequence_se3_mainline
46,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.550000,0.913333,1,,,,,generic_sequence_se3_mainline
47,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,0.865000,0.913333,1,,,,,generic_sequence_se3_mainline
48,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,1.135000,1.066667,1,,,,,generic_sequence_se3_mainline
49,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.546667,1,,,,,generic_sequence_se3_mainline
50,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.550000,0.393333,1,,,,,generic_sequence_se3_mainline
51,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.280000,0.576667,1,,,,,generic_sequence_se3_mainline
52,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.715000,0.913333,1,,,,,generic_sequence_se3_mainline
53,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
54,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
55,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
56,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
57,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.066667,1,,,,,generic_sequence_se3_mainline
58,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,0.883333,1,,,,,generic_sequence_se3_mainline
59,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.700000,1,,,,,generic_sequence_se3_mainline
60,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.700000,1,,,,,generic_sequence_se3_mainline
61,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.700000,1,,,,,generic_sequence_se3_mainline
62,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.700000,1,,,,,generic_sequence_se3_mainline
63,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.673333,1,,,,,generic_sequence_se3_mainline
64,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.646667,1,,,,,generic_sequence_se3_mainline
65,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.830000,1,,,,,generic_sequence_se3_mainline
66,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.935000,0.856667,1,,,,,generic_sequence_se3_mainline
67,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,0.883333,1,,,,,generic_sequence_se3_mainline
68,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.700000,1,,,,,generic_sequence_se3_mainline
69,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.883333,1,,,,,generic_sequence_se3_mainline
70,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,1.066667,1,,,,,generic_sequence_se3_mainline
71,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.066667,1,,,,,generic_sequence_se3_mainline
72,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,1.066667,1,,,,,generic_sequence_se3_mainline
73,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,0.730000,1,,,,,generic_sequence_se3_mainline
74,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.715000,1.096667,1,,,,,generic_sequence_se3_mainline
75,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,0.865000,0.913333,1,,,,,generic_sequence_se3_mainline
76,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,1.135000,1.066667,1,,,,,generic_sequence_se3_mainline
77,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.883333,1,,,,,generic_sequence_se3_mainline
78,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,1.066667,1,,,,,generic_sequence_se3_mainline
79,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
80,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
81,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.040000,1,,,,,generic_sequence_se3_mainline
82,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.935000,0.856667,1,,,,,generic_sequence_se3_mainline
83,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.673333,1,,,,,generic_sequence_se3_mainline
84,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.700000,1,,,,,generic_sequence_se3_mainline
85,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.546667,1,,,,,generic_sequence_se3_mainline
86,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.550000,0.546667,1,,,,,generic_sequence_se3_mainline
87,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.550000,0.546667,1,,,,,generic_sequence_se3_mainline
88,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.700000,1,,,,,generic_sequence_se3_mainline
89,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.883333,1,,,,,generic_sequence_se3_mainline
90,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,1.066667,1,,,,,generic_sequence_se3_mainline
91,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
92,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
93,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
94,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
95,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.066667,1,,,,,generic_sequence_se3_mainline
96,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,0.883333,1,,,,,generic_sequence_se3_mainline
97,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.700000,1,,,,,generic_sequence_se3_mainline
98,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.883333,1,,,,,generic_sequence_se3_mainline
99,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,0.883333,1,,,,,generic_sequence_se3_mainline
100,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,1.066667,1,,,,,generic_sequence_se3_mainline
101,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,1.250000,1,,,,,generic_sequence_se3_mainline
102,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,1.300000,1.433333,1,,,,,generic_sequence_se3_mainline
103,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.300000,1.433333,1,,,,,generic_sequence_se3_mainline
104,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
105,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.066667,1,,,,,generic_sequence_se3_mainline
106,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,0.883333,1,,,,,generic_sequence_se3_mainline
107,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.673333,1,,,,,generic_sequence_se3_mainline
108,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.646667,1,,,,,generic_sequence_se3_mainline
109,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.813333,1,,,,,generic_sequence_se3_mainline
110,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,0.885000,0.813333,1,,,,,generic_sequence_se3_mainline
111,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.885000,0.813333,1,,,,,generic_sequence_se3_mainline
112,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.493333,1,,,,,generic_sequence_se3_mainline
113,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.500000,0.366667,1,,,,,generic_sequence_se3_mainline
114,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.280000,0.393333,1,,,,,generic_sequence_se3_mainline
115,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.550000,0.393333,1,,,,,generic_sequence_se3_mainline
116,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.550000,0.730000,1,,,,,generic_sequence_se3_mainline
117,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.715000,0.730000,1,,,,,generic_sequence_se3_mainline
118,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,0.730000,1,,,,,generic_sequence_se3_mainline
119,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.550000,0.520000,1,,,,,generic_sequence_se3_mainline
120,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.500000,0.703333,1,,,,,generic_sequence_se3_mainline
121,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.935000,1.040000,1,,,,,generic_sequence_se3_mainline
122,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
123,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
124,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
125,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.066667,1,,,,,generic_sequence_se3_mainline
126,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,1.066667,1,,,,,generic_sequence_se3_mainline
127,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,0.883333,1,,,,,generic_sequence_se3_mainline
128,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,0.883333,1,,,,,generic_sequence_se3_mainline
129,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.700000,1,,,,,generic_sequence_se3_mainline
130,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.700000,1,,,,,generic_sequence_se3_mainline
131,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.673333,1,,,,,generic_sequence_se3_mainline
132,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.673333,1,,,,,generic_sequence_se3_mainline
133,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.646667,1,,,,,generic_sequence_se3_mainline
