frame,time,contact_active,human_part,human_side,object_part,object_local_id,contact_u,contact_v,contact_depth_offset_m,contact_conf,anchor_score,source
53,2.166667,0,none,right,none,left,798.861,252.394,-0.021025,0.010524,0.000000,hand_floor_from_anchor_floor_candidates
54,2.208333,0,none,right,none,left,792.463,242.674,-0.006219,0.007967,0.000000,hand_floor_from_anchor_floor_candidates
55,2.250000,0,none,right,none,left,779.964,231.092,-0.000121,0.007415,0.000000,hand_floor_from_anchor_floor_candidates
56,2.291667,0,none,right,none,left,767.272,225.101,0.026141,0.006705,0.000000,hand_floor_from_anchor_floor_candidates
57,2.333333,0,none,right,none,left,755.037,223.854,0.023571,0.006352,0.000000,hand_floor_from_anchor_floor_candidates
58,2.375000,0,none,right,none,left,741.728,228.560,0.024991,0.006250,0.000000,hand_floor_from_anchor_floor_candidates
59,2.416667,0,none,right,none,left,728.243,237.354,0.030903,0.006163,0.000000,hand_floor_from_anchor_floor_candidates
60,2.458333,0,none,right,none,left,713.913,252.011,0.029702,0.005945,0.000000,hand_floor_from_anchor_floor_candidates
61,2.500000,0,none,right,none,left,700.392,271.301,0.032766,0.005722,0.000000,hand_floor_from_anchor_floor_candidates
62,2.541667,0,none,right,none,left,688.423,294.542,0.027536,0.005210,0.000000,hand_floor_from_anchor_floor_candidates
63,2.583333,0,none,right,none,left,676.291,324.167,0.025801,0.004670,0.000000,hand_floor_from_anchor_floor_candidates
64,2.625000,0,none,right,none,left,665.069,356.441,0.043148,0.004317,0.095627,hand_floor_from_anchor_floor_candidates
65,2.666667,0,none,right,none,left,653.519,390.983,0.024211,0.004485,0.434570,hand_floor_from_anchor_floor_candidates
66,2.708333,0,none,right,none,left,645.107,394.789,0.015580,0.004898,0.472061,hand_floor_from_anchor_floor_candidates
67,2.750000,0,none,right,none,left,638.391,369.252,0.013528,0.005922,0.219395,hand_floor_from_anchor_floor_candidates
68,2.791667,0,none,right,none,left,632.413,348.138,0.007742,0.007967,0.018627,hand_floor_from_anchor_floor_candidates
69,2.833333,0,none,right,none,left,626.783,332.019,0.016949,0.013221,0.000000,hand_floor_from_anchor_floor_candidates
70,2.875000,0,none,right,none,left,619.050,321.347,0.014938,0.024641,0.000000,hand_floor_from_anchor_floor_candidates
71,2.916667,0,none,right,none,left,610.398,316.146,0.030280,0.044687,0.000000,hand_floor_from_anchor_floor_candidates
72,2.958333,0,none,right,none,left,601.134,316.348,0.040189,0.076099,0.000000,hand_floor_from_anchor_floor_candidates
73,3.000000,0,none,right,none,left,591.157,320.121,0.014905,0.125101,0.000000,hand_floor_from_anchor_floor_candidates
74,3.041667,0,none,right,none,right,601.813,326.938,0.045716,0.140299,0.000000,hand_floor_from_anchor_floor_candidates
75,3.083333,0,none,right,none,right,601.097,324.973,0.070692,0.117902,0.000000,hand_floor_from_anchor_floor_candidates
76,3.125000,0,none,right,none,bottom,600.315,316.590,0.029996,0.072073,0.000000,hand_floor_from_anchor_floor_candidates
77,3.166667,0,none,right,none,bottom,616.466,298.610,0.010787,0.029929,0.000000,hand_floor_from_anchor_floor_candidates
78,3.208333,0,none,right,none,bottom,630.204,289.729,0.011865,0.015499,0.000000,hand_floor_from_anchor_floor_candidates
79,3.250000,0,none,right,none,bottom,643.470,287.640,0.022627,0.009551,0.000000,hand_floor_from_anchor_floor_candidates
80,3.291667,0,none,right,none,bottom,657.364,292.486,0.007235,0.007737,0.000000,hand_floor_from_anchor_floor_candidates
81,3.333333,0,none,right,none,left,658.674,294.204,0.003780,0.009231,0.000000,hand_floor_from_anchor_floor_candidates
82,3.375000,0,none,right,none,left,671.692,313.753,-0.068102,0.017833,0.000000,hand_floor_from_anchor_floor_candidates
83,3.416667,0,none,right,none,left,684.527,340.738,0.224450,0.043510,0.000000,hand_floor_from_anchor_floor_candidates
84,3.458333,0,none,right,none,left,697.941,371.902,-0.966485,0.116944,0.268201,hand_floor_from_anchor_floor_candidates
85,3.500000,0,none,right,none,left,721.562,346.940,-0.063737,0.093439,0.016810,hand_floor_from_anchor_floor_candidates
