frame,visual_spike,raw_visual_spike,contact_spike,smoothness_spike,freeze_or_propagate,motion_regime,pre_smooth_translation_jump_m,final_translation_jump_m,visual_spike_threshold_m,velocity_spike_threshold,accel_spike_threshold,se3_velocity_spike,se3_accel_spike,raw_se3_velocity_spike,raw_se3_accel_spike,delta_translation_m,delta_rotation_rad
49,0,0,0,0,optimize,uniform_motion,0.041627,0.009627,0.180000,0.220000,0.220000,0,0,0,1,0.374985,0.000000
50,0,1,0,0,optimize,high_speed,0.473999,0.032606,0.300000,0.420000,0.340000,0,0,1,1,0.104001,0.000000
51,0,0,0,0,optimize,high_speed,0.124590,0.034524,0.300000,0.420000,0.340000,0,0,0,0,0.190640,0.000000
52,0,0,0,0,optimize,low_speed,0.026468,0.033671,0.100000,0.120000,0.120000,0,0,0,0,0.186523,0.000000
53,0,0,0,0,optimize,low_speed,0.019276,0.033142,0.100000,0.120000,0.120000,0,0,0,0,0.186582,0.000000
54,0,0,0,0,optimize,low_speed,0.026444,0.032747,0.100000,0.120000,0.120000,0,0,0,0,0.180594,0.000000
55,0,0,0,0,optimize,low_speed,0.031904,0.032223,0.100000,0.120000,0.120000,0,0,0,0,0.168257,0.000000
56,0,0,0,0,optimize,low_speed,0.029371,0.031618,0.100000,0.120000,0.120000,0,0,0,0,0.160731,0.000000
57,0,0,0,0,optimize,low_speed,0.024965,0.031026,0.100000,0.120000,0.120000,0,0,0,0,0.151227,0.000000
58,0,0,0,0,optimize,uniform_motion,0.035867,0.030290,0.180000,0.220000,0.220000,0,0,0,0,0.137702,0.000000
59,0,0,0,0,optimize,uniform_motion,0.039747,0.029278,0.180000,0.220000,0.220000,0,0,0,0,0.118979,0.000000
60,0,0,0,0,optimize,uniform_motion,0.040079,0.029875,0.180000,0.220000,0.220000,0,0,0,0,0.095157,0.000000
61,0,0,0,0,optimize,uniform_motion,0.064224,0.028955,0.180000,0.220000,0.220000,0,0,0,0,0.060574,0.000000
62,0,0,0,0,optimize,uniform_motion,0.054259,0.027636,0.180000,0.220000,0.220000,0,0,0,0,0.021468,0.000000
63,0,0,0,0,optimize,uniform_motion,0.063361,0.026015,0.180000,0.220000,0.220000,0,0,0,0,0.033396,0.000000
64,0,0,0,0,optimize,free_motion,0.081897,0.023650,0.180000,0.220000,0.220000,0,0,0,0,0.097454,0.000000
65,0,0,0,0,optimize,free_motion,0.073043,0.017064,0.180000,0.220000,0.220000,0,0,0,0,0.161687,0.000000
66,0,0,0,0,optimize,low_speed,0.018318,0.016509,0.100000,0.120000,0.120000,0,0,0,0,0.166542,0.000000
67,0,0,0,0,optimize,uniform_motion,0.052822,0.015959,0.180000,0.220000,0.220000,0,0,0,0,0.116377,0.000000
68,0,0,0,0,optimize,uniform_motion,0.043935,0.015451,0.180000,0.220000,0.220000,0,0,0,0,0.075181,0.000000
69,0,0,0,0,optimize,uniform_motion,0.033936,0.031832,0.180000,0.220000,0.220000,0,0,0,0,0.074205,0.000000
70,0,0,0,0,optimize,low_speed,0.027099,0.032695,0.100000,0.120000,0.120000,0,0,0,0,0.105045,0.000000
71,0,0,0,0,optimize,low_speed,0.020725,0.033158,0.100000,0.120000,0.120000,0,0,0,0,0.133224,0.000000
72,0,0,0,0,optimize,uniform_motion,0.054996,0.033536,0.180000,0.220000,0.220000,0,0,0,0,0.117717,0.000000
73,0,0,0,0,optimize,low_speed,0.021298,0.033731,0.100000,0.120000,0.120000,0,0,0,1,0.154666,0.000000
74,0,1,0,0,optimize,high_speed,0.358758,0.033579,0.300000,0.420000,0.340000,0,0,1,1,0.191812,0.000000
75,0,0,0,0,optimize,static_hold,0.004046,0.033361,0.100000,0.120000,0.120000,0,0,0,0,0.161427,0.000000
76,0,0,0,0,optimize,uniform_motion,0.047170,0.032596,0.180000,0.220000,0.220000,0,0,0,0,0.093982,0.000000
77,0,0,0,0,optimize,uniform_motion,0.041733,0.031869,0.180000,0.220000,0.220000,0,0,0,0,0.058737,0.000000
78,0,0,0,0,optimize,low_speed,0.033260,0.019474,0.100000,0.120000,0.120000,0,0,0,0,0.050213,0.000000
79,0,0,0,0,optimize,low_speed,0.024004,0.020052,0.100000,0.120000,0.120000,0,0,0,0,0.048433,0.000000
80,0,0,0,0,optimize,low_speed,0.029580,0.020495,0.100000,0.120000,0.120000,0,0,0,0,0.048737,0.000000
81,0,0,0,0,optimize,low_speed,0.029679,0.020976,0.100000,0.120000,0.120000,0,0,0,0,0.037654,0.000000
82,0,0,0,0,optimize,free_motion,0.070020,0.021916,0.180000,0.220000,0.220000,0,0,0,0,0.097234,0.000000
83,0,0,0,0,optimize,uniform_motion,0.050203,0.023354,0.180000,0.220000,0.220000,0,0,0,0,0.122033,0.000000
84,0,0,0,0,optimize,uniform_motion,0.058026,0.025531,0.180000,0.220000,0.220000,0,0,0,0,0.167340,0.000000
85,0,0,0,0,optimize,uniform_motion,0.059052,0.026593,0.180000,0.220000,0.220000,0,0,0,1,0.143380,0.000000
86,0,1,0,0,optimize,high_speed,0.204729,0.027750,0.300000,0.420000,0.340000,0,0,1,1,0.077355,0.000000
87,0,0,0,0,optimize,uniform_motion,0.069033,0.027433,0.180000,0.220000,0.220000,0,0,0,0,0.081080,0.000000
88,0,0,0,0,optimize,uniform_motion,0.051501,0.016970,0.180000,0.220000,0.220000,0,0,0,0,0.109067,0.000000
89,0,0,0,0,optimize,uniform_motion,0.037679,0.012842,0.180000,0.220000,0.220000,0,0,0,0,0.138767,0.000000
90,0,0,0,0,optimize,low_speed,0.021764,0.012132,0.100000,0.120000,0.120000,0,0,0,0,0.135917,0.000000
91,0,0,0,0,optimize,low_speed,0.018161,0.011855,0.100000,0.120000,0.120000,0,0,0,0,0.133040,0.000000
92,0,0,0,0,optimize,low_speed,0.014053,0.011764,0.100000,0.120000,0.120000,0,0,0,0,0.126543,0.000000
93,0,0,0,0,optimize,low_speed,0.013835,0.011756,0.100000,0.120000,0.120000,0,0,0,0,0.117148,0.000000
94,0,0,0,0,optimize,low_speed,0.018585,0.011815,0.100000,0.120000,0.120000,0,0,0,0,0.101700,0.000000
95,0,0,0,0,optimize,low_speed,0.027518,0.011907,0.100000,0.120000,0.120000,0,0,0,0,0.079015,0.000000
96,0,0,0,0,optimize,uniform_motion,0.040498,0.012052,0.180000,0.220000,0.220000,0,0,0,0,0.046491,0.000000
97,0,0,0,0,optimize,uniform_motion,0.048977,0.012226,0.180000,0.220000,0.220000,0,0,0,0,0.015238,0.000000
98,0,0,0,0,optimize,uniform_motion,0.050417,0.012683,0.180000,0.220000,0.220000,0,0,0,0,0.043382,0.000000
99,0,0,0,0,optimize,low_speed,0.017015,0.012510,0.100000,0.120000,0.120000,0,0,0,0,0.026533,0.000000
100,0,0,0,0,optimize,uniform_motion,0.052873,0.012090,0.180000,0.220000,0.220000,0,0,0,0,0.029485,0.000000
101,0,0,0,0,optimize,low_speed,0.018636,0.011624,0.100000,0.120000,0.120000,0,0,0,0,0.030636,0.000000
102,0,0,0,0,optimize,static_hold,0.008667,0.011219,0.100000,0.120000,0.120000,0,0,0,0,0.033665,0.000000
103,0,0,0,0,optimize,low_speed,0.014725,0.010967,0.100000,0.120000,0.120000,0,0,0,0,0.034449,0.000000
104,0,0,0,0,optimize,low_speed,0.020053,0.010741,0.100000,0.120000,0.120000,0,0,0,0,0.019149,0.000000
105,0,0,0,0,optimize,low_speed,0.032243,0.010431,0.100000,0.120000,0.120000,0,0,0,0,0.009858,0.000000
106,0,0,0,0,optimize,uniform_motion,0.049463,0.010001,0.180000,0.220000,0.220000,0,0,0,0,0.051864,0.000000
107,0,0,0,0,optimize,uniform_motion,0.067767,0.009286,0.180000,0.220000,0.220000,0,0,0,0,0.113884,0.000000
108,0,0,0,0,optimize,free_motion,0.102430,0.007598,0.180000,0.220000,0.220000,0,0,0,0,0.205771,0.000000
109,0,0,0,0,optimize,free_motion,0.104345,0.007032,0.180000,0.220000,0.220000,0,0,0,0,0.303957,0.000000
110,0,0,0,0,optimize,sustained_grasp,0.082165,0.007184,0.180000,0.220000,0.220000,0,0,0,1,0.382086,0.000000
111,0,0,0,0,optimize,free_motion,0.087285,0.007885,0.180000,0.220000,0.220000,0,0,0,0,0.296923,0.000000
112,0,0,0,0,optimize,free_motion,0.083492,0.008740,0.180000,0.220000,0.220000,0,0,0,0,0.218331,0.000000
113,0,0,0,0,optimize,high_speed,0.113447,0.035966,0.300000,0.420000,0.340000,0,0,0,0,0.137024,0.000000
114,0,0,0,0,optimize,high_speed,0.147543,0.039279,0.300000,0.420000,0.340000,0,0,0,1,0.112118,0.000000
115,0,0,0,0,optimize,uniform_motion,0.035344,0.038847,0.180000,0.220000,0.220000,0,0,0,1,0.075110,0.000000
116,0,0,0,0,optimize,high_speed,0.167205,0.015076,0.300000,0.420000,0.340000,0,0,0,1,0.198305,0.000000
117,0,0,0,0,optimize,low_speed,0.028297,0.014674,0.100000,0.120000,0.120000,0,0,0,0,0.191447,0.000000
118,0,0,0,0,optimize,uniform_motion,0.033488,0.014186,0.180000,0.220000,0.220000,0,0,0,1,0.185010,0.000000
119,0,0,0,0,optimize,high_speed,0.172731,0.013857,0.300000,0.420000,0.340000,0,0,1,0,0.031650,0.000000
120,0,0,0,0,optimize,free_motion,0.081514,0.015750,0.180000,0.220000,0.220000,0,0,0,0,0.071388,0.000000
121,0,0,0,0,optimize,low_speed,0.028082,0.012277,0.100000,0.120000,0.120000,0,0,0,0,0.089312,0.000000
122,0,0,0,0,optimize,low_speed,0.027251,0.012509,0.100000,0.120000,0.120000,0,0,0,0,0.099427,0.000000
123,0,0,0,0,optimize,low_speed,0.016596,0.012865,0.100000,0.120000,0.120000,0,0,0,0,0.115934,0.000000
124,0,0,0,0,optimize,low_speed,0.016439,0.013412,0.100000,0.120000,0.120000,0,0,0,0,0.130569,0.000000
125,0,0,0,0,optimize,low_speed,0.012527,0.014126,0.100000,0.120000,0.120000,0,0,0,0,0.124333,0.000000
126,0,0,0,0,optimize,uniform_motion,0.036617,0.015562,0.180000,0.220000,0.220000,0,0,0,0,0.103637,0.000000
127,0,0,0,0,optimize,low_speed,0.032720,0.016683,0.100000,0.120000,0.120000,0,0,0,0,0.089568,0.000000
128,0,0,0,0,optimize,uniform_motion,0.059558,0.018116,0.180000,0.220000,0.220000,0,0,0,0,0.054096,0.000000
129,0,0,0,0,optimize,uniform_motion,0.041758,0.018925,0.180000,0.220000,0.220000,0,0,0,0,0.027318,0.000000
130,0,0,0,0,optimize,uniform_motion,0.066134,0.019461,0.180000,0.220000,0.220000,0,0,0,0,0.026398,0.000000
131,0,0,0,0,optimize,uniform_motion,0.050101,0.019322,0.180000,0.220000,0.220000,0,0,0,0,0.055798,0.000000
132,0,0,0,0,optimize,free_motion,0.088268,0.018508,0.180000,0.220000,0.220000,0,0,0,0,0.126062,0.000000
133,0,0,0,0,optimize,uniform_motion,0.056223,0.016717,0.180000,0.220000,0.220000,0,0,0,0,0.165875,0.000000
134,0,0,0,0,optimize,free_motion,0.070215,0.005523,0.180000,0.220000,0.220000,0,0,0,0,0.226986,0.000000
135,0,0,0,0,optimize,static_hold,0.010766,0.004571,0.100000,0.120000,0.120000,0,0,0,0,0.225344,0.000000
136,0,0,0,0,optimize,free_motion,0.075099,0.003652,0.180000,0.220000,0.220000,0,0,0,0,0.155249,0.000000
137,0,0,0,0,optimize,free_motion,0.075042,0.002977,0.180000,0.220000,0.220000,0,0,0,0,0.093398,0.000000
138,0,0,0,0,optimize,uniform_motion,0.051270,0.003587,0.180000,0.220000,0.220000,0,0,0,0,0.061886,0.000000
139,0,0,0,0,optimize,uniform_motion,0.041569,0.008459,0.180000,0.220000,0.220000,0,0,0,0,0.060728,0.000000
140,0,0,0,0,optimize,low_speed,0.033262,0.010269,0.100000,0.120000,0.120000,0,0,0,0,0.073355,0.000000
141,0,0,0,0,optimize,low_speed,0.021871,0.011635,0.100000,0.120000,0.120000,0,0,0,0,0.083393,0.000000
142,0,0,0,0,optimize,low_speed,0.017029,0.012752,0.100000,0.120000,0.120000,0,0,0,0,0.087501,0.000000
143,0,0,0,0,optimize,low_speed,0.017702,0.014184,0.100000,0.120000,0.120000,0,0,0,0,0.084033,0.000000
144,0,0,0,0,optimize,low_speed,0.023708,0.015695,0.100000,0.120000,0.120000,0,0,0,0,0.077014,0.000000
145,0,0,0,0,optimize,uniform_motion,0.034719,0.021142,0.180000,0.220000,0.220000,0,0,0,0,0.069591,0.000000
146,0,0,0,0,optimize,uniform_motion,0.058603,0.034182,0.180000,0.220000,0.220000,0,0,0,0,0.069545,0.000000
147,0,0,0,0,optimize,uniform_motion,0.060903,0.036891,0.180000,0.220000,0.220000,0,0,0,1,0.130859,0.000000
148,0,1,0,0,optimize,high_speed,0.198775,0.038830,0.300000,0.420000,0.340000,0,0,1,0,0.171140,0.000000
149,0,1,0,0,optimize,high_speed,0.214405,0.041044,0.300000,0.420000,0.340000,0,0,1,1,0.285538,0.000000
150,0,0,0,0,optimize,static_hold,0.010959,0.040174,0.100000,0.120000,0.120000,0,0,0,0,0.261532,0.000000
151,0,0,0,0,optimize,uniform_motion,0.058164,0.039213,0.180000,0.220000,0.220000,0,0,0,0,0.229664,0.000000
