frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,u_proj,v_proj,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,support_v_obs,depth_prior_m,contact_depth_offset_m,contact_frame,audio_contact_frame,source,se3_schema,z_ref_anchor_segment,contact_part,contact_side,contact_label,contact_u,contact_v
27,1.083333,0.268650,-0.245078,2.697550,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,786.259,226.574,786.259,226.574,234.580,234.580,786.259,226.574,234.580,2.697550,0.023685,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.697550,none,right,none,777.280,225.935
28,1.125000,0.254142,-0.253589,2.744448,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,775.996,224.300,775.996,224.300,232.055,232.055,775.996,224.300,232.055,2.744448,0.036803,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.744448,none,right,none,767.107,223.828
29,1.166667,0.234536,-0.255080,2.762601,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,764.680,224.399,764.680,224.399,233.067,233.067,764.680,224.399,233.067,2.762601,0.018609,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.762601,none,right,none,755.012,224.302
30,1.208333,0.225669,-0.237847,2.840213,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,756.688,237.015,756.688,237.015,245.917,245.917,756.688,237.015,245.917,2.840213,0.047992,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.840213,none,right,none,747.272,237.158
31,1.250000,0.214069,-0.224050,2.852991,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,750.194,244.668,750.194,244.668,252.385,252.385,750.194,244.668,252.385,2.852991,0.033256,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.852991,none,right,none,740.871,244.251
32,1.291667,0.202068,-0.196140,2.873172,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,743.286,259.744,743.286,259.744,268.352,268.352,743.286,259.744,268.352,2.873172,0.024553,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.873172,none,right,none,733.807,259.285
33,1.333333,0.181115,-0.120737,2.873172,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,732.576,298.286,732.576,298.286,311.075,311.075,732.576,298.286,311.075,2.873172,0.034593,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.873172,none,right,none,722.446,298.565
34,1.375000,0.165666,-0.024572,2.899027,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,723.924,347.552,723.924,347.552,356.203,356.203,723.924,347.552,356.203,2.899027,0.015584,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.899027,none,right,none,713.730,346.763
35,1.416667,0.150130,0.012346,2.909797,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,715.772,366.231,715.772,366.231,375.700,375.700,715.772,366.231,375.700,2.909797,0.014531,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.909797,none,right,none,706.487,365.817
36,1.458333,0.131226,0.115023,2.910119,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,706.224,418.047,706.224,418.047,427.172,427.172,706.224,418.047,427.172,2.910119,0.022707,0,0,generic_anchor_depth_raw_contact_interp_debug,1,2.910119,none,right,none,696.709,417.887
