frame,time,contact_id,human_part,human_side,object_part,contact_observed,contact_persistent,anchor_update_allowed,pose_anchor_allowed,stable_local_x,stable_local_y,stable_local_z,stable_local_s,observed_local_x,observed_local_y,observed_local_z,observed_local_s,contact_confidence,anchor_action,source
1,0.000000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.067026,inactive,hand_floor_from_anchor_floor_candidates
2,0.041667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.061288,inactive,hand_floor_from_anchor_floor_candidates
3,0.083333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.049595,inactive,hand_floor_from_anchor_floor_candidates
4,0.125000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.036850,inactive,hand_floor_from_anchor_floor_candidates
5,0.166667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.026020,inactive,hand_floor_from_anchor_floor_candidates
6,0.208333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.018463,inactive,hand_floor_from_anchor_floor_candidates
7,0.250000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.012255,inactive,hand_floor_from_anchor_floor_candidates
8,0.291667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.008583,inactive,hand_floor_from_anchor_floor_candidates
9,0.333333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.006826,inactive,hand_floor_from_anchor_floor_candidates
10,0.375000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.006392,inactive,hand_floor_from_anchor_floor_candidates
11,0.416667,floor_floor_support,floor,,floor_support,1,0,1,1,,,,,,,,,0.005475,update,hand_floor_from_anchor_floor_candidates
12,0.458333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.006693,inactive,hand_floor_from_anchor_floor_candidates
13,0.500000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.009501,inactive,hand_floor_from_anchor_floor_candidates
14,0.541667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.017247,inactive,hand_floor_from_anchor_floor_candidates
15,0.583333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.040869,inactive,hand_floor_from_anchor_floor_candidates
16,0.625000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.094422,inactive,hand_floor_from_anchor_floor_candidates
17,0.666667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.123050,inactive,hand_floor_from_anchor_floor_candidates
18,0.708333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.097157,inactive,hand_floor_from_anchor_floor_candidates
19,0.750000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.065801,inactive,hand_floor_from_anchor_floor_candidates
20,0.791667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.041434,inactive,hand_floor_from_anchor_floor_candidates
21,0.833333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.024850,inactive,hand_floor_from_anchor_floor_candidates
22,0.875000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.014348,inactive,hand_floor_from_anchor_floor_candidates
23,0.916667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.008324,inactive,hand_floor_from_anchor_floor_candidates
24,0.958333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.004863,inactive,hand_floor_from_anchor_floor_candidates
25,1.000000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.003713,inactive,hand_floor_from_anchor_floor_candidates
26,1.041667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.002995,inactive,hand_floor_from_anchor_floor_candidates
27,1.083333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.002545,inactive,hand_floor_from_anchor_floor_candidates
28,1.125000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.002039,inactive,hand_floor_from_anchor_floor_candidates
29,1.166667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.001788,inactive,hand_floor_from_anchor_floor_candidates
30,1.208333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.001737,inactive,hand_floor_from_anchor_floor_candidates
31,1.250000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.001606,inactive,hand_floor_from_anchor_floor_candidates
32,1.291667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.001718,inactive,hand_floor_from_anchor_floor_candidates
33,1.333333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.002781,inactive,hand_floor_from_anchor_floor_candidates
