frame,time,motion_regime,motion_speed_score,contact_observed,contact_persistent,pose_anchor_allowed,source
61,2.500000,uniform_motion,0.064224,0,0,0,generic_motion_regime_from_se3_and_anchor_state
62,2.541667,uniform_motion,0.054259,0,0,0,generic_motion_regime_from_se3_and_anchor_state
63,2.583333,uniform_motion,0.063361,0,0,0,generic_motion_regime_from_se3_and_anchor_state
64,2.625000,free_motion,0.081897,0,0,0,generic_motion_regime_from_se3_and_anchor_state
65,2.666667,free_motion,0.073043,0,0,0,generic_motion_regime_from_se3_and_anchor_state
66,2.708333,low_speed,0.018318,0,0,0,generic_motion_regime_from_se3_and_anchor_state
67,2.750000,uniform_motion,0.052822,0,0,0,generic_motion_regime_from_se3_and_anchor_state
68,2.791667,uniform_motion,0.043935,0,0,0,generic_motion_regime_from_se3_and_anchor_state
69,2.833333,uniform_motion,0.033936,0,0,0,generic_motion_regime_from_se3_and_anchor_state
70,2.875000,low_speed,0.027099,0,0,0,generic_motion_regime_from_se3_and_anchor_state
71,2.916667,low_speed,0.020725,0,0,0,generic_motion_regime_from_se3_and_anchor_state
72,2.958333,uniform_motion,0.054996,0,0,0,generic_motion_regime_from_se3_and_anchor_state
73,3.000000,low_speed,0.021298,0,0,0,generic_motion_regime_from_se3_and_anchor_state
74,3.041667,high_speed,0.358758,0,0,0,generic_motion_regime_from_se3_and_anchor_state
75,3.083333,static_hold,0.004046,0,0,0,generic_motion_regime_from_se3_and_anchor_state
76,3.125000,uniform_motion,0.047170,0,0,0,generic_motion_regime_from_se3_and_anchor_state
77,3.166667,uniform_motion,0.041733,0,0,0,generic_motion_regime_from_se3_and_anchor_state
78,3.208333,low_speed,0.033260,0,0,0,generic_motion_regime_from_se3_and_anchor_state
79,3.250000,low_speed,0.024004,0,0,0,generic_motion_regime_from_se3_and_anchor_state
80,3.291667,low_speed,0.029580,0,0,0,generic_motion_regime_from_se3_and_anchor_state
81,3.333333,low_speed,0.029679,0,0,0,generic_motion_regime_from_se3_and_anchor_state
82,3.375000,free_motion,0.070020,0,0,0,generic_motion_regime_from_se3_and_anchor_state
83,3.416667,uniform_motion,0.050203,0,0,0,generic_motion_regime_from_se3_and_anchor_state
84,3.458333,uniform_motion,0.058026,0,0,0,generic_motion_regime_from_se3_and_anchor_state
85,3.500000,uniform_motion,0.059052,0,0,0,generic_motion_regime_from_se3_and_anchor_state
86,3.541667,high_speed,0.204729,0,0,0,generic_motion_regime_from_se3_and_anchor_state
87,3.583333,uniform_motion,0.069033,0,0,0,generic_motion_regime_from_se3_and_anchor_state
