frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,u_proj,v_proj,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,support_v_obs,depth_prior_m,contact_depth_offset_m,contact_frame,audio_contact_frame,source,se3_schema
1,0.000000,0.150012,-0.193208,2.857031,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,717.111,260.685,717.111,260.685,269.386,269.386,717.111,260.685,269.386,2.857031,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
2,0.041667,0.148181,-0.197915,2.853763,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,716.257,258.149,716.257,258.149,266.954,266.954,716.257,258.149,266.954,2.853763,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
3,0.083333,0.146407,-0.196062,2.855588,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,715.296,259.167,715.296,259.167,268.132,268.132,715.296,259.167,268.132,2.855588,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
4,0.125000,0.143912,-0.183255,2.853763,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,714.060,265.693,714.060,265.693,275.024,275.024,714.060,265.693,275.024,2.853763,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
5,0.166667,0.142369,-0.156179,2.853763,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,713.266,279.627,713.266,279.627,288.895,288.895,713.266,279.627,288.895,2.853763,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
6,0.208333,0.137020,-0.116201,2.857414,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,710.423,300.277,710.423,300.277,309.608,309.608,710.423,300.277,309.608,2.857414,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
7,0.250000,0.132899,-0.061915,2.857414,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,708.305,328.178,708.305,328.178,337.403,337.403,708.305,328.178,337.403,2.857414,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
8,0.291667,0.130616,0.007616,2.857533,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,707.129,363.914,707.129,363.914,373.212,373.212,707.129,363.914,373.212,2.857533,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
9,0.333333,0.127459,0.103352,2.881889,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,704.953,412.668,704.953,412.668,424.070,424.070,704.953,412.668,424.070,2.881889,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
10,0.375000,0.121575,0.218123,2.892511,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,701.727,470.747,701.727,470.747,483.548,483.548,701.727,470.747,483.548,2.892511,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
11,0.416667,0.123077,0.353305,2.916760,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,701.970,537.891,701.970,537.891,552.199,552.199,701.970,537.891,552.199,2.916760,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
12,0.458333,0.117276,0.266049,2.916760,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,699.049,493.957,699.049,493.957,504.907,504.907,699.049,493.957,504.907,2.916760,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
13,0.500000,0.117014,0.191237,2.916760,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,698.917,456.289,698.917,456.289,466.209,466.209,698.917,456.289,466.209,2.916760,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
14,0.541667,0.118034,0.126968,2.916760,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,699.431,423.929,699.431,423.929,433.987,433.987,699.431,423.929,433.987,2.916760,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
