frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_source,contact_u,contact_v,contact_source,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score
13,0.500000,698.917,456.289,698.903,459.674,ref,693.156,455.261,human_nearest_mesh_topk,700.215,468.493,464.750,12.204,8.819,bottom_percentile_95,2.923393,2.932631,0.009237,1.000000,0.000000,0.009501,0.403492,0.403492,0.961830,0.514000,0.084000,5.000000,8.000000,right_hand,0.009501,511.231,512.133,2.836981,left,2.924563,2.923393,0.403492,3.743424,0.000000,0.000000
14,0.541667,699.431,423.929,699.278,424.467,ref,693.909,427.104,human_nearest_mesh_topk,700.548,432.869,432.474,8.940,8.402,bottom_percentile_95,2.921604,2.937217,0.015613,1.000000,0.000000,0.017247,0.471366,0.471366,1.000000,0.000000,0.084000,5.000000,8.000000,right_hand,0.017247,544.294,497.278,2.862445,left,2.920140,2.921604,0.471366,0.395686,0.060544,0.000000
15,0.583333,699.388,400.357,698.129,401.048,ref,694.022,403.580,human_nearest_mesh_topk,701.028,409.223,408.620,8.866,8.175,bottom_percentile_95,2.900977,2.910388,0.009411,1.000000,0.001070,0.040869,1.000000,1.000000,0.996807,0.043000,0.129700,5.000000,8.000000,right_hand,0.040869,581.400,469.620,2.912530,left,2.884100,2.900977,1.000000,0.602595,0.000000,0.000000
16,0.625000,699.821,382.772,702.144,382.526,ref,694.873,385.629,human_nearest_mesh_topk,701.806,390.601,390.178,7.829,8.075,bottom_percentile_95,2.893076,2.902383,0.009307,1.000000,0.000000,0.094422,0.976315,0.976315,1.000000,0.000000,0.857000,5.000000,8.000000,right_hand,0.094422,613.850,438.752,2.959405,left,2.886611,2.893076,0.976315,0.422914,0.344145,0.000000
17,0.666667,716.387,360.312,716.110,357.961,ref,711.201,363.227,human_nearest_mesh_topk,717.065,365.851,368.705,5.539,7.890,bottom_percentile_95,2.873625,1.735142,-1.138484,1.000000,0.000000,0.123050,0.000000,0.100000,1.000000,0.000000,0.397400,5.000000,8.000000,right_hand,0.122679,634.942,402.614,3.052143,grid_04_01,1.790087,2.873625,0.000000,2.854095,0.158954,0.000000
18,0.708333,737.859,324.985,737.195,326.569,ref,732.665,327.615,human_nearest_mesh_topk,738.991,334.256,332.454,9.271,7.687,bottom_percentile_95,2.864873,2.869256,0.004383,1.000000,0.000000,0.097157,0.986078,0.986078,1.000000,0.000000,0.000000,5.000000,8.000000,right_hand,0.097157,644.195,364.959,3.138941,left,2.857711,2.864873,0.986078,1.801712,0.000000,0.000000
19,0.750000,756.194,296.232,756.070,296.497,ref,751.032,297.530,human_nearest_mesh_topk,756.650,303.957,304.228,7.725,7.460,bottom_percentile_95,2.859558,2.863229,0.003671,1.000000,0.000000,0.065801,0.110623,0.110623,1.000000,0.000000,0.589300,5.000000,8.000000,right_hand,0.065801,645.356,336.869,3.196252,left,2.855210,2.859558,0.110623,0.270712,0.079864,0.000000
20,0.791667,771.090,275.010,771.078,274.715,ref,765.955,275.899,human_nearest_mesh_topk,771.365,282.023,282.219,7.013,7.308,bottom_percentile_95,2.824417,2.802992,-0.021425,1.000000,0.287503,0.041434,0.542017,0.542017,1.000000,0.000000,0.000000,5.000000,8.000000,right_hand,0.041434,639.916,312.446,3.251348,left,2.795664,2.824417,0.542017,0.196486,0.008753,0.000000
21,0.833333,783.692,259.190,783.903,259.413,ref,777.918,258.538,human_nearest_mesh_topk,783.654,266.431,266.226,7.241,7.018,bottom_percentile_95,2.791313,2.776860,-0.014453,1.000000,0.411422,0.024850,0.723403,0.723403,1.000000,0.000000,0.173300,5.000000,8.000000,right_hand,0.024850,630.761,294.796,3.294946,left,2.764228,2.791313,0.723403,0.205148,0.000000,0.000000
22,0.875000,795.290,250.084,795.553,250.165,ref,789.605,249.367,human_nearest_mesh_topk,795.245,257.076,257.002,6.992,6.911,bottom_percentile_95,2.765627,2.752602,-0.013025,1.000000,0.769853,0.014348,1.000000,1.000000,1.000000,0.000000,0.117850,5.000000,8.000000,right_hand,0.014348,619.152,281.283,3.318753,left,2.744611,2.765627,1.000000,0.074079,0.000000,0.000000
23,0.916667,804.708,245.902,804.051,246.650,ref,798.874,245.280,human_nearest_mesh_topk,804.624,253.601,252.807,7.699,6.951,bottom_percentile_95,2.721523,2.692506,-0.029018,1.000000,0.080126,0.008324,0.116353,0.116353,0.502187,6.703524,0.130550,5.000000,8.000000,right_hand,0.008324,605.889,275.589,3.335525,left,2.685439,2.721523,0.116353,0.794079,0.000000,0.000000
24,0.958333,813.175,246.400,808.571,245.912,ref,807.322,245.761,human_nearest_mesh_topk,813.078,252.902,253.614,6.502,6.989,bottom_percentile_95,2.690923,2.675488,-0.015434,1.000000,0.107186,0.004863,0.000000,0.100000,0.000000,15.160182,0.295750,5.000000,8.000000,right_hand,0.004863,592.268,274.793,3.348568,left,2.665885,2.690923,0.000000,0.712317,0.184472,0.000000
25,1.000000,807.705,243.434,806.481,242.141,ref,802.700,242.033,human_nearest_mesh_topk,807.953,249.129,250.290,5.695,6.988,bottom_percentile_95,2.673358,2.666451,-0.006907,1.000000,0.000000,0.003713,0.000000,0.100000,0.281001,9.682000,0.049400,5.000000,8.000000,right_hand,0.003713,577.571,279.572,3.376520,left,2.658987,2.673358,0.000000,1.161438,0.048871,0.000000
26,1.041667,798.023,233.720,798.367,234.355,ref,792.967,232.654,human_nearest_mesh_topk,798.262,241.238,240.930,7.518,6.883,bottom_percentile_95,2.695480,2.720183,0.024703,1.000000,0.368524,0.002995,0.330938,0.330938,1.000000,0.000000,0.304600,5.000000,8.000000,right_hand,0.002995,563.233,288.025,3.379585,left,2.713579,2.695480,0.330938,0.308429,0.000000,0.000000
27,1.083333,786.259,226.574,786.785,227.020,ref,781.638,227.213,human_nearest_mesh_topk,786.583,233.905,233.365,7.331,6.885,bottom_percentile_95,2.712097,2.735781,0.023685,1.000000,0.119394,0.002545,0.516836,0.516836,0.469328,7.146000,0.418700,5.000000,8.000000,right_hand,0.002545,549.568,298.357,3.358636,left,2.725692,2.712097,0.516836,0.539821,0.000000,0.000000
