frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score,radius_px
14,0.541667,699.431,423.929,699.431,423.929,699.431,423.929,cotracker_sam2_mask_points,center,699.431,433.987,433.987,10.058,10.058,cotracker_bottom,,,stage2_contact_policy,2.916760,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.916760,2.916760,2.916760,2.916760,1.000000,0.000000,,,13.576
15,0.583333,699.388,400.357,699.388,400.357,699.388,400.357,cotracker_sam2_mask_points,center,699.388,410.068,410.068,9.711,9.711,cotracker_bottom,,,stage2_contact_policy,2.872679,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.812658,2.872679,2.872679,2.872679,1.000000,0.000000,,,13.303
16,0.625000,699.821,382.772,699.821,382.772,699.821,382.772,cotracker_sam2_mask_points,center,699.821,391.422,391.422,8.650,8.650,cotracker_bottom,,,stage2_contact_policy,2.858361,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.872679,2.858361,2.858361,2.858361,1.000000,0.000000,,,12.964
17,0.666667,716.387,360.312,716.387,360.312,716.387,360.312,cotracker_sam2_mask_points,center,716.387,370.096,370.096,9.784,9.784,cotracker_bottom,,,stage2_contact_policy,2.854522,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,1.756563,2.854522,2.854522,2.854522,1.000000,0.000000,,,14.658
18,0.708333,737.859,324.985,737.859,324.985,737.859,324.985,cotracker_sam2_mask_points,center,737.859,333.701,333.701,8.716,8.716,cotracker_bottom,,,stage2_contact_policy,2.812658,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.858361,2.812658,2.812658,2.812658,1.000000,0.000000,,,13.291
19,0.750000,756.194,296.232,756.194,296.232,756.194,296.232,cotracker_sam2_mask_points,center,756.194,305.582,305.582,9.350,9.350,cotracker_bottom,,,stage2_contact_policy,2.793065,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.854522,2.793065,2.793065,2.793065,1.000000,0.000000,,,11.631
20,0.791667,771.090,275.010,771.090,275.010,771.090,275.010,cotracker_sam2_mask_points,center,771.090,283.483,283.483,8.473,8.473,cotracker_bottom,,,stage2_contact_policy,2.763713,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.793065,2.763713,2.763713,2.763713,1.000000,0.000000,,,10.540
21,0.833333,783.692,259.190,783.692,259.190,783.692,259.190,cotracker_sam2_mask_points,center,783.692,267.406,267.406,8.216,8.216,cotracker_bottom,,,stage2_contact_policy,2.763713,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.763713,2.763713,2.763713,2.763713,1.000000,0.000000,,,10.265
22,0.875000,795.290,250.084,795.290,250.084,795.290,250.084,cotracker_sam2_mask_points,center,795.290,258.206,258.206,8.122,8.122,cotracker_bottom,,,stage2_contact_policy,2.740262,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.740262,2.740262,2.740262,2.740262,1.000000,0.000000,,,9.657
23,0.916667,804.708,245.902,804.708,245.902,804.708,245.902,cotracker_sam2_mask_points,center,804.708,254.005,254.005,8.103,8.103,cotracker_bottom,,,stage2_contact_policy,2.697550,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.651210,2.697550,2.697550,2.697550,1.000000,0.000000,,,9.132
24,0.958333,813.175,246.400,813.175,246.400,813.175,246.400,cotracker_sam2_mask_points,center,813.175,254.853,254.853,8.453,8.453,cotracker_bottom,,,stage2_contact_policy,2.681458,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.659315,2.681458,2.681458,2.681458,1.000000,0.000000,,,8.740
25,1.000000,807.705,243.434,807.705,243.434,807.705,243.434,cotracker_sam2_mask_points,center,807.705,251.445,251.445,8.011,8.011,cotracker_bottom,,,stage2_contact_policy,2.681458,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.652987,2.681458,2.681458,2.681458,1.000000,0.000000,,,10.218
26,1.041667,798.023,233.720,798.023,233.720,798.023,233.720,cotracker_sam2_mask_points,center,798.023,242.172,242.172,8.452,8.452,cotracker_bottom,,,stage2_contact_policy,2.681458,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.697550,2.681458,2.681458,2.681458,1.000000,0.000000,,,10.061
27,1.083333,786.259,226.574,786.259,226.574,786.259,226.574,cotracker_sam2_mask_points,center,786.259,234.580,234.580,8.006,8.006,cotracker_bottom,,,stage2_contact_policy,2.697550,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.681458,2.697550,2.697550,2.697550,1.000000,0.000000,,,9.491
28,1.125000,775.996,224.300,775.996,224.300,775.996,224.300,cotracker_sam2_mask_points,center,775.996,232.055,232.055,7.755,7.755,cotracker_bottom,,,stage2_contact_policy,2.744448,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.744448,2.744448,2.744448,2.744448,1.000000,0.000000,,,9.288
29,1.166667,764.680,224.399,764.680,224.399,764.680,224.399,cotracker_sam2_mask_points,center,764.680,233.067,233.067,8.668,8.668,cotracker_bottom,,,stage2_contact_policy,2.762601,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.762601,2.762601,2.762601,2.762601,1.000000,0.000000,,,13.111
30,1.208333,756.688,237.015,756.688,237.015,756.688,237.015,cotracker_sam2_mask_points,center,756.688,245.917,245.917,8.902,8.902,cotracker_bottom,,,stage2_contact_policy,2.840213,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.840213,2.840213,2.840213,2.840213,1.000000,0.000000,,,11.424
31,1.250000,750.194,244.668,750.194,244.668,750.194,244.668,cotracker_sam2_mask_points,center,750.194,252.385,252.385,7.717,7.717,cotracker_bottom,,,stage2_contact_policy,2.852991,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.852991,2.852991,2.852991,2.852991,1.000000,0.000000,,,10.540
32,1.291667,743.286,259.744,743.286,259.744,743.286,259.744,cotracker_sam2_mask_points,center,743.286,268.352,268.352,8.608,8.608,cotracker_bottom,,,stage2_contact_policy,2.873172,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.873172,2.873172,2.873172,2.873172,1.000000,0.000000,,,13.351
33,1.333333,732.576,298.286,732.576,298.286,732.576,298.286,cotracker_sam2_mask_points,center,732.576,311.075,311.075,12.789,12.789,cotracker_bottom,,,stage2_contact_policy,2.873172,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.909797,2.873172,2.873172,2.873172,1.000000,0.000000,,,15.706
34,1.375000,723.924,347.552,723.924,347.552,723.924,347.552,cotracker_sam2_mask_points,center,723.924,356.203,356.203,8.651,8.651,cotracker_bottom,,,stage2_contact_policy,2.899027,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.899027,2.899027,2.899027,2.899027,1.000000,0.000000,,,19.257
35,1.416667,715.772,366.231,715.772,366.231,715.772,366.231,cotracker_sam2_mask_points,center,715.772,375.700,375.700,9.469,9.469,cotracker_bottom,,,stage2_contact_policy,2.909797,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.914288,2.909797,2.909797,2.909797,1.000000,0.000000,,,12.399
36,1.458333,706.224,418.047,706.224,418.047,706.224,418.047,cotracker_sam2_mask_points,center,706.224,427.172,427.172,9.125,9.125,cotracker_bottom,,,stage2_contact_policy,2.910119,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.854928,2.910119,2.910119,2.910119,1.000000,0.000000,,,21.822
37,1.500000,696.517,477.042,696.517,477.042,696.517,477.042,cotracker_sam2_mask_points,center,696.517,489.800,489.800,12.758,12.758,cotracker_bottom,,,stage2_contact_policy,2.914288,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.910119,2.914288,2.914288,2.914288,1.000000,0.000000,,,13.315
38,1.541667,695.024,509.868,695.024,509.868,695.024,509.868,cotracker_sam2_mask_points,center,695.024,518.877,518.877,9.009,9.009,cotracker_bottom,,,stage2_contact_policy,2.914288,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.923735,2.914288,2.914288,2.914288,1.000000,0.000000,,,15.023
39,1.583333,697.682,453.277,697.682,453.277,697.682,453.277,cotracker_sam2_mask_points,center,697.682,462.786,462.786,9.509,9.509,cotracker_bottom,,,stage2_contact_policy,2.910119,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.943528,2.910119,2.910119,2.910119,1.000000,0.000000,,,12.890
40,1.625000,698.518,417.014,698.518,417.014,698.518,417.014,cotracker_sam2_mask_points,center,698.518,426.863,426.863,9.849,9.849,cotracker_bottom,,,stage2_contact_policy,2.910119,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.960561,2.910119,2.910119,2.910119,1.000000,0.000000,,,13.207
41,1.666667,698.691,385.662,698.691,385.662,698.691,385.662,cotracker_sam2_mask_points,center,698.691,394.387,394.387,8.725,8.725,cotracker_bottom,,,stage2_contact_policy,2.885062,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.885062,2.885062,2.885062,2.885062,1.000000,0.000000,,,12.679
42,1.708333,699.075,360.610,699.075,360.610,699.075,360.610,cotracker_sam2_mask_points,center,699.075,369.995,369.995,9.385,9.385,cotracker_bottom,,,stage2_contact_policy,2.878093,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.878093,2.878093,2.878093,2.878093,1.000000,0.000000,,,12.679
