event,audio_time,audio_frame,peak,prominence,rms_rise,sharpness,audio_score,detector,source
audio event 1,0.048,2,0.030291107362598164,0.5689647406377457,0.5689647406377457,0.23198057489590343,0.28967463970184326,combined,audio
audio event 2,0.944,24,0.26564185039517835,0.9903939703851037,0.9903939703851037,0.21825306161048574,1.0,combined,audio
audio event 3,1.76,43,0.36305430618927603,0.9916287330452884,0.9916287330452884,0.20457456106351263,0.9753671708997457,combined,audio
audio event 4,2.432,59,0.3459417096038823,0.9787990895772359,0.9787990895772359,0.21698935415040135,0.9999999999999937,combined,audio
audio event 5,3.248,79,0.2649325331810044,0.9723465278083373,0.9723465278083373,0.28513834670307414,0.9999999999999947,combined,audio
audio event 6,3.984,97,0.26040634753435016,0.9741303674592627,0.9741303674592627,0.28332610693551535,0.9194731464572657,combined,audio
audio event 7,4.768,115,0.0258946781916978,0.8138750483980194,0.8138750483980194,0.1438499982000452,0.18834897875785828,combined,audio
audio event 8,6.072,147,0.013979498710612326,0.9047881559903569,0.9047881559903569,0.7726856256037832,0.06992851197719574,combined,audio
audio event 9,7.2,174,0.004579437435671141,0.6199920986965055,0.6199920986965055,0.2713472136787253,0.0,combined,audio
audio event 10,7.6,183,0.010837065429126819,0.6144116969151292,0.6144116969151292,0.21543480181941554,0.0005337512120604515,combined,audio
audio event 11,9.696,234,0.02541426445606117,0.9340678618318576,0.9340678618318576,0.8617734944081009,0.12358765304088593,combined,audio
