frame,time,tx,ty,tz,yaw,pitch,roll,scale,radius_m
69,2.833333,0.113799,-0.231064,1.907065,-6.283186,0.938147,0.0,1.0,0.045
70,2.875000,0.113699,-0.232541,1.907657,-6.283185,0.940022,0.0,1.0,0.045
71,2.916667,0.113541,-0.233927,1.909645,-6.283185,0.941549,0.0,1.0,0.045
72,2.958333,0.113375,-0.235046,1.910408,-6.283184,0.942684,0.0,1.0,0.045
73,3.000000,0.113296,-0.236181,1.911413,-6.283184,0.943530,0.0,1.0,0.045
74,3.041667,0.113144,-0.237302,1.912684,-6.283184,0.944243,0.0,1.0,0.045
75,3.083333,0.113113,-0.238382,1.913878,-6.283184,0.944931,0.0,1.0,0.045
76,3.125000,0.113077,-0.239140,1.914102,-6.283184,0.945610,0.0,1.0,0.045
77,3.166667,0.113030,-0.239946,1.915195,-6.283184,0.946233,0.0,1.0,0.045
78,3.208333,0.113011,-0.240610,1.915455,-6.283184,0.946730,0.0,1.0,0.045
79,3.250000,0.113019,-0.241073,1.916079,-6.283185,0.946993,0.0,1.0,0.045
80,3.291667,0.113082,-0.241587,1.916953,-6.283185,0.946857,0.0,1.0,0.045
81,3.333333,0.112944,-0.241682,1.917460,-6.283185,0.946120,0.0,1.0,0.045
82,3.375000,0.112734,-0.241348,1.917534,-6.283185,0.944611,0.0,1.0,0.045
83,3.416667,0.112531,-0.240761,1.917830,-6.283185,0.942212,0.0,1.0,0.045
84,3.458333,0.112322,-0.239673,1.918109,-6.283186,0.938839,0.0,1.0,0.045
85,3.500000,0.111882,-0.238096,1.917946,-6.283186,0.934411,0.0,1.0,0.045
86,3.541667,0.111669,-0.236262,1.918522,-6.283187,0.928844,0.0,1.0,0.045
87,3.583333,0.111126,-0.234067,1.918476,-6.283186,0.922087,0.0,1.0,0.045
88,3.625000,0.110523,-0.231671,1.917917,-6.283186,0.914144,0.0,1.0,0.045
89,3.666667,0.109963,-0.228800,1.918415,-6.283186,0.905075,0.0,1.0,0.045
90,3.708333,0.108965,-0.226062,1.918785,-6.283186,0.894929,0.0,1.0,0.045
91,3.750000,0.108114,-0.222805,1.920027,-6.283187,0.883646,0.0,1.0,0.045
92,3.791667,0.107434,-0.219633,1.921267,-6.283187,0.871005,0.0,1.0,0.045
93,3.833333,0.106263,-0.216040,1.922901,-6.283187,0.856658,0.0,1.0,0.045
94,3.875000,0.105238,-0.212669,1.925827,-6.283187,0.840164,0.0,1.0,0.045
95,3.916667,0.103167,-0.209123,1.925499,-6.283187,0.820938,0.0,1.0,0.045
96,3.958333,0.100573,-0.205796,1.924854,-6.283187,0.798174,0.0,1.0,0.045
97,4.000000,0.096692,-0.201038,1.921499,-6.283187,0.770881,0.0,1.0,0.045
98,4.041667,0.091838,-0.196291,1.918385,-6.283186,0.738031,0.0,1.0,0.045
99,4.083333,0.085950,-0.191388,1.914553,-6.283186,0.698665,0.0,1.0,0.045
100,4.125000,0.078537,-0.186018,1.913115,-6.283185,0.651866,0.0,1.0,0.045
101,4.166667,0.071581,-0.179828,1.910366,-6.283185,0.596711,0.0,1.0,0.045
102,4.208333,0.062589,-0.172084,1.908128,-6.283186,0.532394,0.0,1.0,0.045
103,4.250000,0.052247,-0.162460,1.906043,-6.283187,0.458684,0.0,1.0,0.045
104,4.291667,0.042711,-0.150159,1.905790,-6.283188,0.376728,0.0,1.0,0.045
105,4.333333,0.030534,-0.135584,1.904770,-6.283189,0.290037,0.0,1.0,0.045
106,4.375000,0.019255,-0.120014,1.903181,-6.283190,0.205038,0.0,1.0,0.045
107,4.416667,0.006073,-0.100708,1.904213,-6.282980,0.130069,0.0,1.0,0.045
108,4.458333,-0.006824,-0.079225,1.902690,-6.281610,0.072329,0.0,1.0,0.045
109,4.500000,-0.019057,-0.056567,1.906650,-6.274648,0.034496,0.0,1.0,0.045
110,4.541667,-0.031791,-0.032571,1.908533,-6.247110,0.013843,0.0,1.0,0.045
111,4.583333,-0.044106,-0.005769,1.913409,-6.162290,0.004598,0.0,1.0,0.045
112,4.625000,-0.057725,0.021420,1.916643,-5.958823,0.001247,0.0,1.0,0.045
113,4.666667,-0.070646,0.048582,1.921874,-5.578711,0.000272,0.0,1.0,0.045
114,4.708333,-0.083266,0.077644,1.927422,-5.025667,0.000046,0.0,1.0,0.045
115,4.750000,-0.093685,0.104455,1.933975,-4.399001,0.000005,0.0,1.0,0.045
116,4.791667,-0.103388,0.129506,1.938347,-3.845982,0.000000,0.0,1.0,0.045
117,4.833333,-0.110435,0.150976,1.948436,-3.465903,0.000000,0.0,1.0,0.045
118,4.875000,-0.117136,0.171393,1.955353,-3.262465,0.000000,0.0,1.0,0.045
119,4.916667,-0.122820,0.189379,1.961529,-3.177660,0.000000,0.0,1.0,0.045
120,4.958333,-0.127451,0.205625,1.966335,-3.150128,0.000000,0.0,1.0,0.045
121,5.000000,-0.132422,0.218791,1.967305,-3.143167,0.000000,0.0,1.0,0.045
122,5.041667,-0.135238,0.229810,1.966816,-3.141798,0.000000,0.0,1.0,0.045
123,5.083333,-0.137247,0.238441,1.967747,-3.141590,0.000000,0.0,1.0,0.045
124,5.125000,-0.138092,0.244447,1.965326,-3.141591,0.000000,0.0,1.0,0.045
125,5.166667,-0.139347,0.250005,1.964058,-3.141593,0.000000,0.0,1.0,0.045
126,5.208333,-0.140013,0.254338,1.962774,-3.141593,0.000000,0.0,1.0,0.045
127,5.250000,-0.139956,0.258398,1.962136,-3.141594,0.000000,0.0,1.0,0.045
128,5.291667,-0.140728,0.261841,1.961472,-3.141594,0.000000,0.0,1.0,0.045
129,5.333333,-0.140968,0.264102,1.958785,-3.141593,0.000000,0.0,1.0,0.045
130,5.375000,-0.141151,0.266841,1.957259,-3.141592,0.000000,0.0,1.0,0.045
131,5.416667,-0.141541,0.268770,1.956012,-3.141591,0.000000,0.0,1.0,0.045
132,5.458333,-0.141274,0.270278,1.956468,-3.141591,0.000000,0.0,1.0,0.045
133,5.500000,-0.141423,0.271810,1.955135,-3.141592,0.000000,0.0,1.0,0.045
134,5.541667,-0.142233,0.273289,1.953572,-3.141594,0.000000,0.0,1.0,0.045
135,5.583333,-0.142265,0.274419,1.953227,-3.141595,0.000000,0.0,1.0,0.045
136,5.625000,-0.142832,0.274191,1.951738,-3.141594,0.000000,0.0,1.0,0.045
137,5.666667,-0.142814,0.273990,1.950828,-3.141592,0.000000,0.0,1.0,0.045
138,5.708333,-0.142801,0.274556,1.950430,-3.141591,0.000000,0.0,1.0,0.045
139,5.750000,-0.142825,0.275598,1.949367,-3.141590,0.000000,0.0,1.0,0.045
140,5.791667,-0.143164,0.276551,1.949901,-3.141591,0.000000,0.0,1.0,0.045
141,5.833333,-0.143930,0.276356,1.948763,-3.141593,0.000000,0.0,1.0,0.045
142,5.875000,-0.144724,0.276828,1.951456,-3.141593,0.000000,0.0,1.0,0.045
143,5.916667,-0.144997,0.276700,1.951453,-3.141592,0.000000,0.0,1.0,0.045
144,5.958333,-0.145316,0.277209,1.952922,-3.141590,0.000000,0.0,1.0,0.045
145,6.000000,-0.145596,0.277489,1.953775,-3.141589,0.000000,0.0,1.0,0.045
146,6.041667,-0.145817,0.277760,1.955130,-3.141589,0.000000,0.0,1.0,0.045
147,6.083333,-0.145888,0.277718,1.954886,-3.141590,0.000000,0.0,1.0,0.045
148,6.125000,-0.146014,0.278058,1.957261,-3.141591,0.000000,0.0,1.0,0.045
149,6.166667,-0.146040,0.277970,1.957413,-3.141593,0.000000,0.0,1.0,0.045
150,6.208333,-0.146164,0.278295,1.959270,-3.141596,0.000000,0.0,1.0,0.045
151,6.250000,-0.146337,0.278724,1.962212,-3.141597,0.000000,0.0,1.0,0.045
152,6.291667,-0.146496,0.278993,1.963892,-3.141597,0.000000,0.0,1.0,0.045
153,6.333333,-0.146610,0.279202,1.965751,-3.141595,0.000000,0.0,1.0,0.045
154,6.375000,-0.146728,0.279452,1.967251,-3.141593,0.000000,0.0,1.0,0.045
155,6.416667,-0.146924,0.279820,1.970178,-3.141592,0.000000,0.0,1.0,0.045
156,6.458333,-0.146989,0.279820,1.970876,-3.141591,0.000000,0.0,1.0,0.045
157,6.500000,-0.146901,0.279602,1.969687,-3.141591,0.000000,0.0,1.0,0.045
158,6.541667,-0.146618,0.279991,1.971470,-3.141592,0.000000,0.0,1.0,0.045
159,6.583333,-0.147557,0.279902,1.972632,-3.141593,0.000000,0.0,1.0,0.045
160,6.625000,-0.146869,0.279643,1.969722,-3.141593,0.000000,0.0,1.0,0.045
161,6.666667,-0.146439,0.279396,1.967084,-3.141593,0.000000,0.0,1.0,0.045
162,6.708333,-0.146076,0.279143,1.963715,-3.141593,0.000000,0.0,1.0,0.045
163,6.750000,-0.146388,0.279246,1.964615,-3.141592,0.000000,0.0,1.0,0.045
164,6.791667,-0.146235,0.279449,1.964051,-3.141592,0.000000,0.0,1.0,0.045
165,6.833333,-0.146550,0.279116,1.964608,-3.141591,0.000000,0.0,1.0,0.045
166,6.875000,-0.145870,0.279040,1.963497,-3.141591,0.000000,0.0,1.0,0.045
167,6.916667,-0.147280,0.279926,1.969909,-3.141591,0.000000,0.0,1.0,0.045
168,6.958333,-0.147368,0.279906,1.971785,-3.141591,0.000000,0.0,1.0,0.045
169,7.000000,-0.147107,0.280596,1.975260,-3.141590,0.000000,0.0,1.0,0.045
170,7.041667,-0.147513,0.280577,1.976052,-3.141590,0.000000,0.0,1.0,0.045
171,7.083333,-0.147363,0.281101,1.978733,-3.141591,0.000000,0.0,1.0,0.045
172,7.125000,-0.148690,0.282023,1.985927,-3.141591,0.000000,0.0,1.0,0.045
173,7.166667,-0.148839,0.282639,1.991093,-3.141592,0.000000,0.0,1.0,0.045
174,7.208333,-0.148981,0.282984,1.993608,-3.141592,0.000000,0.0,1.0,0.045
175,7.250000,-0.149145,0.283281,1.995478,-3.141592,0.000000,0.0,1.0,0.045
176,7.291667,-0.149304,0.283529,1.997363,-3.141593,0.000000,0.0,1.0,0.045
177,7.333333,-0.148951,0.283873,1.998609,-3.141593,0.000000,0.0,1.0,0.045
178,7.375000,-0.149196,0.284319,2.001698,-3.141593,0.000000,0.0,1.0,0.045
179,7.416667,-0.149448,0.284931,2.005798,-3.141592,0.000000,0.0,1.0,0.045
180,7.458333,-0.149438,0.284908,2.005875,-3.141592,0.000000,0.0,1.0,0.045
181,7.500000,-0.149605,0.285238,2.008189,-3.141592,0.000000,0.0,1.0,0.045
182,7.541667,-0.149481,0.285219,2.007871,-3.141592,0.000000,0.0,1.0,0.045
183,7.583333,-0.150252,0.285172,2.008283,-3.141593,0.000000,0.0,1.0,0.045
184,7.625000,-0.149536,0.285129,2.007065,-3.141593,0.000000,0.0,1.0,0.045
185,7.666667,-0.149417,0.285022,2.006490,-3.141593,0.000000,0.0,1.0,0.045
186,7.708333,-0.150072,0.284751,2.005057,-3.141592,0.000000,0.0,1.0,0.045
187,7.750000,-0.149533,0.284318,2.002486,-3.141592,0.000000,0.0,1.0,0.045
188,7.791667,-0.149424,0.284008,2.000440,-3.141592,0.000000,0.0,1.0,0.045
189,7.833333,-0.149575,0.284075,2.001119,-3.141592,0.000000,0.0,1.0,0.045
190,7.875000,-0.148955,0.283741,1.997734,-3.141592,0.000000,0.0,1.0,0.045
191,7.916667,-0.149180,0.283447,1.996561,-3.141592,0.000000,0.0,1.0,0.045
192,7.958333,-0.148642,0.283117,1.993300,-3.141592,0.000000,0.0,1.0,0.045
