frame,time,tx,ty,tz,yaw,pitch,roll,scale,radius_m
69,2.833333,0.089212,-0.154301,1.907623,-0.088148,-0.852860,0.0,1.0,0.045
70,2.875000,0.089556,-0.155034,1.908239,-0.088609,-0.854566,0.0,1.0,0.045
71,2.916667,0.090174,-0.155908,1.910240,-0.088924,-0.855953,0.0,1.0,0.045
72,2.958333,0.090177,-0.156467,1.911026,-0.089334,-0.856985,0.0,1.0,0.045
73,3.000000,0.090793,-0.157524,1.912067,-0.089916,-0.857754,0.0,1.0,0.045
74,3.041667,0.091282,-0.158203,1.913377,-0.090555,-0.858403,0.0,1.0,0.045
75,3.083333,0.091753,-0.158972,1.914600,-0.091048,-0.859028,0.0,1.0,0.045
76,3.125000,0.091781,-0.159636,1.914834,-0.091231,-0.859645,0.0,1.0,0.045
77,3.166667,0.092109,-0.160500,1.915912,-0.091048,-0.860212,0.0,1.0,0.045
78,3.208333,0.092607,-0.161330,1.916136,-0.090530,-0.860663,0.0,1.0,0.045
79,3.250000,0.092804,-0.162152,1.916707,-0.089751,-0.860903,0.0,1.0,0.045
80,3.291667,0.093226,-0.162981,1.917516,-0.088765,-0.860779,0.0,1.0,0.045
81,3.333333,0.093331,-0.163772,1.917947,-0.087567,-0.860110,0.0,1.0,0.045
82,3.375000,0.093770,-0.164585,1.917929,-0.086092,-0.858738,0.0,1.0,0.045
83,3.416667,0.093717,-0.165213,1.918115,-0.084269,-0.856557,0.0,1.0,0.045
84,3.458333,0.093868,-0.165823,1.918263,-0.082088,-0.853490,0.0,1.0,0.045
85,3.500000,0.093754,-0.166444,1.917957,-0.079643,-0.849464,0.0,1.0,0.045
86,3.541667,0.094073,-0.167101,1.918388,-0.077111,-0.844404,0.0,1.0,0.045
87,3.583333,0.093925,-0.167657,1.918211,-0.074700,-0.838261,0.0,1.0,0.045
88,3.625000,0.093486,-0.168196,1.917545,-0.072564,-0.831040,0.0,1.0,0.045
89,3.666667,0.093056,-0.168685,1.917963,-0.070757,-0.822795,0.0,1.0,0.045
90,3.708333,0.092644,-0.169303,1.918277,-0.069251,-0.813571,0.0,1.0,0.045
91,3.750000,0.092175,-0.169962,1.919487,-0.068032,-0.803314,0.0,1.0,0.045
92,3.791667,0.091283,-0.170164,1.920729,-0.067209,-0.791823,0.0,1.0,0.045
93,3.833333,0.090686,-0.170502,1.922417,-0.067054,-0.778780,0.0,1.0,0.045
94,3.875000,0.090495,-0.171098,1.925476,-0.067923,-0.763785,0.0,1.0,0.045
95,3.916667,0.088958,-0.170524,1.925381,-0.070104,-0.746307,0.0,1.0,0.045
96,3.958333,0.086640,-0.168751,1.925081,-0.073690,-0.725613,0.0,1.0,0.045
97,4.000000,0.082895,-0.164417,1.922177,-0.078541,-0.700801,0.0,1.0,0.045
98,4.041667,0.079280,-0.157688,1.919608,-0.084334,-0.670938,0.0,1.0,0.045
99,4.083333,0.075136,-0.149981,1.916392,-0.090652,-0.635150,0.0,1.0,0.045
100,4.125000,0.071414,-0.142626,1.915618,-0.097026,-0.592606,0.0,1.0,0.045
101,4.166667,0.067681,-0.134810,1.913556,-0.102975,-0.542465,0.0,1.0,0.045
102,4.208333,0.063940,-0.125123,1.912007,-0.108038,-0.483994,0.0,1.0,0.045
103,4.250000,0.058849,-0.114178,1.910590,-0.111822,-0.416985,0.0,1.0,0.045
104,4.291667,0.052994,-0.101609,1.910961,-0.113982,-0.342480,0.0,1.0,0.045
105,4.333333,0.046995,-0.087619,1.910477,-0.114178,-0.263670,0.0,1.0,0.045
106,4.375000,0.040358,-0.071047,1.909275,-0.112101,-0.186398,0.0,1.0,0.045
107,4.416667,0.032993,-0.052573,1.910477,-0.107559,-0.118245,0.0,1.0,0.045
108,4.458333,0.025537,-0.031921,1.908857,-0.100543,-0.065754,0.0,1.0,0.045
109,4.500000,0.017880,-0.010685,1.912442,-0.091198,-0.031360,0.0,1.0,0.045
110,4.541667,0.009622,0.010705,1.913704,-0.079772,-0.012584,0.0,1.0,0.045
111,4.583333,0.002883,0.033384,1.917772,-0.066605,-0.004180,0.0,1.0,0.045
112,4.625000,-0.004888,0.053696,1.920074,-0.052125,-0.001134,0.0,1.0,0.045
113,4.666667,-0.012116,0.073723,1.924305,-0.036865,-0.000247,0.0,1.0,0.045
114,4.708333,-0.018853,0.092136,1.928837,-0.021436,-0.000042,0.0,1.0,0.045
115,4.750000,-0.025225,0.112863,1.934399,-0.006421,-0.000005,0.0,1.0,0.045
116,4.791667,-0.029993,0.130676,1.937834,0.007772,-0.000000,0.0,1.0,0.045
117,4.833333,-0.033953,0.148376,1.947055,0.020934,-0.000000,0.0,1.0,0.045
