frame,time,ball_center_x,ball_center_y,radius,mask_area
1,0.000000,533.926,544.243,34.710,3785.0
2,0.041667,533.992,544.113,34.952,3838.0
3,0.083333,534.271,543.745,35.021,3853.0
4,0.125000,534.754,543.288,35.016,3852.0
5,0.166667,535.567,542.767,35.062,3862.0
6,0.208333,536.620,542.279,35.157,3883.0
7,0.250000,537.937,541.504,35.148,3881.0
8,0.291667,539.235,540.468,35.256,3905.0
9,0.333333,541.035,538.849,35.454,3949.0
10,0.375000,543.177,536.773,35.714,4007.0
11,0.416667,545.862,533.842,35.714,4007.0
12,0.458333,549.439,530.170,35.369,3930.0
13,0.500000,552.410,525.361,36.020,4076.0
14,0.541667,556.248,519.730,36.380,4158.0
15,0.583333,561.080,512.996,36.677,4226.0
16,0.625000,565.612,503.731,36.306,4141.0
17,0.666667,571.932,493.736,37.296,4370.0
18,0.708333,577.435,482.443,37.433,4402.0
19,0.750000,584.088,469.775,37.885,4509.0
20,0.791667,591.641,457.210,37.902,4513.0
21,0.833333,597.563,443.121,38.161,4575.0
22,0.875000,604.922,428.785,38.240,4594.0
23,0.916667,611.343,414.114,38.530,4664.0
24,0.958333,620.418,396.989,37.868,4505.0
25,1.000000,629.082,381.388,38.065,4552.0
26,1.041667,636.620,366.066,38.253,4597.0
27,1.083333,646.012,350.545,37.956,4526.0
28,1.125000,654.620,336.103,38.136,4569.0
29,1.166667,662.039,323.228,38.456,4646.0
30,1.208333,668.547,310.436,38.769,4722.0
31,1.250000,675.459,298.910,38.851,4742.0
32,1.291667,682.570,287.841,38.249,4596.0
33,1.333333,688.723,277.589,38.090,4558.0
34,1.375000,695.358,268.181,38.169,4577.0
35,1.416667,699.607,260.417,39.060,4793.0
36,1.458333,703.926,253.863,39.056,4792.0
37,1.500000,708.505,248.124,38.617,4685.0
38,1.541667,712.299,242.997,38.658,4695.0
39,1.583333,715.141,238.927,38.638,4690.0
40,1.625000,717.549,235.477,38.377,4627.0
