frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,contact_depth_offset_used_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap,contact_surface_gap_m,audio_score,audio_anchor_type
12,0.458333,-0.295707,0.419401,3.914870,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.070,517.332,,529.070,517.332,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.148050,3.847499,529.070,517.332,526.000,474.000,1.796760,0.000000,3.914870,3.612048,3.834222,3.612048,0.067371,0.159613,0.000000,
13,0.500000,-0.299157,0.329386,3.848418,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,525.838,485.698,,525.838,485.698,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.114402,3.813038,525.838,485.698,522.000,441.000,3.841463,0.000000,3.848418,3.610145,3.867641,3.610145,0.035381,0.098000,0.000000,
14,0.541667,-0.292828,0.256842,3.783338,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,526.331,459.700,,526.331,459.700,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.071485,3.785596,526.331,459.700,521.000,414.000,3.813060,0.000000,3.783338,3.608241,3.890394,3.608241,-0.002258,0.066300,0.000000,
15,0.583333,-0.284581,0.200087,3.725695,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.823,438.871,,527.823,438.871,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.038150,3.755041,527.823,438.871,521.000,394.000,2.160910,0.000000,3.725695,3.606338,3.900802,3.606338,-0.029345,0.046418,0.000000,
16,0.625000,-0.282154,0.158692,3.678347,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.348,423.359,,527.348,423.359,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.020730,3.729562,527.348,423.359,525.000,379.000,0.550248,0.550248,4.228595,3.604435,3.896868,3.604435,0.499033,0.028265,0.000000,
17,0.666667,-0.274558,0.139601,3.642002,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.287,416.293,,529.287,416.293,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.020257,3.714808,529.287,416.293,525.000,372.000,0.008560,0.008560,3.650562,3.602531,3.851897,3.602531,-0.064245,0.020656,0.000000,
18,0.708333,-0.269164,0.141705,3.615949,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,530.680,417.553,,530.680,417.553,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.043412,3.699178,530.680,417.553,529.000,375.000,-0.016328,-0.016328,3.599621,3.600628,3.810648,3.600628,-0.099557,0.009287,0.000000,
19,0.750000,-0.260826,0.180878,3.598744,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,533.560,433.814,,533.560,433.814,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.088233,3.699030,533.560,433.814,529.000,391.000,-0.002018,-0.002018,3.596726,3.598724,3.784964,3.598724,-0.102303,0.017514,0.000000,
20,0.791667,-0.258912,0.300006,3.588514,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,534.040,482.778,,534.040,482.778,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.150929,3.711479,534.040,482.778,529.000,439.000,-0.072256,-0.072256,3.516258,3.596821,3.750328,3.596821,-0.195222,0.074225,0.000000,
21,0.833333,-0.255808,0.441592,3.583880,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,535.175,540.956,,535.175,540.956,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.199159,3.735127,535.175,540.956,531.000,495.000,0.041338,0.041338,3.625218,3.594917,3.707100,3.594917,-0.109909,0.166714,0.000000,
