frame,measurement_depth_m,candidate_depth_m,depth_delta_m,contact_event_active,support_event_active,flight_active,contact_depth_gap_m,contact_surface_gap_m,audio_score,audio_anchor_type
1,2.681067,3.631083,0.950016,0,0,1,-0.001296,0.015849,0.000000,
2,2.691532,3.631083,0.939551,1,0,0,0.019880,-0.000000,0.233097,
3,2.669402,3.670146,1.000744,0,0,1,0.082453,-0.011763,0.000000,
4,2.664412,3.712567,1.048155,0,0,1,0.063144,-0.009268,0.000000,
5,2.692018,3.760576,1.068558,0,0,1,0.093104,0.003725,0.000000,
6,2.654066,3.814933,1.160867,0,0,1,0.055247,0.045783,0.000000,
7,2.618466,3.874002,1.255536,0,0,1,0.082216,0.099048,0.000000,
8,2.591195,3.932712,1.341517,0,0,1,0.146487,0.198074,0.000000,
9,2.574700,3.981207,1.406507,0,0,1,0.057669,0.358494,0.000000,
10,2.600945,4.002590,1.401645,0,1,0,0.170357,0.395617,0.932983,audio_floor_soft
11,2.608720,3.972104,1.363384,0,0,1,0.194534,0.268211,0.000000,
12,2.580082,3.914870,1.334788,0,0,1,0.067371,0.159613,0.000000,
13,2.613501,3.848418,1.234917,0,0,1,0.035381,0.098000,0.000000,
14,2.636254,3.783338,1.147084,0,0,1,-0.002258,0.066300,0.000000,
15,2.646662,3.725695,1.079033,0,0,1,-0.029345,0.046418,0.000000,
16,2.642728,3.678347,1.035619,0,0,1,0.499033,0.028265,0.000000,
17,2.597757,3.642002,1.044245,0,0,1,-0.064245,0.020656,0.000000,
18,2.556508,3.615949,1.059441,0,0,1,-0.099557,0.009287,0.000000,
19,2.530824,3.598744,1.067920,0,0,1,-0.102303,0.017514,0.000000,
20,2.496188,3.588514,1.092326,0,0,1,-0.195222,0.074225,0.000000,
21,2.452960,3.583880,1.130920,0,0,1,-0.109909,0.166714,0.000000,
22,2.406218,3.583464,1.177246,0,1,0,-0.135445,0.274873,0.000000,
23,2.353819,3.585699,1.231880,0,0,1,-0.122227,0.255613,0.000000,
24,2.327056,3.589207,1.262151,1,0,0,0.000000,0.134421,0.867291,audio_floor_soft
25,2.303332,3.707053,1.403721,1,0,0,0.000000,0.046789,0.000000,
26,2.289598,3.646713,1.357115,1,0,0,0.000000,0.008292,0.000000,
27,2.278769,3.639909,1.361140,0,0,1,0.054468,0.005183,0.000000,
28,2.284359,3.633106,1.348747,0,0,1,0.097673,0.007350,0.000000,
29,2.281055,3.626314,1.345259,0,0,1,0.152880,0.011487,0.000000,
30,2.281573,3.619531,1.337958,0,0,1,0.143851,0.009162,0.000000,
31,2.280533,3.612769,1.332236,0,0,1,0.114763,-0.003750,0.000000,
32,2.289145,3.605943,1.316798,0,0,1,0.018565,-0.012483,0.000000,
33,2.288120,3.599185,1.311065,0,0,1,0.043464,-0.007780,0.000000,
34,2.269600,3.592451,1.322851,1,0,0,0.000000,0.067158,0.000000,
35,2.250310,3.588047,1.337737,1,0,0,0.000000,0.181416,0.000000,
36,2.235235,3.609456,1.374221,1,1,0,0.000000,0.222527,0.686363,audio_floor_soft
37,2.235876,3.716387,1.480511,1,0,0,0.000000,0.122280,0.000000,
38,2.256797,3.612886,1.356089,1,0,0,0.000000,0.041065,0.000000,
39,2.280371,3.619268,1.338897,0,0,1,-0.020338,0.002383,0.000000,
40,2.314917,3.629063,1.314146,0,0,1,0.052761,-0.001293,0.000000,
41,2.367355,3.645159,1.277804,0,0,1,0.166439,0.013610,0.000000,
42,2.405771,3.670444,1.264673,0,0,1,0.180343,0.033903,0.000000,
43,2.412622,3.707140,1.294518,0,0,1,0.234328,0.058084,0.000000,
44,2.392925,3.756566,1.363641,0,0,1,0.266154,0.084433,0.000000,
45,2.361966,3.818229,1.456263,0,0,1,0.281076,0.134711,0.000000,
46,2.313940,3.888992,1.575052,0,0,1,0.188327,0.198344,0.000000,
47,2.282251,3.962124,1.679873,0,0,1,0.267093,0.267194,0.000000,
48,2.232656,4.026018,1.793362,0,0,1,0.408743,0.333772,0.000000,
49,2.194656,4.062794,1.868138,0,0,1,0.401790,0.412280,0.000000,
50,2.186547,4.042150,1.855603,0,1,0,0.480916,0.436477,0.000000,
51,2.194739,3.920462,1.725723,0,0,1,0.258391,0.254165,0.938178,audio_floor_soft
52,2.200730,3.620382,1.419652,1,0,0,0.000000,0.051956,0.000000,
53,2.218059,3.656971,1.438912,1,0,0,0.000000,0.021913,0.000000,
54,2.210090,3.646835,1.436745,0,0,1,0.108124,0.024667,0.000000,
55,2.213538,3.636703,1.423165,0,0,1,0.149109,0.032973,0.000000,
56,2.212944,3.626634,1.413690,0,0,1,0.152343,0.036943,0.000000,
57,2.219772,3.616551,1.396779,0,0,1,0.134745,0.045619,0.000000,
58,2.249830,3.606511,1.356681,0,0,1,0.122418,0.039499,0.000000,
59,2.283468,3.596449,1.312981,0,0,1,0.114178,0.029714,0.000000,
60,2.309989,3.586320,1.276331,0,0,1,0.067529,0.021748,0.000000,
61,2.327808,3.576039,1.248231,0,0,1,0.101605,0.034564,0.000000,
62,2.371496,3.565840,1.194344,1,0,0,0.000000,0.110185,0.000000,
63,2.377511,3.494713,1.117202,1,1,0,0.000000,0.200080,0.000000,
64,2.395269,3.595595,1.200326,1,0,0,0.000000,0.113658,0.887106,audio_floor_soft
65,2.390704,3.460514,1.069810,1,0,0,0.000000,0.051716,0.000000,
66,2.377294,3.609859,1.232565,1,0,0,0.000000,0.038776,0.000000,
67,2.368054,3.604524,1.236470,0,0,1,0.103601,0.052838,0.000000,
68,2.359840,3.599199,1.239359,0,0,1,0.156110,0.066670,0.000000,
69,2.324368,3.593881,1.269513,0,0,1,0.161318,0.071586,0.000000,
70,2.316429,3.588590,1.272161,0,0,1,0.158755,0.066210,0.000000,
71,2.308897,3.583344,1.274447,0,0,1,0.122523,0.049027,0.000000,
72,2.299368,3.578041,1.278673,0,0,1,0.109645,0.030600,0.000000,
73,2.303560,3.572674,1.269114,0,0,1,0.022748,0.016623,0.000000,
74,2.267112,3.567226,1.300114,0,0,1,0.073930,0.041325,0.000000,
75,2.247831,3.561688,1.313857,0,0,1,0.047539,0.153067,0.000000,
76,2.242368,3.556336,1.313968,0,1,0,0.019805,0.183079,0.000000,
77,2.245639,3.551077,1.305438,1,0,0,0.000000,0.096413,0.612349,audio_floor_soft
78,2.283249,3.533126,1.249877,1,0,0,0.000000,0.033232,0.000000,
79,2.318720,3.511646,1.192926,1,0,0,0.000000,0.024074,0.000000,
80,2.336989,3.530907,1.193918,0,0,1,0.015429,0.012734,0.000000,
81,2.378373,3.550185,1.171812,0,0,1,0.123847,0.020069,0.000000,
