frame,segment,phase_rad,phase_deg,hidden_alpha,transition_alpha,transition_side,hand_u,body_center_u,hand_signed_side_px,far_side_target,far_sign,anchor_signed_side_px,satisfies_far_side,grasp_source
101,101-160,0.6051428651464832,34.67213217534781,1.0,0.0,left,555.574,537.5,18.073999999999955,left/back,-1.0,-20.05872553490076,1,carried_from_confirmed_handle_frame_60
102,101-160,0.5249018435333102,30.074660293094976,1.0,0.0,left,560.872,546.5,14.371999999999957,left/back,-1.0,-22.150975575630582,1,carried_from_confirmed_handle_frame_60
103,101-160,0.44195171368787856,25.321967942889575,1.0,0.0,left,565.494,553.0,12.494000000000028,left/back,-1.0,-22.90394006899919,1,carried_from_confirmed_handle_frame_60
104,101-160,0.3494595131603515,20.02255521478459,1.0,0.0,left,570.849,561.0,9.849000000000046,left/back,-1.0,-23.878049701680425,1,carried_from_confirmed_handle_frame_60
105,101-160,0.2076756066801062,11.898935770588972,1.0,0.0,left,574.612,569.0,5.611999999999966,left/back,-1.0,-26.02474178597447,1,carried_from_confirmed_handle_frame_60
106,101-160,0.014588937320033413,0.8358845360188125,1.0,0.0,left,577.316,576.0,1.316000000000031,left/back,-1.0,-25.601688457473415,1,carried_from_confirmed_handle_frame_60
107,101-160,-0.23908768085590193,-13.69871504661395,1.0,0.0,left,579.744,583.5,-3.755999999999972,left/back,-1.0,-25.44004429696031,1,carried_from_confirmed_handle_frame_60
108,101-160,-0.5436690458320728,-31.14994177808229,1.0,0.0,left,582.076,590.0,-7.923999999999978,left/back,-1.0,-21.990527096188202,1,carried_from_confirmed_handle_frame_60
109,101-160,-0.8970290821712297,-51.39598050890538,1.0,0.0,left,584.279,596.0,-11.721000000000004,left/back,-1.0,-15.929853177377481,1,carried_from_confirmed_handle_frame_60
110,101-160,-1.1997561338192961,-68.74096291277849,0.9416666666666667,0.05833333333333333,left,586.249,602.0,-15.750999999999976,left/back,-1.0,-9.089657300052409,1,carried_from_confirmed_handle_frame_60
111,101-160,-1.3197513490576567,-75.61618230770044,0.8833333333333333,0.11666666666666665,left,588.82,608.5,-19.67999999999995,left/back,-1.0,-6.504014214972244,1,carried_from_confirmed_handle_frame_60
112,101-160,-1.1968315238094698,-68.57339510249372,0.825,0.175,left,591.167,613.5,-22.33299999999997,left/back,-1.0,-9.484942935338154,1,carried_from_confirmed_handle_frame_60
113,101-160,-0.9852620801106458,-56.45135890462041,0.7666666666666667,0.2333333333333333,left,593.646,618.0,-24.354000000000042,left/back,-1.0,-13.855838080810145,1,carried_from_confirmed_handle_frame_60
114,101-160,-0.7226446030362355,-41.404485841883044,0.7083333333333333,0.2916666666666667,left,595.49,623.0,-27.50999999999999,left/back,-1.0,-19.025619878201724,1,carried_from_confirmed_handle_frame_60
