frame,segment,phase_rad,phase_deg,hidden_alpha,transition_alpha,transition_side,hand_u,body_center_u,hand_signed_side_px,far_side_target,far_sign,anchor_signed_side_px,satisfies_far_side,grasp_source
66,61-100,-2.6024362063921695,-149.10861107830814,0.7083333333333333,0.2916666666666667,right,517.235,484.5,32.735000000000014,right/back,1.0,23.33996746161222,1,carried_from_confirmed_handle_frame_60
67,61-100,-3.069738779380597,-175.88307626614915,0.7666666666666667,0.2333333333333333,right,517.594,484.5,33.09400000000005,right/back,1.0,28.471057204517365,1,carried_from_confirmed_handle_frame_60
68,61-100,2.6944709304441377,154.38181233513708,0.825,0.175,right,517.514,484.0,33.51400000000001,right/back,1.0,25.526690344750705,1,carried_from_confirmed_handle_frame_60
69,61-100,2.168620506347101,124.25280237921244,0.8833333333333333,0.11666666666666665,right,517.31,484.5,32.809999999999945,right/back,1.0,19.176957717119933,1,carried_from_confirmed_handle_frame_60
70,61-100,1.6928015240694485,96.99038288249284,0.9416666666666667,0.05833333333333333,right,517.376,484.5,32.875999999999976,right/back,1.0,10.803744337772173,1,carried_from_confirmed_handle_frame_60
71,61-100,1.2734810392571392,72.96508883936798,1.0,0.0,right,517.572,484.0,33.572,right/back,1.0,3.6798773797846707,1,carried_from_confirmed_handle_frame_60
72,61-100,1.1277465429914715,64.61511727388016,1.0,0.0,right,517.616,484.0,33.615999999999985,right/back,1.0,1.4431023864909207,0,carried_from_confirmed_handle_frame_60
73,61-100,1.0341514203752071,59.252511764958776,1.0,0.0,right,517.704,483.5,34.20399999999995,right/back,1.0,0.07295754471067539,0,carried_from_confirmed_handle_frame_60
74,61-100,0.99305976765128,56.8981334906605,1.0,0.0,right,517.938,483.5,34.43799999999999,right/back,1.0,-1.1413065535929263,0,carried_from_confirmed_handle_frame_60
75,61-100,1.001673189972407,57.391646236824855,1.0,0.0,right,517.693,483.0,34.692999999999984,right/back,1.0,-1.2613754880106853,0,carried_from_confirmed_handle_frame_60
76,61-100,1.0123058179312663,58.00085094400029,1.0,0.0,right,517.79,483.0,34.789999999999964,right/back,1.0,-1.3259684018647704,0,carried_from_confirmed_handle_frame_60
77,61-100,1.0246698632879703,58.709258560647754,1.0,0.0,right,517.63,482.5,35.129999999999995,right/back,1.0,-0.06787351381075268,0,carried_from_confirmed_handle_frame_60
78,61-100,1.031020186800017,59.073105296430725,1.0,0.0,right,517.445,482.5,34.94500000000005,right/back,1.0,0.14002728812386067,0,carried_from_confirmed_handle_frame_60
79,61-100,1.0398509054729566,59.57906820645753,1.0,0.0,right,517.26,483.0,34.25999999999999,right/back,1.0,-0.6199956418356578,0,carried_from_confirmed_handle_frame_60
80,61-100,1.0058742430374528,57.63234884696247,1.0,0.0,right,517.243,483.0,34.24300000000005,right/back,1.0,-1.5673162600992327,0,carried_from_confirmed_handle_frame_60
81,61-100,0.9673867049336531,55.42717534976581,1.0,0.0,right,517.158,483.5,33.658000000000015,right/back,1.0,-1.8627854672960211,0,carried_from_confirmed_handle_frame_60
82,61-100,0.9305379334910002,53.315896265859614,1.0,0.0,right,517.121,483.5,33.62099999999998,right/back,1.0,-2.723255719332542,0,carried_from_confirmed_handle_frame_60
83,61-100,0.907066655824285,51.97109111577716,1.0,0.0,right,517.102,484.0,33.101999999999975,right/back,1.0,-1.3093553328261578,0,carried_from_confirmed_handle_frame_60
84,61-100,0.9335471469041181,53.48831149408542,0.9416666666666667,0.05833333333333333,right,516.951,484.5,32.45100000000002,right/back,1.0,1.9938682583622267,0,carried_from_confirmed_handle_frame_60
85,61-100,1.0128882380925646,58.03422116114601,0.8833333333333333,0.11666666666666665,right,516.806,485.5,31.30600000000004,right/back,1.0,7.158264861075338,1,carried_from_confirmed_handle_frame_60
86,61-100,1.1434196825835468,65.51312202422547,0.825,0.175,right,516.42,485.5,30.91999999999996,right/back,1.0,12.562974900692097,1,carried_from_confirmed_handle_frame_60
87,61-100,1.3247117949155074,75.90039491985844,0.7666666666666667,0.2333333333333333,right,516.755,486.5,30.254999999999995,right/back,1.0,17.905396624994808,1,carried_from_confirmed_handle_frame_60
88,61-100,1.5084373479175275,86.4270936955813,0.7083333333333333,0.2916666666666667,right,517.946,488.0,29.946000000000026,right/back,1.0,21.416251027138173,1,carried_from_confirmed_handle_frame_60
98,61-100,1.19753016060897,68.61342404251761,0.7083333333333333,0.2916666666666667,right,540.645,520.0,20.644999999999982,right/back,1.0,14.883206780610294,1,carried_from_confirmed_handle_frame_60
99,61-100,0.9947014714050137,56.99219618696023,0.7666666666666667,0.2333333333333333,right,545.603,526.0,19.602999999999952,right/back,1.0,9.881484206468713,1,carried_from_confirmed_handle_frame_60
100,61-100,0.7898307882359328,45.25397069541002,0.825,0.175,right,550.82,532.0,18.82000000000005,right/back,1.0,4.622528797940049,1,carried_from_confirmed_handle_frame_60
