case,condition,result_dir,artifact,present,sha256,full_sha256,same_as_full
back_view_basketball,VLM only,samples_known_object/12_back_view_basketball/results/no_audio,object_pose_init.csv,True,5ae1042dfa36e78028bfac38e614b69d571aef09c5857718abea8a5cd9b46d69,1d5441733fcca48f04b58af7b50d2e6485e86649f9db230c3d9155d3258c3a05,False
back_view_basketball,Neither,samples_known_object/12_back_view_basketball/results/pure_solver_no_audio_no_vlm,stage0_inputs_manifest.json,True,53e8ceca02d0d2175a2f3911bb3eb5eabbde803ad33d76fe59e60e5bbfa7867c,e1783e5c02913414472d03a8c6a74a8ce574bc00806557c8829922015cc248b0,False
back_view_basketball,Neither,samples_known_object/12_back_view_basketball/results/pure_solver_no_audio_no_vlm,object_observations.csv,True,faf717da87f50de10ef5e6836d62591dbf252e5b3aaa5a70a640b021b8805092,f1686e3748405e9602f44c8db795c99de534b7483f0003ea0cf455524c4629b6,False
back_view_basketball,Neither,samples_known_object/12_back_view_basketball/results/pure_solver_no_audio_no_vlm,object_correspondence.csv,True,f3566db243a3b0cf05c0dbd52b3cf879e5a348e959801dedd5cbf347615352e6,dfc9130ac9280bf7a436e712892c0129f9fec09b7774a2f687ffcc83959484f5,False
back_view_basketball,Neither,samples_known_object/12_back_view_basketball/results/pure_solver_no_audio_no_vlm,human_sites.csv,True,6a772ac708d3cdf7a3d0b821350c2dcb9ab115692c3a86a84cb7f3b56b95e4cc,32da58bf88a3c95b089e75da047d5a4e17b55bc2d2452c214170309f6afbb254,False
back_view_basketball,Neither,samples_known_object/12_back_view_basketball/results/pure_solver_no_audio_no_vlm,contact_candidates.csv,True,13017aafd61041e73610c6eefac4eced34483e6770029b19b13a6f6df16a9b6f,4ef5b62d3345ea80d7b9a11315f58daa01cb05e5961434ecdf96a0172a9243b8,False
back_view_basketball,Neither,samples_known_object/12_back_view_basketball/results/pure_solver_no_audio_no_vlm,object_pose_init.csv,True,5ae1042dfa36e78028bfac38e614b69d571aef09c5857718abea8a5cd9b46d69,1d5441733fcca48f04b58af7b50d2e6485e86649f9db230c3d9155d3258c3a05,False
volleyball,Audio + VLM,samples_known_object/13_volleyball/results/volleyball_full,stage0_inputs_manifest.json,True,a819040814dd53689a435437cd4a7b30e0829cdfc7d30133d7ba7b7f896ae569,a819040814dd53689a435437cd4a7b30e0829cdfc7d30133d7ba7b7f896ae569,True
volleyball,Audio + VLM,samples_known_object/13_volleyball/results/volleyball_full,object_observations.csv,True,4305b3a9009d5d0347db3f9c43026186b5bd08469cb153c9e204de3f97a5176b,4305b3a9009d5d0347db3f9c43026186b5bd08469cb153c9e204de3f97a5176b,True
volleyball,Audio + VLM,samples_known_object/13_volleyball/results/volleyball_full,object_correspondence.csv,True,a7b49a67e1773164d445e4ce489aa4f322732a498c851cc3d9eef6d3225962f0,a7b49a67e1773164d445e4ce489aa4f322732a498c851cc3d9eef6d3225962f0,True
volleyball,Audio + VLM,samples_known_object/13_volleyball/results/volleyball_full,human_sites.csv,True,bc78f1155816ac8d10ac2615f27646e62e597171062eb4eb8b07d16aa3bda1e5,bc78f1155816ac8d10ac2615f27646e62e597171062eb4eb8b07d16aa3bda1e5,True
volleyball,Audio + VLM,samples_known_object/13_volleyball/results/volleyball_full,contact_candidates.csv,True,055eb351124a2d1dd4a850c39f72ce57e278347340d6823ea48aa69443947fa9,055eb351124a2d1dd4a850c39f72ce57e278347340d6823ea48aa69443947fa9,True
volleyball,Audio + VLM,samples_known_object/13_volleyball/results/volleyball_full,object_pose_init.csv,True,fa1522af37359205a7b672e6956eaeed84ebff7570eeb99b53571c5f5ad23e25,fa1522af37359205a7b672e6956eaeed84ebff7570eeb99b53571c5f5ad23e25,True
volleyball,Audio only,samples_known_object/13_volleyball/results/volleyball_no_vlm,stage0_inputs_manifest.json,True,2a886120d877fb9d28c3d76ac9c07e6d32957d558d752e9f38cceab18a88d638,a819040814dd53689a435437cd4a7b30e0829cdfc7d30133d7ba7b7f896ae569,False
volleyball,Audio only,samples_known_object/13_volleyball/results/volleyball_no_vlm,object_observations.csv,True,20d25b4903a282800578a4a4691dae5153df3ff63b0bc838da0a8fc8212872d8,4305b3a9009d5d0347db3f9c43026186b5bd08469cb153c9e204de3f97a5176b,False
volleyball,Audio only,samples_known_object/13_volleyball/results/volleyball_no_vlm,object_correspondence.csv,True,858c99c2880a5a5058b7c00e090832eebb773cb3ca0e6cd8822f983b22a68803,a7b49a67e1773164d445e4ce489aa4f322732a498c851cc3d9eef6d3225962f0,False
