frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap
16,0.625000,-0.278551,0.156666,3.631373,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.348,423.359,,527.348,423.359,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.020730,3.729562,527.348,423.359,524.084,379.730,0.550248,4.181621,3.631917,3.586881,3.631917,0.452059
17,0.666667,-0.273867,0.139250,3.632837,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.287,416.293,,529.287,416.293,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.020257,3.714808,529.287,416.293,526.704,371.573,0.008560,3.641397,3.633397,3.623405,3.633397,-0.073410
18,0.708333,-0.270528,0.142423,3.634274,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,530.680,417.553,,530.680,417.553,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.043412,3.699178,530.680,417.553,528.713,374.519,-0.016328,3.617946,3.634876,3.631064,3.634876,-0.081231
19,0.750000,-0.263503,0.182734,3.635675,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,533.560,433.814,,533.560,433.814,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.088233,3.699030,533.560,433.814,530.408,390.480,-0.002018,3.633657,3.636356,3.615525,3.636356,-0.065373
20,0.791667,-0.262402,0.304050,3.636888,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,534.040,482.778,,534.040,482.778,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.150929,3.711479,534.040,482.778,533.870,438.610,-0.072256,3.564632,3.637835,3.579009,3.637835,-0.146847
21,0.833333,-0.259690,0.448295,3.638279,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,535.175,540.956,,535.175,540.956,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.199159,3.735127,535.175,540.956,535.836,495.121,0.041338,3.679617,3.639315,3.555084,3.639315,-0.055509
22,0.875000,-0.250158,0.605508,3.639835,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,539.066,604.311,,539.066,604.311,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,1,0,1,floor,,floor,right_hand,0.231528,3.730947,539.066,604.311,513.612,627.650,0.012039,3.651874,3.640794,3.547335,3.640794,-0.079073
23,0.916667,-0.252387,0.597247,3.641493,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,538.213,600.868,,538.213,600.868,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.243225,3.729294,538.213,600.868,511.777,626.209,0.021368,3.662861,3.642274,3.557659,3.642274,-0.066434
24,0.958333,-0.263453,0.459954,3.643209,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,533.800,545.411,,533.800,545.411,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,1,0,hand,right,right_hand,right_hand,0.234850,3.714227,533.800,545.411,532.832,503.338,0.125020,3.768229,3.643754,3.588337,3.643754,0.054002
25,1.000000,-0.275647,0.361680,3.644955,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,528.938,505.726,,528.938,505.726,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,1,0,hand,right,right_hand,right_hand,0.207546,3.668438,528.938,505.726,520.370,459.722,-0.038615,3.606340,3.645233,3.637431,3.645233,-0.062098
