frame,time_s,rms_z,flux_z,hf_ratio,motion_probability,source
1,0.020833333333333332,0.37870176873903405,-6.734699661759251,0.16361676970686329,0.2339309100312482,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
2,0.0625,0.698145794005194,3.7729108897819077,0.18312304610952249,0.798121387997312,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
3,0.10416666666666667,0.5478720605984335,-0.8652153793202447,0.17460507583276827,0.5589724454302513,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
4,0.14583333333333334,0.283322269347038,0.7313013335346806,0.1759314885607015,0.594325892588654,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
5,0.1875,0.21464870188612237,-0.7929056530283441,0.19160247139247358,0.4982466931377069,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
6,0.22916666666666666,0.003091481235815188,-0.3521797755447504,0.1671237908449608,0.48124175928168894,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
7,0.2708333333333333,-0.42238716956303546,-0.4604159296759671,0.18193609897856125,0.3939464178540454,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
8,0.3125,-0.4377691376581794,-1.554807959191458,0.17720460711336963,0.3354766459802292,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
9,0.3541666666666667,-0.3423067298354394,1.1693903833837238,0.16018551918546664,0.4975666779789152,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
10,0.3958333333333333,0.44303012718172063,0.48145369092938645,0.15623484587893052,0.6109918465460774,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
11,0.4375,0.43322278116313373,7.457991430365239,0.16655149991876345,0.8785395129552577,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
12,0.4791666666666667,-0.6169974544982847,-5.132801977487407,0.16746418033528124,0.1665227529143964,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
13,0.5208333333333334,-0.6169393297494435,0.5321852041431712,0.1570029497497194,0.4099597109273529,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
14,0.5625,3.9351766284579317,17.26785524085675,0.348814048414519,0.9989609054374669,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
15,0.6041666666666666,3.954144460981928,-5.9952896629947405,0.21685652528380076,0.8538683320881484,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
16,0.6458333333333334,2.1015884676462804,-1.4185760733655266,0.24014703784789437,0.7903691964836189,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
17,0.6875,1.974703829626445,0.35537260377079133,0.18856484173208066,0.8345813874475434,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
18,0.7291666666666666,1.544027960671125,-1.9262714992669963,0.2169110086356846,0.6858012422911968,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
19,0.7708333333333334,1.594944533019897,-0.7275954913416608,0.2027337911214083,0.7472475039947494,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
20,0.8125,1.3939397507718578,-0.793953937159266,0.19068231366338598,0.7135325501029052,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
21,0.8541666666666666,0.9878416850095666,-0.38124883141863336,0.210716057293183,0.6652194561734481,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
22,0.8958333333333334,1.1336178363781755,0.10475811368415192,0.1761001630485877,0.7124409287596114,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
23,0.9375,0.926007384508894,0.07371561725458046,0.17985236798923648,0.6766684596772027,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
24,0.9791666666666666,0.32436113887835516,-0.34464282176105143,0.18431991925505503,0.5441795504875144,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
25,1.0208333333333333,0.3011569988895569,0.3330154846222518,0.17608898253083752,0.5764375067512288,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
26,1.0625,0.07994084506806794,-0.1063576453947017,0.18885574835626584,0.5097375629220008,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
27,1.1041666666666667,0.35361123481515777,0.5268051598808414,0.1679367289747791,0.5966952172536039,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
28,1.1458333333333333,0.3341223855757093,2.192046367419539,0.1391777494986689,0.6776221794196079,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
29,1.1875,-0.11760244401716835,-0.5460313875362484,0.1729803182806731,0.4472330127025952,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
30,1.2291666666666667,-0.16800898469898792,1.746893152385511,0.13523620698263075,0.562981068417073,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
31,1.2708333333333333,-0.22192620033496308,-0.7479526684274715,0.1476363681792648,0.4163799411791286,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
32,1.3125,-0.04897682253285025,0.7796701803130964,0.13565272047569094,0.533282093098542,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
33,1.3541666666666667,2.80742862331454,1.2591880260871298,0.20780808079759092,0.9217824858753425,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
34,1.3958333333333333,3.2425923984483753,16.360448340265577,0.2858685517822841,0.9978249380595331,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
35,1.4375,2.4413045687853803,-6.667450075227183,0.2120994337013636,0.6076342140339858,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
36,1.4791666666666667,1.196612128925334,-2.3146120847582377,0.20307095294686597,0.6044741597459257,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
37,1.5208333333333333,0.8609361513549864,3.0961875726563672,0.1696961305739193,0.7945693013032386,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
38,1.5625,0.501873746129667,-1.3101173081930118,0.18188105556070908,0.5257860311505018,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
39,1.6041666666666667,0.3976994939653394,-0.3517861304595661,0.19005032325829455,0.5579416886021004,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
40,1.6458333333333333,0.3095444241573878,0.10609904918370977,0.17310500374476126,0.5658125390319971,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
41,1.6875,0.1498066578937194,-0.6606910024487761,0.16910730554503503,0.49287477553238934,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
42,1.7291666666666667,0.06845414036343501,0.2723450131378338,0.15385507479742638,0.5282972634175652,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
43,1.7708333333333333,0.012407795401861302,-0.054483155284081444,0.14954765116389626,0.49942294681894295,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
44,1.8125,-0.2953599399249645,-0.493710282031929,0.15691414085245917,0.41605313462130095,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
45,1.8541666666666667,-0.4063852089392052,0.2526431603513362,0.15914655395526783,0.43501984210049893,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
46,1.8958333333333333,-0.3663829148278191,-0.15360171303899556,0.14776606136318063,0.42078028970301545,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
47,1.9375,-0.49470512460819227,0.4720021650752896,0.15486276190622328,0.4299562823685669,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
48,1.9791666666666667,-0.5786397062760137,-0.3663483063161307,0.14410519363773522,0.370065553720383,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
49,2.0208333333333335,-0.42992079782594644,1.6795581496433976,0.13240266940423234,0.5085403119700804,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
50,2.0625,3.8048096349520426,16.692332046541242,0.20731820534625875,0.9986947630124676,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
51,2.1041666666666665,3.845570490438616,-6.077551885521452,0.15586403281533306,0.8405711108237905,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
52,2.1458333333333335,1.6697973622932119,0.509084571336466,0.16292647684778516,0.8044653900456641,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
53,2.1875,1.6083019699740184,-2.2064663447665795,0.1786978986209818,0.6833159902000426,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
54,2.2291666666666665,1.4768518529183114,-0.8743947107041684,0.17661526333588662,0.7230372274236398,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
55,2.2708333333333335,1.0997799777723485,-0.43023500850944735,0.17960671886604473,0.6820430278865923,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
56,2.3125,1.1225715508258491,-0.11199605884730887,0.15323227973785514,0.7007698856478427,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
57,2.3541666666666665,0.8313383007952666,-0.5604399686901727,0.17608167437801733,0.6283505363206389,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
58,2.3958333333333335,0.6819415645034005,1.5208883628716905,0.13299657585063185,0.7040189539048511,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
59,2.4375,0.5561917856548679,-1.9590382381818194,0.15256167950170085,0.5007102946248896,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
60,2.4791666666666665,0.4138388110870654,0.034472162335481414,0.1448208638241188,0.5818513833176755,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
61,2.5208333333333335,-0.177220581450024,-0.5833419416366818,0.14632277798570822,0.4337500159266624,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
62,2.5625,-0.19448719932741806,-0.29712121607060893,0.14441897496563516,0.4459454078658423,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
63,2.6041666666666665,-0.14978357044325613,-0.5275563563485389,0.1352630848420083,0.4420383514943293,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
64,2.6458333333333335,3.4779669685296826,16.435419578848204,0.33637282572857474,0.9982186601464579,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
65,2.6875,3.508381332227262,-6.728430435457551,0.24562818398046335,0.7783855390782412,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
66,2.7291666666666665,2.1009740156767713,7.086164580906178,0.13309828915929356,0.9607482334561336,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
67,2.7708333333333335,2.1458556345359185,-3.0524122340144015,0.18320601963014935,0.7314981138811041,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
68,2.8125,1.5902046022445189,-1.6931745276384895,0.19994280505926815,0.7043004620857063,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
69,2.8541666666666665,0.8882462476458567,-0.4606629917335779,0.20712212483385328,0.6437060797176981,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
70,2.8958333333333335,0.9182223358761749,0.7577526044659753,0.1824812335669583,0.7074267431797997,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
71,2.9375,0.8896390008445794,0.12317944071402548,0.1712734471800119,0.6728311256680555,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
72,2.9791666666666665,0.6448827759074234,-0.25199213681385263,0.17694117055960207,0.6100613947905367,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
73,3.0208333333333335,0.5062981684834696,-0.17773170788153914,0.16709570386854367,0.5880261627050414,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
74,3.0625,0.34734704781386555,-0.9197638084151226,0.16314135074354186,0.517138947518203,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
75,3.1041666666666665,0.030204162391246184,-0.3774310041434366,0.17410580079571425,0.48513548792106403,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
76,3.1458333333333335,0.09950329710541825,0.7993539054616882,0.14889982467879165,0.563030507088904,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
77,3.1875,0.23208452543760236,-1.2119436034300142,0.14035340420376716,0.47861264258998926,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
78,3.2291666666666665,0.0645189184878889,-0.57916142159654,0.14387138898922208,0.48073685002300703,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
79,3.2708333333333335,-0.17397220397635788,0.3225428964080977,0.13600626490967666,0.48382092983824,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
80,3.3125,-0.19416256342944185,-0.09061690023967052,0.14507566054531773,0.45725893520419864,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
81,3.3541666666666665,-0.4729229048201117,-0.018569364668946955,0.14943229450999918,0.40782473736453795,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
82,3.3958333333333335,-0.48013696429768715,1.805330833047303,0.13779031592450078,0.5056662451977075,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
83,3.4375,-0.20583738957104455,-0.61306670111857,0.13545021047358527,0.42667556477048907,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
84,3.4791666666666665,-0.278264578195059,2.1093841099014816,0.12076756813905754,0.56144242627772,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
85,3.5208333333333335,-0.4681539299534349,-0.8366471643972037,0.1325446150628313,0.36604482730527343,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
86,3.5625,-0.4010205495467835,1.6020035853915908,0.12049085790209467,0.5099098921150076,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
87,3.6041666666666665,-0.5130605586843465,-0.23678715118469817,0.1227383489420897,0.38881871536633794,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
88,3.6458333333333335,-0.5602801494697207,0.2654499406747241,0.1297598964566556,0.40645989283113687,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
89,3.6875,-0.37561740187508286,-0.06764671320377626,0.1389807753690586,0.4236362342133852,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
90,3.7291666666666665,-0.4809589304121863,0.13955732710290467,0.12803669425451525,0.4147300532476965,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
91,3.7708333333333335,-0.8091436034167208,-0.8033425667548469,0.13351137060246301,0.30834513117437273,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
92,3.8125,-0.617681577709112,-0.36061407961851283,0.12045871727145897,0.3632867966735989,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
93,3.8541666666666665,-0.688075632669177,0.9238636586175613,0.12126735689891274,0.41740166851200355,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
94,3.8958333333333335,3.0256780560465604,10.304899848181831,0.2637872832002851,0.9903117583356548,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
95,3.9375,3.071927492221841,13.343432930819363,0.22487254707569815,0.9951872328753851,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
96,3.9791666666666665,0.7775020127292677,-6.5006428751643215,0.21984278116517367,0.3049809663243416,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
97,4.020833333333333,0.5618553065218161,-3.3040087821969695,0.23009976843555072,0.4283381251486867,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
98,4.0625,0.42262027396513774,1.2614741258891837,0.19541878539715013,0.6472945419659208,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
99,4.104166666666667,0.14619082656571775,0.26837870918384443,0.20334017961664166,0.5431603585814577,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
100,4.145833333333333,-0.029319365825204197,-0.28505818208735284,0.18971319935878195,0.47861757293220997,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
101,4.1875,-0.050205594046876086,-0.7042646048448187,0.18374985698395452,0.45162712828969886,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
102,4.229166666666667,-0.16389034798486402,-0.11303495891994753,0.17595863258790026,0.46189846811417173,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
103,4.270833333333333,-0.2551148676456181,0.322230863870047,0.1531702942941921,0.4680190185044427,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
104,4.3125,-0.36251729945278016,-0.14394183644248115,0.1681646446926461,0.42203362590071686,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
105,4.354166666666667,-0.2257665388215885,1.7846268963221805,0.13850216771317353,0.5539195189240091,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
106,4.395833333333333,-0.3273584466993466,-1.339003615345685,0.17087572744033958,0.3658828807530232,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
107,4.4375,-0.5201461625622252,0.7763454769673357,0.14547398566976147,0.44153910675541364,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
108,4.479166666666667,-0.5423393604514188,-0.40470456034806035,0.14827375875425394,0.37471080699232184,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
109,4.520833333333333,-0.7427237909976264,0.1531880939878876,0.15207190726003858,0.3668804604298887,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
110,4.5625,-0.6670399544497899,-0.3475922368673788,0.15811808450938397,0.3550849704932774,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
111,4.604166666666667,-0.7076242527670669,1.4022768402244892,0.1457205564261048,0.4394373107208019,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
112,4.645833333333333,-0.5999591185551796,0.8571369642363987,0.1308443224901852,0.43060137537597476,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
113,4.6875,-0.5128168968075647,-0.9741674015901823,0.13446210663767233,0.3510757435883971,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
114,4.729166666666667,-0.7260212770384078,0.030555157110267805,0.13252422764622193,0.36364592682638924,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
115,4.770833333333333,3.6597489561995653,15.86041204324649,0.2177452772125671,0.9982456392558862,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
116,4.8125,3.678748628181922,-0.44270004755286363,0.15484903433568215,0.9411455257854167,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
117,4.854166666666667,1.3228030598690355,-5.192289347611508,0.18539549484106793,0.472398770443942,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
