frame,time,E_total,E_2d,E_depth,E_contact,E_support,E_smooth,E_reg
84,3.458333,0.320588,0.000000,0.277798,0.000000,0.000000,0.042790,
85,3.500000,0.305168,0.000000,0.254150,0.000000,0.000000,0.051018,
86,3.541667,0.320623,0.000000,0.287467,0.000000,0.000000,0.033156,
87,3.583333,0.397491,0.000000,0.235042,0.000000,0.000000,0.162449,
88,3.625000,0.341877,0.000000,0.239832,0.000000,0.000000,0.102045,
89,3.666667,0.211583,0.000000,0.189087,0.000000,0.000000,0.022496,
90,3.708333,0.236541,0.000000,0.211517,0.000000,0.000000,0.025024,
91,3.750000,0.261651,0.000000,0.244006,0.000000,0.000000,0.017645,
92,3.791667,0.299152,0.000000,0.275964,0.000000,0.000000,0.023188,
93,3.833333,0.342203,0.000000,0.330617,0.000000,0.000000,0.011586,
94,3.875000,0.374889,0.000000,0.313135,0.000000,0.000000,0.061754,
95,3.916667,0.380577,0.000000,0.357946,0.000000,0.000000,0.022631,
96,3.958333,0.309727,0.000000,0.250771,0.000000,0.000000,0.058956,
97,4.000000,0.284153,0.000000,0.221257,0.000000,0.000000,0.062896,
98,4.041667,0.330148,0.000000,0.308078,0.000000,0.000000,0.022070,
99,4.083333,0.595066,0.000000,0.286494,0.000000,0.141450,0.167122,
100,4.125000,0.455149,0.000000,0.350841,0.000000,0.000000,0.104308,
101,4.166667,0.342094,0.000000,0.320205,0.000000,0.000000,0.021889,
102,4.208333,0.230367,0.000000,0.209777,0.000000,0.000000,0.020590,
103,4.250000,0.165478,0.000000,0.087100,0.000000,0.000000,0.078378,
104,4.291667,0.159587,0.000000,0.149315,0.000000,0.000000,0.010272,
105,4.333333,0.182310,0.000000,0.165331,0.000000,0.000000,0.016979,
106,4.375000,0.202146,0.000000,0.184999,0.000000,0.000000,0.017147,
107,4.416667,0.234393,0.000000,0.214413,0.000000,0.000000,0.019980,
108,4.458333,0.235400,0.000000,0.197709,0.000000,0.000000,0.037691,
109,4.500000,0.268446,0.000000,0.213324,0.000000,0.000000,0.055122,
110,4.541667,0.226229,0.000000,0.197941,0.000000,0.000000,0.028288,
111,4.583333,0.343403,0.000000,0.318980,0.000000,0.000000,0.024423,
112,4.625000,0.905547,0.000000,0.325371,0.000000,0.387450,0.192726,
113,4.666667,0.418605,0.000000,0.366821,0.000000,0.000000,0.051784,
114,4.708333,0.382823,0.000000,0.355422,0.000000,0.000000,0.027401,
115,4.750000,0.234006,0.000000,0.208174,0.000000,0.000000,0.025832,
116,4.791667,0.237730,0.000000,0.205656,0.000000,0.000000,0.032074,
117,4.833333,0.259156,0.000000,0.238777,0.000000,0.000000,0.020379,
118,4.875000,0.262375,0.000000,0.248099,0.000000,0.000000,0.014276,
119,4.916667,0.256982,0.000000,0.245586,0.000000,0.000000,0.011396,
120,4.958333,0.272566,0.000000,0.254305,0.000000,0.000000,0.018261,
121,5.000000,0.280633,0.000000,0.222078,0.000000,0.000000,0.058555,
122,5.041667,0.194748,0.000000,0.147788,0.000000,0.000000,0.046960,
123,5.083333,0.140716,0.000000,0.105312,0.000000,0.000000,0.035404,
124,5.125000,0.223332,0.000000,0.202075,0.000000,0.000000,0.021257,
125,5.166667,0.696907,0.000000,0.231103,0.000000,0.271450,0.194354,
126,5.208333,0.349382,0.000000,0.290426,0.000000,0.000000,0.058956,
127,5.250000,0.233429,0.000000,0.209989,0.000000,0.000000,0.023440,
128,5.291667,0.201189,0.000000,0.157104,0.000000,0.000000,0.044085,
129,5.333333,0.149998,0.000000,0.105362,0.000000,0.000000,0.044636,
130,5.375000,0.231790,0.000000,0.200074,0.000000,0.000000,0.031716,
131,5.416667,0.224152,0.000000,0.207888,0.000000,0.000000,0.016264,
132,5.458333,0.242222,0.000000,0.217975,0.000000,0.000000,0.024247,
133,5.500000,0.231086,0.000000,0.178977,0.000000,0.000000,0.052109,
134,5.541667,0.213877,0.000000,0.166576,0.000000,0.000000,0.047301,
135,5.583333,0.223510,0.000000,0.190009,0.000000,0.000000,0.033501,
136,5.625000,0.294652,0.000000,0.159257,0.000000,0.000000,0.135395,
137,5.666667,0.268653,0.000000,0.128434,0.000000,0.000000,0.140219,
138,5.708333,0.143106,0.000000,0.124020,0.000000,0.000000,0.019086,
139,5.750000,0.183503,0.000000,0.162277,0.000000,0.000000,0.021226,
140,5.791667,0.186152,0.000000,0.157286,0.000000,0.000000,0.028866,
141,5.833333,0.254598,0.000000,0.229626,0.000000,0.000000,0.024972,
142,5.875000,0.262936,0.000000,0.237592,0.000000,0.000000,0.025344,
143,5.916667,0.269792,0.000000,0.242874,0.000000,0.000000,0.026918,
144,5.958333,0.256379,0.000000,0.218028,0.000000,0.000000,0.038351,
145,6.000000,0.113686,0.000000,0.063295,0.000000,0.000000,0.050391,
146,6.041667,0.157691,0.000000,0.119859,0.000000,0.000000,0.037832,
147,6.083333,0.220388,0.000000,0.176883,0.000000,0.000000,0.043505,
148,6.125000,0.885616,0.000000,0.222070,0.000000,0.475850,0.187696,
149,6.166667,0.294478,0.000000,0.272202,0.000000,0.000000,0.022276,
150,6.208333,0.179395,0.000000,0.165408,0.000000,0.000000,0.013987,
151,6.250000,0.162264,0.000000,0.157874,0.000000,0.000000,0.004390,
152,6.291667,0.235996,0.000000,0.190416,0.000000,0.000000,0.045580,
153,6.333333,0.310818,0.000000,0.274536,0.000000,0.000000,0.036282,
154,6.375000,0.287547,0.000000,0.270562,0.000000,0.000000,0.016985,
155,6.416667,0.311469,0.000000,0.299328,0.000000,0.000000,0.012141,
156,6.458333,0.342855,0.000000,0.290009,0.000000,0.000000,0.052846,
157,6.500000,0.297296,0.000000,0.237963,0.000000,0.000000,0.059333,
158,6.541667,0.235797,0.000000,0.201262,0.000000,0.000000,0.034535,
159,6.583333,0.272611,0.000000,0.244052,0.000000,0.000000,0.028559,
160,6.625000,0.927462,0.000000,0.221516,0.000000,0.515350,0.190596,
161,6.666667,0.256947,0.000000,0.222696,0.000000,0.000000,0.034251,
162,6.708333,0.252102,0.000000,0.226372,0.000000,0.000000,0.025730,
163,6.750000,0.181655,0.000000,0.140786,0.000000,0.000000,0.040869,
164,6.791667,0.172222,0.000000,0.153132,0.000000,0.000000,0.019090,
165,6.833333,0.250085,0.000000,0.231179,0.000000,0.000000,0.018906,
166,6.875000,0.308377,0.000000,0.289504,0.000000,0.000000,0.018873,
167,6.916667,0.455850,0.000000,0.439366,0.000000,0.000000,0.016484,
168,6.958333,0.455909,0.000000,0.437528,0.000000,0.000000,0.018381,
169,7.000000,0.419742,0.000000,0.341344,0.000000,0.000000,0.078398,
170,7.041667,0.328910,0.000000,0.279155,0.000000,0.000000,0.049755,
171,7.083333,0.255247,0.000000,0.210840,0.000000,0.000000,0.044407,
172,7.125000,0.310133,0.000000,0.297400,0.000000,0.000000,0.012733,
173,7.166667,0.899806,0.000000,0.339416,0.000000,0.402650,0.157740,
174,7.208333,0.546087,0.000000,0.423052,0.000000,0.000000,0.123035,
175,7.250000,0.395364,0.000000,0.360237,0.000000,0.000000,0.035127,
176,7.291667,0.333297,0.000000,0.323907,0.000000,0.000000,0.009390,
177,7.333333,0.203267,0.000000,0.180150,0.000000,0.000000,0.023117,
178,7.375000,0.306497,0.000000,0.219943,0.000000,0.000000,0.086554,
179,7.416667,0.248149,0.000000,0.229561,0.000000,0.000000,0.018588,
180,7.458333,0.276630,0.000000,0.258578,0.000000,0.000000,0.018052,
181,7.500000,0.272931,0.000000,0.250795,0.000000,0.000000,0.022136,
182,7.541667,0.311435,0.000000,0.295375,0.000000,0.000000,0.016060,
183,7.583333,0.238287,0.000000,0.202578,0.000000,0.000000,0.035709,
184,7.625000,0.265055,0.000000,0.228701,0.000000,0.000000,0.036354,
185,7.666667,0.292736,0.000000,0.268554,0.000000,0.000000,0.024182,
186,7.708333,1.003356,0.000000,0.410754,0.000000,0.449850,0.142752,
187,7.750000,1.024893,0.000000,0.437480,0.000000,0.496500,0.090913,
188,7.791667,0.351476,0.000000,0.339294,0.000000,0.000000,0.012182,
189,7.833333,0.284795,0.000000,0.258030,0.000000,0.000000,0.026765,
190,7.875000,0.184056,0.000000,0.171470,0.000000,0.000000,0.012586,
191,7.916667,0.253162,0.000000,0.230305,0.000000,0.000000,0.022857,
192,7.958333,0.218433,0.000000,0.218433,0.000000,0.000000,0.000000,
