frame,time,ball_center_x,ball_center_y,source
123,5.083333,580.891,519.951,cotracker_center_fallback
124,5.125000,579.022,576.362,cotracker_center_fallback
125,5.166667,576.998,625.456,cotracker_center_fallback
126,5.208333,566.935,598.351,cotracker_center_fallback
127,5.250000,558.272,553.177,cotracker_center_fallback
128,5.291667,545.594,515.876,cotracker_center_fallback
129,5.333333,539.500,478.000,cotracker_box_center
130,5.375000,533.363,459.623,cotracker_tb_center
131,5.416667,527.804,450.719,cotracker_center_fallback
132,5.458333,522.814,450.563,cotracker_center_fallback
133,5.500000,518.675,460.238,cotracker_center_fallback
134,5.541667,516.800,491.164,cotracker_center_fallback
135,5.583333,512.280,541.280,cotracker_center_fallback
136,5.625000,509.538,604.936,cotracker_center_fallback
137,5.666667,508.614,613.016,cotracker_center_fallback
138,5.708333,512.004,564.000,cotracker_center_fallback
139,5.750000,515.885,522.839,cotracker_center_fallback
140,5.791667,518.398,490.272,cotracker_center_fallback
141,5.833333,523.141,469.296,cotracker_center_fallback
142,5.875000,527.441,458.546,cotracker_center_fallback
143,5.916667,535.452,457.535,cotracker_center_fallback
144,5.958333,543.944,465.231,cotracker_center_fallback
145,6.000000,553.616,488.594,cotracker_center_fallback
146,6.041667,566.654,532.252,cotracker_center_fallback
147,6.083333,571.467,588.995,cotracker_center_fallback
148,6.125000,580.796,628.922,cotracker_center_fallback
149,6.166667,577.982,593.677,cotracker_center_fallback
150,6.208333,580.528,556.346,cotracker_center_fallback
151,6.250000,581.267,523.941,cotracker_center_fallback
152,6.291667,581.900,489.423,cotracker_center_fallback
153,6.333333,584.520,465.954,cotracker_center_fallback
154,6.375000,587.446,457.765,cotracker_center_fallback
155,6.416667,588.420,456.349,cotracker_center_fallback
156,6.458333,590.390,459.841,cotracker_center_fallback
157,6.500000,592.505,480.364,cotracker_center_fallback
158,6.541667,587.083,524.237,cotracker_center_fallback
159,6.583333,577.278,581.384,cotracker_center_fallback
160,6.625000,569.528,629.057,cotracker_center_fallback
161,6.666667,558.000,597.000,cotracker_box_center
162,6.708333,543.797,556.276,cotracker_center_fallback
163,6.750000,531.427,522.347,cotracker_center_fallback
164,6.791667,522.969,495.835,cotracker_center_fallback
165,6.833333,513.971,476.173,cotracker_center_fallback
166,6.875000,508.962,461.397,cotracker_center_fallback
167,6.916667,504.787,452.387,cotracker_center_fallback
168,6.958333,501.852,448.395,cotracker_center_fallback
169,7.000000,497.099,451.027,cotracker_center_fallback
170,7.041667,494.618,463.893,cotracker_center_fallback
171,7.083333,492.702,498.023,cotracker_center_fallback
172,7.125000,495.666,551.355,cotracker_center_fallback
173,7.166667,503.524,608.459,cotracker_center_fallback
174,7.208333,503.426,600.048,cotracker_center_fallback
175,7.250000,504.331,553.959,cotracker_center_fallback
176,7.291667,509.804,519.860,cotracker_center_fallback
177,7.333333,516.214,486.243,cotracker_center_fallback
178,7.375000,522.095,463.304,cotracker_center_fallback
179,7.416667,529.419,449.649,cotracker_center_fallback
180,7.458333,536.751,443.446,cotracker_center_fallback
181,7.500000,544.016,444.508,cotracker_center_fallback
182,7.541667,553.655,454.480,cotracker_center_fallback
183,7.583333,564.328,471.180,cotracker_center_fallback
184,7.625000,573.786,503.060,cotracker_center_fallback
185,7.666667,581.332,550.507,cotracker_center_fallback
186,7.708333,591.976,608.264,cotracker_center_fallback
187,7.750000,590.151,607.027,cotracker_center_fallback
188,7.791667,577.279,568.848,cotracker_center_fallback
189,7.833333,568.766,530.343,cotracker_center_fallback
190,7.875000,557.527,503.132,cotracker_center_fallback
191,7.916667,547.221,481.470,cotracker_center_fallback
192,7.958333,541.717,468.395,cotracker_center_fallback
