frame,time,center_x,center_y,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
44,1.791667,509.637,424.540,0.000000,480.343,426.623,0.000000,557.193,448.134,0.000000,504.803,381.496,0.000000,516.155,460.859,0.000000
45,1.833333,515.490,431.106,0.000000,482.448,431.326,0.000000,561.861,452.107,0.000000,507.349,386.415,0.000000,520.560,468.636,0.000000
46,1.875000,521.051,450.454,0.000000,485.212,449.282,0.000000,568.141,460.398,0.000000,510.715,405.164,0.000000,527.299,488.989,0.000000
47,1.916667,527.895,485.366,0.000000,489.625,478.137,0.000000,572.643,480.584,0.000000,517.925,437.590,0.000000,531.004,522.473,0.000000
48,1.958333,536.809,534.688,0.000000,501.449,518.398,0.000000,577.734,522.947,0.000000,530.773,471.913,0.000000,537.863,569.268,0.000000
49,2.000000,548.897,592.757,0.000000,514.271,572.999,0.000000,584.334,584.005,0.000000,539.225,501.263,0.000000,548.337,628.131,0.000000
50,2.041667,555.445,624.881,0.000000,522.627,602.383,0.000000,591.902,614.046,0.000000,543.864,503.044,0.000000,550.620,659.836,0.000000
51,2.083333,561.589,581.902,0.000000,524.305,563.162,0.000000,597.277,570.648,0.000000,551.451,498.650,0.000000,556.724,617.338,0.000000
52,2.125000,564.317,540.206,0.000000,526.424,527.938,0.000000,601.777,533.031,0.000000,554.851,481.505,0.000000,558.846,575.927,0.000000
53,2.166667,571.752,505.622,0.000000,531.908,498.296,0.000000,607.455,503.964,0.000000,557.201,458.208,0.000000,563.786,542.225,0.000000
54,2.208333,579.246,478.848,0.000000,537.033,474.718,0.000000,612.340,478.921,0.000000,560.426,436.286,0.000000,570.229,515.946,0.000000
55,2.250000,582.654,459.220,0.000000,543.460,457.336,0.000000,614.710,460.682,0.000000,567.026,416.321,0.000000,574.092,496.632,0.000000
56,2.291667,589.999,444.528,0.000000,551.088,442.380,0.000000,620.882,448.312,0.000000,575.937,401.966,0.000000,580.395,482.231,0.000000
57,2.333333,595.280,438.518,0.000000,557.512,435.076,0.000000,626.035,443.005,0.000000,584.404,393.616,0.000000,584.695,475.234,0.000000
58,2.375000,602.022,437.688,0.000000,564.497,433.461,0.000000,631.962,442.279,0.000000,593.757,392.337,0.000000,589.962,474.542,0.000000
