frame,time,correspondence_id,u,v,track_confidence,visible_fraction,occlusion_state,source
72,2.958333,center,610.368,314.932,1.000000,1.000000,visible,cotracker_sam2_mask_points
73,3.000000,center,599.411,320.264,1.000000,1.000000,visible,cotracker_sam2_mask_points
74,3.041667,center,592.737,324.486,1.000000,1.000000,visible,cotracker_sam2_mask_points
75,3.083333,center,590.440,321.193,1.000000,1.000000,visible,cotracker_sam2_mask_points
76,3.125000,center,599.965,306.331,1.000000,1.000000,visible,cotracker_sam2_mask_points
77,3.166667,center,615.506,289.119,1.000000,1.000000,visible,cotracker_sam2_mask_points
78,3.208333,center,629.538,280.579,1.000000,1.000000,visible,cotracker_sam2_mask_points
79,3.250000,center,642.672,277.666,1.000000,1.000000,visible,cotracker_sam2_mask_points
80,3.291667,center,655.950,282.406,1.000000,1.000000,visible,cotracker_sam2_mask_points
81,3.333333,center,668.766,293.747,1.000000,1.000000,visible,cotracker_sam2_mask_points
82,3.375000,center,681.408,312.725,1.000000,1.000000,visible,cotracker_sam2_mask_points
83,3.416667,center,694.048,338.317,1.000000,1.000000,visible,cotracker_sam2_mask_points
84,3.458333,center,706.620,370.184,1.000000,1.000000,visible,cotracker_sam2_mask_points
85,3.500000,center,731.215,344.963,1.000000,1.000000,visible,cotracker_sam2_mask_points
86,3.541667,center,760.604,305.547,1.000000,1.000000,visible,cotracker_sam2_mask_points
87,3.583333,center,783.586,275.539,1.000000,1.000000,visible,cotracker_sam2_mask_points
88,3.625000,center,801.563,254.805,1.000000,1.000000,visible,cotracker_sam2_mask_points
89,3.666667,center,817.827,242.800,1.000000,1.000000,visible,cotracker_sam2_mask_points
90,3.708333,center,810.566,234.782,1.000000,1.000000,visible,cotracker_sam2_mask_points
91,3.750000,center,801.324,227.519,1.000000,1.000000,visible,cotracker_sam2_mask_points
92,3.791667,center,793.510,226.089,1.000000,1.000000,visible,cotracker_sam2_mask_points
93,3.833333,center,787.538,230.394,1.000000,1.000000,visible,cotracker_sam2_mask_points
94,3.875000,center,781.832,239.421,1.000000,1.000000,visible,cotracker_sam2_mask_points
95,3.916667,center,776.158,252.265,1.000000,1.000000,visible,cotracker_sam2_mask_points
96,3.958333,center,770.716,269.353,1.000000,1.000000,visible,cotracker_sam2_mask_points
97,4.000000,center,765.676,292.758,1.000000,1.000000,visible,cotracker_sam2_mask_points
98,4.041667,center,761.440,317.876,1.000000,1.000000,visible,cotracker_sam2_mask_points
99,4.083333,center,756.726,310.067,1.000000,1.000000,visible,cotracker_sam2_mask_points
100,4.125000,center,751.773,297.514,1.000000,1.000000,visible,cotracker_sam2_mask_points
101,4.166667,center,747.654,290.541,1.000000,1.000000,visible,cotracker_sam2_mask_points
102,4.208333,center,743.104,288.438,1.000000,1.000000,visible,cotracker_sam2_mask_points
