frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_source,contact_u,contact_v,contact_source,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score
15,0.583333,698.991,397.845,697.794,398.711,ref,694.022,403.580,human_nearest_mesh_topk,701.028,408.954,408.620,11.109,10.242,bottom_percentile_95,2.900664,2.910388,0.009724,1.000000,0.037470,0.040869,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,right_hand,0.040869,581.400,469.620,2.912530,left,2.884085,2.900664,1.000000,0.333448,0.000000,0.532741
16,0.625000,699.208,380.932,700.921,380.822,ref,694.873,385.629,human_nearest_mesh_topk,701.806,390.414,390.178,9.482,9.592,bottom_percentile_95,2.894567,2.902383,0.007816,1.000000,0.024142,0.094422,0.931270,0.931270,1.000000,0.000000,0.974300,5.000000,8.000000,right_hand,0.094422,613.850,438.752,2.959405,left,2.889578,2.894567,0.931270,0.235500,0.220934,0.728171
17,0.666667,713.732,359.544,714.297,356.951,ref,711.201,363.227,human_nearest_mesh_topk,717.065,366.223,368.705,6.679,9.272,bottom_percentile_95,2.875974,1.735142,-1.140832,1.000000,0.000000,0.123050,0.000000,0.100000,1.000000,0.000000,0.665350,5.000000,8.000000,right_hand,0.122679,634.942,402.614,3.052143,grid_04_01,1.770010,2.875974,0.000000,2.482321,0.188275,0.970895
18,0.708333,736.775,323.784,735.681,325.342,ref,732.665,327.615,human_nearest_mesh_topk,738.991,334.741,332.454,10.957,9.399,bottom_percentile_95,2.867608,2.869256,0.001648,1.000000,0.000000,0.097157,0.938854,0.938854,1.000000,0.000000,0.576000,5.000000,8.000000,right_hand,0.097157,644.195,364.959,3.138941,left,2.860762,2.867608,0.938854,2.286907,0.000000,1.000000
19,0.750000,755.960,294.007,756.016,294.269,ref,751.032,297.530,human_nearest_mesh_topk,756.650,303.823,304.228,9.816,9.554,bottom_percentile_95,2.859497,2.863229,0.003732,1.000000,0.054789,0.065801,0.116851,0.116851,1.000000,0.000000,1.059600,5.000000,8.000000,right_hand,0.065801,645.356,336.869,3.196252,left,2.852862,2.859497,0.116851,0.404395,0.098378,0.750000
20,0.791667,771.679,272.393,771.409,272.471,ref,765.955,275.899,human_nearest_mesh_topk,771.365,281.700,282.219,9.307,9.229,bottom_percentile_95,2.824046,2.802992,-0.021054,1.000000,0.077245,0.041434,0.558464,0.558464,1.000000,0.000000,1.156050,5.000000,8.000000,right_hand,0.041434,639.916,312.446,3.251348,left,2.795040,2.824046,0.558464,0.519310,0.060980,0.500000
21,0.833333,783.665,258.060,784.001,257.868,ref,777.918,258.538,human_nearest_mesh_topk,783.654,266.561,266.226,8.501,8.693,bottom_percentile_95,2.791042,2.776860,-0.014182,1.000000,0.511908,0.024850,0.749048,0.749048,1.000000,0.000000,0.000000,5.000000,8.000000,right_hand,0.024850,630.761,294.796,3.294946,left,2.764039,2.791042,0.749048,0.334679,0.000000,0.655143
22,0.875000,794.802,249.218,794.969,249.622,ref,789.605,249.367,human_nearest_mesh_topk,795.245,257.618,257.002,8.400,7.996,bottom_percentile_95,2.765505,2.752602,-0.012903,1.000000,0.463023,0.014348,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,right_hand,0.014348,619.152,281.283,3.318753,left,2.744611,2.765505,1.000000,0.616081,0.000000,0.491357
23,0.916667,804.050,245.088,803.751,246.027,ref,798.874,245.280,human_nearest_mesh_topk,804.624,253.464,252.807,8.376,7.437,bottom_percentile_95,2.720940,2.692506,-0.028434,1.000000,0.462453,0.008324,0.078790,0.100000,0.717137,5.445500,0.000000,5.000000,8.000000,right_hand,0.008324,605.889,275.589,3.335525,left,2.684478,2.720940,0.078790,0.656764,0.000000,0.488637
24,0.958333,811.446,246.317,808.919,245.941,ref,807.322,245.761,human_nearest_mesh_topk,813.078,253.152,253.614,6.835,7.211,bottom_percentile_95,2.690660,2.675488,-0.015172,1.000000,0.600312,0.004863,0.000000,0.100000,0.337174,12.760323,0.220450,5.000000,8.000000,right_hand,0.004863,592.268,274.793,3.348568,left,2.665885,2.690660,0.000000,0.461881,0.064174,0.732956
25,1.000000,808.421,244.640,807.305,242.656,ref,802.700,242.033,human_nearest_mesh_topk,807.953,249.653,250.290,5.013,6.997,bottom_percentile_95,2.673240,2.666451,-0.006789,1.000000,0.026825,0.003713,0.000000,0.100000,0.497387,9.676000,1.646850,5.000000,8.000000,right_hand,0.003713,577.571,279.572,3.376520,left,2.658987,2.673240,0.000000,0.637190,0.076406,0.977275
26,1.041667,798.745,234.126,799.179,234.663,ref,792.967,232.654,human_nearest_mesh_topk,798.262,241.553,240.930,7.427,6.891,bottom_percentile_95,2.693722,2.720183,0.026461,1.000000,0.391462,0.002995,0.273810,0.273810,1.000000,0.000000,0.310100,5.000000,8.000000,right_hand,0.002995,563.233,288.025,3.379585,left,2.710480,2.693722,0.273810,0.623164,0.000000,0.732956
27,1.083333,787.110,225.848,787.480,227.020,ref,781.638,227.213,human_nearest_mesh_topk,786.583,234.032,233.365,8.184,7.013,bottom_percentile_95,2.711306,2.735781,0.024476,1.000000,0.306444,0.002545,0.524294,0.524294,0.570005,8.278000,0.403200,5.000000,8.000000,right_hand,0.002545,549.568,298.357,3.358636,left,2.725692,2.711306,0.524294,0.667200,0.000000,0.488637
28,1.125000,776.170,223.764,775.555,224.553,ref,771.400,225.128,human_nearest_mesh_topk,776.110,231.483,230.878,7.719,6.931,bottom_percentile_95,2.737411,2.774570,0.037159,1.000000,0.376249,0.002039,1.000000,1.000000,0.461753,10.362000,0.310100,5.000000,8.000000,right_hand,0.002039,535.206,311.181,3.335262,left,2.758769,2.737411,1.000000,0.605181,0.000000,0.505161
29,1.166667,764.263,226.500,765.085,227.797,ref,759.420,225.708,human_nearest_mesh_topk,764.722,234.841,231.752,8.341,7.044,bottom_percentile_95,2.751591,2.770115,0.018524,1.000000,0.000000,0.001788,1.000000,1.000000,0.603873,7.626000,1.861850,5.000000,8.000000,right_hand,0.001788,522.570,324.354,3.310289,left,2.763193,2.751591,1.000000,3.088852,0.000000,0.673548
30,1.208333,756.900,235.290,756.636,234.237,ref,751.741,238.536,human_nearest_mesh_topk,756.990,240.649,244.603,5.359,6.412,bottom_percentile_95,2.801148,2.849102,0.047953,1.000000,0.000000,0.001737,1.000000,1.000000,1.000000,0.000000,1.795850,5.000000,8.000000,right_hand,0.001737,514.371,339.096,3.272485,left,2.841695,2.801148,1.000000,3.953943,0.000000,0.599522
31,1.250000,750.000,244.567,750.169,243.802,ref,745.242,245.486,human_nearest_mesh_topk,750.724,251.865,251.165,7.298,8.063,bottom_percentile_95,2.831268,2.864507,0.033239,1.000000,0.006696,0.001606,1.000000,1.000000,1.000000,0.000000,1.513650,5.000000,8.000000,right_hand,0.001606,508.547,354.959,3.228905,left,2.855911,2.831268,1.000000,0.700050,0.046982,0.449642
32,1.291667,742.562,258.962,741.766,261.015,ref,737.916,260.796,human_nearest_mesh_topk,743.181,272.771,267.074,13.809,11.755,bottom_percentile_95,2.855227,2.877984,0.022757,1.000000,0.000000,0.001718,1.000000,1.000000,1.000000,0.000000,1.201600,5.000000,8.000000,right_hand,0.001718,504.937,370.958,3.180675,left,2.874829,2.855227,1.000000,5.697033,0.380561,0.299761
33,1.333333,731.613,292.030,732.511,292.685,ref,726.790,301.190,human_nearest_mesh_topk,732.402,306.605,309.198,14.575,13.921,bottom_percentile_95,2.885713,2.920122,0.034409,1.000000,0.000000,0.002781,0.891768,0.891768,1.000000,0.000000,7.855350,5.000000,8.000000,right_hand,0.002781,503.930,386.112,3.124359,left,2.910656,2.885713,0.891768,2.593057,0.000000,0.000000
