frame,time,left_detected,left_wrist_x,left_wrist_y,left_wrist_z,left_palm_x,left_palm_y,left_palm_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z,left_index_tip_x,left_index_tip_y,left_index_tip_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,left_ring_tip_x,left_ring_tip_y,left_ring_tip_z,left_pinky_tip_x,left_pinky_tip_y,left_pinky_tip_z,right_detected,right_wrist_x,right_wrist_y,right_wrist_z,right_palm_x,right_palm_y,right_palm_z,right_thumb_tip_x,right_thumb_tip_y,right_thumb_tip_z,right_index_tip_x,right_index_tip_y,right_index_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,right_ring_tip_x,right_ring_tip_y,right_ring_tip_z,right_pinky_tip_x,right_pinky_tip_y,right_pinky_tip_z
12,0.500000,1,-0.754994,0.055926,3.265425,-0.801416,0.099494,3.275692,-0.834997,0.131842,3.215681,-0.864510,0.168594,3.261566,-0.858412,0.180003,3.266406,-0.846363,0.176094,3.270942,-0.824391,0.164916,3.288306,1,-0.356130,0.254068,2.830041,-0.298434,0.291253,2.816437,-0.269346,0.327347,2.842839,-0.258491,0.366227,2.844893,-0.290674,0.312454,2.866295,-0.307970,0.298026,2.866443,-0.321600,0.296323,2.853937
13,0.541667,1,-0.749542,0.060086,3.261480,-0.798829,0.098743,3.281503,-0.840379,0.128636,3.230510,-0.862612,0.162500,3.267566,-0.854550,0.173020,3.270268,-0.843292,0.171025,3.274551,-0.822871,0.162913,3.289381,1,-0.317386,0.249425,2.831822,-0.260534,0.278498,2.832509,-0.233552,0.317122,2.860100,-0.221670,0.350999,2.864416,-0.251438,0.307490,2.879881,-0.268265,0.292763,2.877294,-0.279268,0.291138,2.863259
14,0.583333,1,-0.752721,0.062940,3.258125,-0.796828,0.095388,3.289058,-0.850765,0.125477,3.250102,-0.861716,0.153341,3.278746,-0.852382,0.161730,3.278979,-0.840526,0.161421,3.281799,-0.820011,0.156598,3.292103,1,-0.259010,0.229664,2.857393,-0.205515,0.248160,2.864895,-0.181545,0.288374,2.893201,-0.168392,0.316062,2.901929,-0.194438,0.287469,2.909157,-0.209297,0.274733,2.902738,-0.216204,0.273021,2.886409
15,0.625000,1,-0.762385,0.061611,3.256059,-0.795348,0.091600,3.294382,-0.860254,0.127957,3.266611,-0.858212,0.147120,3.289697,-0.848529,0.151771,3.289139,-0.835702,0.151862,3.290076,-0.814326,0.148649,3.295468,1,-0.192241,0.188084,2.903880,-0.145545,0.204498,2.909913,-0.122122,0.242938,2.938307,-0.108038,0.265395,2.951171,-0.132330,0.248519,2.952056,-0.144731,0.240718,2.942980,-0.148373,0.239669,2.925310
16,0.666667,1,-0.775317,0.063975,3.231533,-0.795037,0.088822,3.294427,-0.863926,0.136656,3.276897,-0.850753,0.145779,3.296318,-0.841769,0.145527,3.297018,-0.829030,0.145102,3.295776,-0.807564,0.141297,3.296997,1,-0.130631,0.137704,2.945278,-0.093114,0.153952,2.960603,-0.065276,0.186534,2.989868,-0.049789,0.206563,3.002022,-0.079897,0.191464,3.002438,-0.092217,0.188867,2.993841,-0.096008,0.190501,2.977266
17,0.708333,1,-0.799846,0.065021,3.232481,-0.797481,0.087341,3.289193,-0.864055,0.145399,3.283849,-0.843697,0.144900,3.297942,-0.835906,0.140449,3.300472,-0.824500,0.140198,3.296378,-0.803966,0.135358,3.294644,1,-0.088350,0.076185,3.029737,-0.054680,0.100232,3.014019,-0.020153,0.125157,3.046680,-0.001028,0.145651,3.051661,-0.045032,0.124186,3.056880,-0.060073,0.124864,3.051111,-0.066634,0.130999,3.037415
18,0.750000,1,-0.823009,0.067182,3.229466,-0.803975,0.086835,3.278788,-0.865959,0.148456,3.287336,-0.841472,0.140143,3.293653,-0.834291,0.134298,3.297302,-0.824790,0.135594,3.290161,-0.805545,0.130888,3.286893,1,-0.066412,0.008319,3.106894,-0.030478,0.044690,3.069705,0.007847,0.063151,3.108112,0.032755,0.084619,3.104005,-0.026239,0.056656,3.114004,-0.044129,0.059313,3.110807,-0.052935,0.070118,3.099806
19,0.791667,1,-0.842957,0.071456,3.210728,-0.813356,0.087746,3.261912,-0.869241,0.147915,3.282105,-0.841128,0.134948,3.282305,-0.834220,0.130672,3.285637,-0.826709,0.133477,3.276094,-0.808963,0.129011,3.271516,1,-0.060251,-0.045278,3.157294,-0.018861,-0.010090,3.124272,0.018328,0.004220,3.168791,0.047677,0.023845,3.160323,-0.019142,-0.004831,3.169803,-0.038027,-0.000382,3.167216,-0.046976,0.013898,3.157358
20,0.833333,1,-0.861891,0.075851,3.192487,-0.822666,0.091908,3.237577,-0.868344,0.151145,3.263994,-0.835667,0.138620,3.264569,-0.830514,0.136719,3.265571,-0.824885,0.139030,3.254469,-0.809259,0.132560,3.246691,1,-0.067283,-0.093773,3.205747,-0.018338,-0.060770,3.172465,0.014355,-0.048350,3.221754,0.042594,-0.034857,3.215637,-0.021078,-0.058155,3.218773,-0.039238,-0.052012,3.214798,-0.046899,-0.035902,3.203918
21,0.875000,1,-0.877147,0.079613,3.171789,-0.830633,0.099841,3.207718,-0.862305,0.160555,3.235332,-0.824962,0.153808,3.242354,-0.823505,0.153219,3.239462,-0.819469,0.152845,3.227389,-0.806570,0.142046,3.214553,1,-0.082152,-0.129779,3.243289,-0.027024,-0.104830,3.211077,0.000362,-0.092367,3.263342,0.020878,-0.087823,3.262556,-0.030053,-0.102348,3.257802,-0.046516,-0.094755,3.251406,-0.052596,-0.078462,3.237291
22,0.916667,1,-0.889978,0.083463,3.141484,-0.838717,0.109217,3.177854,-0.856990,0.171767,3.203590,-0.816703,0.172872,3.218033,-0.818862,0.172793,3.211331,-0.815904,0.168986,3.198679,-0.805814,0.153565,3.181663,1,-0.102011,-0.156961,3.261635,-0.042965,-0.139638,3.239815,-0.019346,-0.126601,3.293445,-0.010468,-0.130772,3.296493,-0.044100,-0.136065,3.287011,-0.058145,-0.127028,3.278544,-0.063004,-0.111779,3.260165
23,0.958333,1,-0.899894,0.088142,3.117566,-0.849496,0.118432,3.154757,-0.860085,0.181438,3.177214,-0.818747,0.189051,3.197202,-0.822624,0.189728,3.188171,-0.820093,0.183194,3.175145,-0.812206,0.164631,3.156457,1,-0.125995,-0.168008,3.273900,-0.064723,-0.162245,3.260474,-0.041959,-0.151085,3.314132,-0.044369,-0.160767,3.318465,-0.062131,-0.158635,3.308681,-0.072946,-0.147876,3.299612,-0.076935,-0.134004,3.278120
24,1.000000,1,-0.911953,0.095286,3.101685,-0.865462,0.128043,3.142561,-0.878105,0.188614,3.162911,-0.835939,0.200892,3.187965,-0.839637,0.202976,3.178659,-0.836948,0.195516,3.165061,-0.829864,0.176693,3.145430,1,-0.152155,-0.169253,3.283677,-0.091075,-0.171043,3.275870,-0.066596,-0.167701,3.327900,-0.076313,-0.178178,3.332674,-0.083440,-0.171646,3.325476,-0.090733,-0.159171,3.317773,-0.093805,-0.146073,3.296122
25,1.041667,1,-0.926550,0.101745,3.113466,-0.886921,0.137396,3.139585,-0.910841,0.191322,3.160287,-0.867861,0.207272,3.191214,-0.870472,0.211097,3.183713,-0.867186,0.204933,3.169256,-0.859093,0.189257,3.147629,1,-0.182086,-0.159432,3.308857,-0.120704,-0.166602,3.288074,-0.093215,-0.178142,3.334548,-0.104435,-0.186505,3.341106,-0.106859,-0.178703,3.337847,-0.111921,-0.165381,3.333576,-0.114210,-0.151932,3.315290
26,1.083333,1,-0.938027,0.106098,3.115315,-0.908674,0.143647,3.139522,-0.945292,0.189590,3.161306,-0.903329,0.207696,3.196583,-0.905390,0.212661,3.192012,-0.901575,0.208988,3.177073,-0.891557,0.197918,3.153731,1,-0.211317,-0.140931,3.309565,-0.152130,-0.151092,3.297064,-0.121605,-0.180627,3.331798,-0.129110,-0.188605,3.342749,-0.131639,-0.181942,3.343923,-0.137250,-0.169347,3.344558,-0.139830,-0.154486,3.332356
27,1.125000,1,-0.946262,0.108223,3.103640,-0.921187,0.144356,3.137368,-0.962100,0.188202,3.160206,-0.923649,0.204816,3.193327,-0.926599,0.209546,3.190931,-0.923309,0.207742,3.176658,-0.912795,0.199419,3.153960,1,-0.237801,-0.118064,3.286325,-0.183546,-0.127486,3.299865,-0.151069,-0.170575,3.319825,-0.152872,-0.182413,3.336623,-0.157937,-0.177955,3.341515,-0.166372,-0.167436,3.346746,-0.170609,-0.150919,3.341007
28,1.166667,1,-0.954286,0.108222,3.100749,-0.920150,0.139030,3.134122,-0.954750,0.190132,3.158214,-0.921985,0.200675,3.181715,-0.926047,0.204257,3.179722,-0.924501,0.202965,3.167526,-0.916240,0.194187,3.147910,1,-0.265738,-0.090769,3.260831,-0.212589,-0.098641,3.291468,-0.180504,-0.144449,3.301870,-0.178529,-0.161852,3.322524,-0.185394,-0.159303,3.328702,-0.196397,-0.151240,3.336089,-0.202505,-0.134147,3.334038
29,1.208333,1,-0.960970,0.103351,3.106315,-0.912017,0.129067,3.134771,-0.936255,0.191358,3.158796,-0.911280,0.193596,3.171485,-0.914860,0.196159,3.168928,-0.914996,0.194943,3.159696,-0.910009,0.184186,3.144175,1,-0.291491,-0.063933,3.234616,-0.236526,-0.066849,3.268782,-0.209865,-0.102116,3.281154,-0.207362,-0.123003,3.300757,-0.213441,-0.121456,3.304743,-0.224428,-0.115132,3.310891,-0.230988,-0.099369,3.307684
30,1.250000,1,-0.962811,0.099097,3.112006,-0.905715,0.116593,3.143535,-0.922517,0.186180,3.166057,-0.905583,0.181189,3.172239,-0.907241,0.183022,3.169396,-0.907795,0.182612,3.162808,-0.904596,0.170513,3.150806,1,-0.308113,-0.034991,3.196420,-0.253878,-0.034362,3.233265,-0.240390,-0.048805,3.258616,-0.238922,-0.069518,3.272730,-0.242640,-0.068190,3.271793,-0.250682,-0.061878,3.273979,-0.255583,-0.048974,3.265149
31,1.291667,1,-0.962287,0.092594,3.125248,-0.904761,0.102282,3.162435,-0.920535,0.171707,3.184579,-0.909058,0.161876,3.187371,-0.908149,0.162989,3.185092,-0.907688,0.164497,3.179985,-0.903760,0.152672,3.170558,1,-0.321675,-0.005184,3.153989,-0.266063,-0.002993,3.189562,-0.270636,0.004662,3.231773,-0.268177,-0.012053,3.239711,-0.271725,-0.011350,3.233434,-0.275705,-0.003170,3.230930,-0.277889,0.006668,3.215071
32,1.333333,1,-0.958116,0.085136,3.147871,-0.908800,0.086081,3.190614,-0.932160,0.147797,3.213802,-0.922541,0.135790,3.213657,-0.918259,0.136671,3.212885,-0.915676,0.140846,3.208257,-0.908706,0.131286,3.201692,1,-0.332243,0.023439,3.109010,-0.275551,0.026982,3.140786,-0.293700,0.048016,3.195536,-0.284163,0.039281,3.199303,-0.295096,0.036120,3.189598,-0.296801,0.046776,3.184040,-0.297231,0.054791,3.163996
