frame,time,u,v,radius_px,da3_depth_raw,da3_depth_smooth,object_depth_confidence,depth_observation_state,source
1,0.000000,716.594,260.312,9.739,2.860300,2.857031,0.671875,observed_mask_median,da3_metric_sam2_mask_median
2,0.041667,715.566,257.373,9.424,2.853763,2.853763,0.656250,observed_mask_median,da3_metric_sam2_mask_median
3,0.083333,714.434,258.615,9.541,2.868666,2.855588,0.687500,observed_mask_median,da3_metric_sam2_mask_median
4,0.125000,712.913,265.354,10.124,2.851197,2.853763,0.750000,observed_mask_median,da3_metric_sam2_mask_median
5,0.166667,711.575,277.903,10.734,2.847819,2.853763,0.796875,observed_mask_median,da3_metric_sam2_mask_median
6,0.208333,710.172,297.984,10.896,2.857414,2.857414,0.921875,observed_mask_median,da3_metric_sam2_mask_median
7,0.250000,708.171,325.845,12.061,2.848770,2.857414,1.000000,observed_mask_median,da3_metric_sam2_mask_median
8,0.291667,706.459,361.968,12.952,2.857533,2.857533,1.000000,observed_mask_median,da3_metric_sam2_mask_median
9,0.333333,703.437,407.721,14.127,2.892511,2.881889,1.000000,observed_mask_median,da3_metric_sam2_mask_median
10,0.375000,700.468,465.880,15.554,2.881889,2.892511,1.000000,observed_mask_median,da3_metric_sam2_mask_median
11,0.416667,700.496,533.759,16.323,2.927993,2.916760,1.000000,observed_mask_median,da3_metric_sam2_mask_median
12,0.458333,698.427,489.899,13.727,2.932602,2.916760,1.000000,observed_mask_median,da3_metric_sam2_mask_median
13,0.500000,698.643,452.866,13.716,2.922988,2.916760,1.000000,observed_mask_median,da3_metric_sam2_mask_median
14,0.541667,698.881,421.465,13.576,2.916760,2.916760,1.000000,observed_mask_median,da3_metric_sam2_mask_median
15,0.583333,698.991,397.845,13.303,2.812658,2.872679,1.000000,observed_mask_median,da3_metric_sam2_mask_median
16,0.625000,699.208,380.932,12.964,2.872679,2.858361,1.000000,observed_mask_median,da3_metric_sam2_mask_median
17,0.666667,713.732,359.544,14.658,1.756563,2.854522,1.000000,observed_mask_median,da3_metric_sam2_mask_median
18,0.708333,736.775,323.784,13.291,2.858361,2.812658,1.000000,observed_mask_median,da3_metric_sam2_mask_median
19,0.750000,755.960,294.007,11.631,2.854522,2.793065,1.000000,observed_mask_median,da3_metric_sam2_mask_median
20,0.791667,771.679,272.393,10.540,2.793065,2.763713,0.812500,observed_mask_median,da3_metric_sam2_mask_median
21,0.833333,783.665,258.060,10.265,2.763713,2.763713,0.812500,observed_mask_median,da3_metric_sam2_mask_median
22,0.875000,794.802,249.218,9.657,2.740262,2.740262,0.671875,observed_mask_median,da3_metric_sam2_mask_median
23,0.916667,804.050,245.088,9.132,2.651210,2.697550,0.609375,observed_mask_median,da3_metric_sam2_mask_median
24,0.958333,811.446,246.317,8.740,2.659315,2.681458,0.593750,observed_mask_median,da3_metric_sam2_mask_median
25,1.000000,808.421,244.640,10.218,2.652987,2.681458,0.859375,observed_mask_median,da3_metric_sam2_mask_median
26,1.041667,798.745,234.126,10.061,2.697550,2.681458,0.750000,observed_mask_median,da3_metric_sam2_mask_median
27,1.083333,787.110,225.848,9.491,2.681458,2.697550,0.703125,observed_mask_median,da3_metric_sam2_mask_median
