frame,time,anchor_type,contact_part,contact_side,contact_label,left_anchor_u,left_anchor_v,right_anchor_u,right_anchor_v,left_anchor_valid,right_anchor_valid,left_best_probe,right_best_probe,left_anchor_dist_px,right_anchor_dist_px,min_anchor_dist_px,min_anchor_boundary_gap_px,inter_anchor_dist_px,occlusion_penalty,object_contact_score,active_anchor_side,active_anchor_probe,anchor_score,floor_score,anchor_contact_state,floor_contact_state,transition_contact_state,multi_contact_state
36,1.458333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.4792585095131455,0.014459866133576582,0,0,0,0
37,1.5,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.4891563062532805,0.9993486072484349,0,1,0,0
38,1.541667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2595297954792602,0.9971989253507815,0,1,0,0
39,1.583333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.40170747356094083,0.9959312548644942,0,1,0,0
40,1.625,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.3236636728757651,0.3484878197132332,0,0,0,0
41,1.666667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.28512715958183976,0.002421843335214796,0,0,0,0
42,1.708333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.26456692085064915,1.0136732412602248e-07,0,0,0,0
43,1.75,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.3399561143913732,4.068460888680957e-16,0,0,0,0
44,1.791667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.4912359625011087,3.6689684962296506e-23,0,0,0,0
45,1.833333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2850890810795419,3.698517807292188e-39,0,0,0,0
46,1.875,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2583659947310728,8.753961919184184e-58,0,0,0,0
47,1.916667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.264302960212525,4.763906664772054e-80,0,0,0,0
48,1.958333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.24485922109763725,2.5253377051209057e-103,0,0,0,0
49,2.0,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.39956114061155956,1.66172279123383e-127,0,0,0,0
50,2.041667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.4208116420334185,1.6340219738334826e-130,0,0,0,0
51,2.083333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.4792561401953037,right,center,0.6192845647901419,8.043810898221088e-133,1,0,0,0
52,2.125,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5850838870581978,4.4601881273934186e-139,1,0,0,0
53,2.166667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.569686322121709,8.921236143929794e-143,1,0,0,0
54,2.208333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5747608544943703,2.2664106557503307e-144,1,0,0,0
55,2.25,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5969628317878621,1.770040707881865e-147,1,0,0,0
56,2.291667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5704223936865209,3.616577621112336e-147,1,0,0,0
57,2.333333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.592163643494473,2.6291101741890725e-146,1,0,0,0
58,2.375,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6886738609363185,1.5836556754433904e-143,1,0,0,0
59,2.416667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.3540381525503729,6.233754820152377e-149,0,0,0,0
60,2.458333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.3948489380957197,2.1050175368577604e-143,0,0,0,0
61,2.5,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.3760665598005418,1.8569665890869757e-112,0,0,0,0
62,2.541667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.29703121734862376,1.0318361670098457e-74,0,0,0,0
63,2.583333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.29923721367300493,2.342465700488655e-41,0,0,0,0
64,2.625,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.37714595269930606,2.4927857990240508e-20,0,0,0,0
65,2.666667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.589022427581936,0.06729770661198341,1,0,0,0
66,2.708333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.43760542199986974,0.9876423457501874,0,1,0,0
67,2.75,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2841001032978783,0.9898982439747633,0,1,0,0
68,2.791667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.3013186268062076,0.9975808508690195,0,1,0,0
69,2.833333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2541415592116958,0.8506396186065456,0,1,0,0
70,2.875,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2649043635191022,0.5147221054620517,0,1,0,0
71,2.916667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2529835177721315,0.11804871272496441,0,0,0,0
72,2.958333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2622231774303808,0.02251981524016144,0,0,0,0
73,3.0,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2423272772469623,0.007266624177538616,0,0,0,0
74,3.041667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2526701340430871,0.002878188300797593,0,0,0,0
75,3.083333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.24639339815600209,0.003184562060627454,0,0,0,0
76,3.125,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.23105087187235046,0.0033594180480264507,0,0,0,0
77,3.166667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.25269994257271083,0.00258022641795995,0,0,0,0
78,3.208333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2591166535456072,0.007362973608077368,0,0,0,0
79,3.25,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.24011700056863453,0.011470723812421799,0,0,0,0
80,3.291667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.25185469527382104,0.02548637189931993,0,0,0,0
81,3.333333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.25742645147534615,0.04352119492043121,0,0,0,0
82,3.375,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.24601984604078164,0.05259340748910695,0,0,0,0
