frame,time,anchor_type,contact_part,contact_side,contact_label,ball_center_x,ball_center_y,left_anchor_u,left_anchor_v,right_anchor_u,right_anchor_v,left_anchor_valid,right_anchor_valid,left_best_probe,right_best_probe,left_anchor_dist_px,right_anchor_dist_px,min_anchor_dist_px,min_anchor_boundary_gap_px,inter_anchor_dist_px,occlusion_penalty,object_contact_score,active_anchor_side,active_anchor_probe,proximity_score,approaching_score,object_response_score,audio_support,anchor_score,is_candidate,anchor_contact_state
1,0.0,hand,hand,right,right_hand,604.17,253.594,683.2664492931235,357.7715493613715,561.1322967412082,273.02677226308947,1,1,center,center,130.80217919331722,47.2215685849265,47.2215685849265,15.225568584926503,148.65540173505985,0.0,0.0,right,center,0.9443683409867806,0.0,0.0,0.0,0.23609208524669514,0,0
2,0.041667,hand,hand,right,right_hand,603.666,254.865,683.847330833688,357.7345554667328,561.6362430563736,274.72359316846905,1,1,center,center,130.4269575516677,46.48509644360311,46.48509644360311,15.114096443603113,147.7375031513604,0.0,0.0,right,center,0.9451572826056813,0.007822606408658908,0.03283628823702061,0.0,0.2440299692601233,0,0
3,0.083333,hand,hand,right,right_hand,603.404,255.741,684.7919337201494,356.96857335563385,562.7606842765613,277.1998119094379,1,1,center,center,129.8884804850132,45.9604147235396,45.9604147235396,14.3994147235396,145.789852676458,0.0,0.0,right,center,0.9500925879670313,0.05015310316235182,0.1336476910060213,0.0,0.27177565066731485,0,0
4,0.125,hand,hand,right,right_hand,605.009,256.88,685.5182679858656,355.6842586590331,564.1637342425279,280.5030981692242,1,1,center,center,127.4520449454658,47.184600262281855,47.184600262281855,16.588600262281854,142.7554893958803,0.0,0.0,right,center,0.9343108422638267,0.0,0.10350262550564632,0.0,0.2542782356670859,0,0
5,0.166667,hand,hand,right,right_hand,605.342,258.736,685.2455567613727,353.1637218769398,565.6951222979728,283.76653572705976,1,1,center,center,123.69791041883693,46.88712648801496,46.88712648801496,16.625126488014956,138.23268725561533,0.0,0.0,right,center,0.9340310126146132,0.0,0.13354657647713475,0.0,0.26021706844908027,0,0
6,0.208333,hand,hand,right,right_hand,606.566,258.932,683.0367057565571,350.28287768348054,567.1031307359236,287.51326741658204,1,1,center,center,119.13333577319219,48.7258339866211,48.7258339866211,19.167833986621098,131.8355710349949,0.0,0.0,right,center,0.9132756782797188,0.0,0.19925352369251545,0.0,0.2681696243084328,0,0
7,0.25,hand,hand,right,right_hand,605.897,261.206,680.6044781371453,347.40608719772234,568.489065209874,290.45643551211646,1,1,center,center,114.06867371240435,47.486224980627895,47.486224980627895,17.928224980627895,125.7502629936192,0.0,0.0,right,center,0.9237043077243281,0.08699010568373348,0.09697664948273325,0.0,0.2633699226801887,0,0
8,0.291667,hand,hand,right,right_hand,604.745,262.2,678.0771067633145,344.87256709504436,569.5452860173756,292.94875336412593,1,1,center,center,110.5095074300432,46.73869593716123,46.73869593716123,17.35169593716123,120.31308551770974,0.0,0.0,right,center,0.9283550015794091,0.04045817848888869,0.021100449133279842,0.0,0.24237756699484156,0,0
9,0.333333,hand,hand,right,right_hand,603.672,263.481,675.6690167749122,343.0423943699847,570.1442881703757,294.49356728322186,1,1,center,center,107.3013788289005,45.67150960967563,45.67150960967563,15.966509609675633,116.15703576865876,0.0,0.0,right,center,0.9389946117710789,0.09720605806916482,0.027555143817004305,0.0,0.25484059041654533,0,0
10,0.375,hand,hand,right,right_hand,602.374,265.079,673.5843993052164,342.14325902813613,570.4699087105183,295.7218544378099,1,1,center,center,104.92769409819326,44.236360260586395,44.236360260586395,14.708360260586396,113.08202763809479,0.0,0.0,right,center,0.9479853199684187,0.08829118239222716,0.036313614835755986,0.0,0.25750273031808996,0,0
11,0.416667,hand,hand,right,right_hand,601.335,267.119,671.7498207523056,342.29538276162225,570.8183800490297,296.6380179142601,1,1,center,center,103.00357035899899,42.4574670918364,42.4574670918364,12.4614670918364,110.77793411706163,0.0,0.0,right,center,0.9623830217317815,0.1576767135964909,0.21020625555080247,0.0,0.3062885135825795,0,0
12,0.458333,hand,hand,right,right_hand,601.856,266.637,669.9558139347482,342.63437152212873,570.3915753673081,297.07307824742475,1,1,center,center,102.04501524435082,43.77630496683923,43.77630496683923,14.211304966839226,109.49369409412455,0.0,0.0,right,center,0.951355984279797,0.0,0.09985050754089472,0.0,0.2578090975781282,0,0
13,0.5,hand,hand,right,right_hand,601.462,267.226,668.3025960068646,343.17029599889315,569.9416529424697,297.4218605737854,1,1,center,center,101.16917203041838,43.64999741602111,43.64999741602111,14.299997416021107,108.47946563457253,0.0,0.0,right,center,0.9507621624487012,0.0,0.01321665179165749,0.0,0.2403338709705068,0,0
14,0.541667,hand,hand,right,right_hand,601.135,267.989,666.9163655188826,343.77736463580595,569.1883622848178,297.6752285606504,1,1,center,center,100.35469228540697,43.610317901389784,43.610317901389784,14.492317901389786,108.05632589908623,0.0,0.0,right,center,0.9494631235898436,0.0,0.030547287570994973,0.0,0.2434752384116599,0,0
15,0.583333,hand,hand,right,right_hand,601.091,269.077,665.8185284914867,344.40042470455836,568.6644242728377,298.2723362240549,1,1,center,center,99.3140033119172,43.63313500798456,43.63313500798456,14.515135007984565,107.54868903614437,0.0,0.0,right,center,0.949307971453762,0.0,0.013853129790671258,0.0,0.24009761882157477,0,0
16,0.625,hand,hand,right,right_hand,600.872,270.252,665.0807982981569,344.7547531428765,568.4319620153851,298.99440787454233,1,1,center,center,98.35359680642996,43.34145907638327,43.34145907638327,14.163459076383273,106.93459100726561,0.0,0.0,right,center,0.9516749453826366,0.024679012743950336,0.05038615615852616,0.0,0.251697819488957,0,0
17,0.666667,hand,hand,right,right_hand,601.075,270.855,664.7697886411537,345.15861789867205,568.5214633850968,299.8547517490079,1,1,center,center,97.86753155604309,43.597228669285066,43.597228669285066,14.464228669285067,106.37753711523125,0.0,0.0,right,center,0.9496538247440384,0.0,0.01049303812106891,0.0,0.23951206381022339,0,0
18,0.708333,hand,hand,right,right_hand,601.426,271.461,664.6193655298815,345.68454209890615,568.6932664729884,300.7076579927823,1,1,center,center,97.48095018361948,43.89531692444113,43.89531692444113,14.330316924441131,105.94685735862376,0.0,0.0,right,center,0.9505584026058305,0.009397315427644583,0.22792369292726028,0.0,0.2846339365510564,0,0
19,0.75,hand,hand,right,right_hand,601.902,268.854,664.771469229072,346.268018406965,569.1722890189664,301.00972322809474,1,1,center,center,99.72712974441376,45.88272569523121,45.88272569523121,16.51772569523121,105.77105719119005,0.0,0.0,right,center,0.9348522987779841,0.0,0.07361212110120023,0.0,0.2484354989147361,0,0
20,0.791667,hand,hand,right,right_hand,602.532,265.22,665.3861380658974,347.0269281199621,570.093587083345,300.2000003933773,1,1,center,center,103.16499484045707,47.70588077032103,47.70588077032103,18.07488077032103,106.17641655788323,0.0,0.0,right,center,0.9225008410839207,0.0,0.2758696409506779,0.0,0.28579913846111576,0,0
21,0.833333,hand,hand,right,right_hand,601.922,257.897,665.8455138462492,347.6162947018771,570.2884644132298,296.22637213815733,1,1,center,center,110.16245941451147,49.69729713198505,49.69729713198505,19.657297131985054,108.49918818797508,0.0,0.0,right,center,0.9090004304674253,0.0,0.4018664150819581,0.0,0.30762339063324795,0,0
22,0.875,hand,hand,right,right_hand,603.937,245.549,666.3751024631531,348.5901774793868,571.0039040093609,290.23343641389187,1,1,center,center,120.48236757110017,55.50934758358987,55.50934758358987,25.161347583589873,111.8086522693921,0.0,0.0,right,center,0.8552860017212681,0.0,0.21991358277471015,0.0,0.25780421698525907,0,0
23,0.916667,hand,hand,right,right_hand,603.478,231.329,666.804786605706,349.4003534625319,572.275306822899,280.8551605824655,1,1,center,center,133.98181372962065,58.535874842223556,58.535874842223556,27.84887484222355,116.76585980060108,0.0,0.0,right,center,0.8257227179974648,0.0,0.39555106433051657,0.0,0.28554089236546953,0,0
24,0.958333,hand,hand,right,right_hand,603.303,211.536,666.9959092434104,350.56021233007147,572.7106106739395,268.72891786508546,1,1,center,center,152.9199735217284,64.86080587380695,64.86080587380695,33.72880587380695,124.84421604603683,0.0,0.0,right,center,0.7551062014336901,0.0,1.0,0.0,0.3887765503584225,0,0
25,1.0,hand,hand,right,right_hand,599.25,205.414,667.1007502381448,351.2889650181271,574.3072608440264,254.85352671684586,1,1,center,center,160.88265825414157,55.375148203762464,55.375148203762464,23.339148203762463,133.82983760842194,0.0,0.0,right,center,0.8741548562175441,0.7290987838627709,1.0,0.0,0.5279035316338017,0,0
26,1.041667,hand,hand,right,right_hand,599.31,184.296,666.6513637001348,351.898307458906,576.1279610121989,241.032331844127,1,1,center,center,180.625005828494,61.28962622466243,61.28962622466243,28.503626224662426,143.12844225806057,0.0,0.0,right,center,0.8182342660580205,0.0,0.4334782700565452,0.0,0.2912542205258142,0,0
27,1.083333,hand,hand,right,right_hand,598.619,169.247,666.2383770099783,351.95342482955095,577.2568773998753,225.01825969769374,1,1,center,center,194.8179093954504,59.72247223826518,59.72247223826518,25.905472238265183,155.016913335012,0.0,0.0,right,center,0.8472986095948605,0.18232659553664862,0.09015089848698449,0.0,0.2572038214266093,0,0
28,1.125,hand,hand,right,right_hand,599.039,154.817,665.2802474198238,351.7358764295822,579.2797120065827,212.18487469714756,1,1,center,center,207.7617547914519,60.67538635455424,60.67538635455424,26.91938635455424,163.92246391477318,0.0,0.0,right,center,0.8361671413997641,0.0,0.3383435355542554,0.0,0.2767104924607921,0,0
29,1.166667,hand,hand,right,right_hand,599.565,145.159,665.3375864492555,352.04581766749686,580.6312319358306,204.4620473337088,1,1,center,center,217.09027719547663,62.25222081317157,62.25222081317157,28.77022081317157,170.1650250812144,0.0,0.0,right,center,0.8151552502726795,0.0,0.31626267366843525,0.0,0.2670413473018569,0,0
