frame,time,anchor_type,contact_part,contact_side,contact_label,ball_center_x,ball_center_y,left_anchor_u,left_anchor_v,right_anchor_u,right_anchor_v,left_anchor_valid,right_anchor_valid,left_best_probe,right_best_probe,left_anchor_dist_px,right_anchor_dist_px,min_anchor_dist_px,min_anchor_boundary_gap_px,inter_anchor_dist_px,occlusion_penalty,object_contact_score,active_anchor_side,active_anchor_probe,proximity_score,approaching_score,object_response_score,audio_support,anchor_score,is_candidate,anchor_contact_state
30,1.208333,hand,hand,right,right_hand,600.596,139.934,665.8507902064723,352.3413535623562,582.3916249095705,202.58399352694647,1,1,center,center,222.20502130297257,65.24125199104846,65.24125199104846,31.166251991048455,171.44299098193227,0.0,0.0,right,center,0.7867569829001259,0.0,0.6277598443208061,0.0,0.3222412145891927,0,0
31,1.25,hand,hand,right,right_hand,601.093,143.549,666.5271025618596,353.02763296965475,583.5490268025518,208.67613929383094,1,1,center,center,219.4605191120063,67.44876031589341,67.44876031589341,33.203760315893405,166.5013957393716,0.0,0.0,right,center,0.761686916246363,0.0,0.46582139117054644,0.0,0.28358600729570005,0,0
32,1.291667,hand,hand,right,right_hand,602.122,153.714,667.1451490405075,354.0163102368905,584.5959781883369,221.4653478148778,1,1,center,center,210.5920829408826,69.98147305734166,69.98147305734166,35.967473057341664,156.1541650017145,0.0,0.0,right,center,0.726568869285256,0.0,0.5197195179089533,0.0,0.28558612090310465,0,0
33,1.333333,hand,hand,right,right_hand,606.113,170.586,667.9723803103843,354.83965553419506,584.0190232020691,241.22622535152266,1,1,center,center,194.36047054403465,74.01476371955404,74.01476371955404,39.763763719554035,141.26633600270546,0.0,0.0,right,center,0.6767799388006942,0.0,0.4474490499919065,0.0,0.2586847946985549,0,0
34,1.375,hand,hand,right,right_hand,612.212,193.408,667.6040286850639,355.5458215626536,584.0527109202635,264.4133931413322,1,1,center,center,171.33869972347125,76.3852827227295,76.3852827227295,42.6352827227295,123.63633046237628,0.0,0.0,right,center,0.6383736937617146,0.0,0.7657579995300479,0.0,0.3127450233464382,0,0
35,1.416667,hand,hand,right,right_hand,617.639,227.012,667.1042449773535,355.7947112019353,583.30421375811,286.53702280942133,1,1,center,center,137.95577974550633,68.71758062343586,68.71758062343586,33.90858062343587,108.7155583797496,0.0,0.0,right,center,0.752842512556766,0.6124001473188514,0.4669688713536499,0.0,0.3734644245077492,0,0
36,1.458333,hand,hand,right,right_hand,624.508,267.044,666.6524622774073,355.4244048734949,583.362338010853,302.9775655788113,1,1,center,center,97.9145120309277,54.6277094131895,54.6277094131895,21.6887094131895,98.42721042648934,0.0,0.0,right,center,0.890343285310366,0.857534821771675,0.6402123245990139,0.0,0.4792585095131455,0,0
37,1.5,hand,hand,right,right_hand,628.511,298.511,665.8709639014955,354.77171332423444,583.6912367338557,311.468902199198,1,1,center,center,67.53543341441396,46.65531490234735,46.65531490234735,16.43631490234735,92.89047856846418,0.0,0.0,right,center,0.9354717719250314,0.368589088480151,1.0,0.0,0.4891563062532805,0,0
38,1.541667,hand,hand,right,right_hand,628.334,298.281,665.3734072504509,354.70741344321056,583.8186417022243,313.36498237661317,1,1,center,center,67.49709492658843,47.001528153000685,47.001528153000685,16.940528153000685,91.43509386511592,0.0,0.0,right,center,0.9315926523120287,0.0,0.13315816200626507,0.0,0.2595297954792602,0,0
39,1.583333,hand,hand,right,right_hand,628.865,296.311,665.2860243748196,354.8649064460543,584.0976413406225,310.55325122434647,1,1,center,center,68.956877659915,46.97827286389675,46.97827286389675,15.10127286389675,92.49365561050662,0.0,0.0,right,center,0.9452477114580117,0.12907054660378492,0.7301748185293507,0.0,0.40170747356094083,0,0
40,1.625,hand,hand,right,right_hand,628.88,284.053,665.1468946277473,355.03774375526876,584.1646736976137,304.27807446619306,1,1,center,center,79.7127435981305,49.0766140182056,49.0766140182056,18.558614018205603,95.57543687116113,0.0,0.0,right,center,0.9184732418194085,0.0,0.4702268121045648,0.0,0.3236636728757651,0,0
41,1.666667,hand,hand,right,right_hand,627.183,265.386,665.2038275336989,355.01609447520696,583.8100092126241,294.1295979042818,1,1,center,center,97.36086052404119,52.03278534082936,52.03278534082936,23.035785340829364,101.6470320548781,0.0,0.0,right,center,0.8771966767409756,0.0,0.32913995198297924,0.0,0.28512715958183976,0,0
42,1.708333,hand,hand,right,right_hand,625.43,242.076,664.8788954984154,354.9145480889113,583.2623322643807,279.96700592027076,1,1,center,center,119.53557332802005,56.69074467593084,56.69074467593084,26.428744675930837,110.80793054314906,0.0,0.0,right,center,0.8415887215340453,0.0,0.27084870233568914,0.0,0.26456692085064915,0,0
43,1.75,hand,hand,right,right_hand,625.637,215.486,664.9235065250373,354.61583086088024,584.059734790583,262.4701159995271,1,1,center,center,144.57018859474087,62.738952322709466,62.738952322709466,33.321952322709464,122.59601276726633,0.0,0.0,right,center,0.760209585944501,0.0,0.7495185895262397,0.0,0.3399561143913732,0,0
44,1.791667,hand,hand,right,right_hand,615.967,192.671,664.4129706593036,353.79971026302803,583.672720607472,241.41547868063873,1,1,center,center,168.25419264954127,58.4717426055518,58.4717426055518,23.697742605551802,138.38064708186764,0.0,0.0,right,center,0.8705218058650721,0.6753831380461517,0.8614902016395893,0.0,0.4912359625011087,0,0
45,1.833333,hand,hand,right,right_hand,613.872,160.352,663.8960357192253,352.9718117121768,584.1037970467939,216.63732591668025,1,1,center,center,199.0095374942437,63.67247302100163,63.67247302100163,27.969473021001633,157.9680137543063,0.0,0.0,right,center,0.8243514066732629,0.0,0.3950061470561308,0.0,0.2850890810795419,0,0
46,1.875,hand,hand,right,right_hand,610.184,133.373,664.6560467551067,352.8327808389988,584.1604227624756,190.5659307308414,1,1,center,center,226.11899363740307,62.83516450062193,62.83516450062193,29.21616450062193,181.13551867589712,0.0,0.0,right,center,0.8099671824050279,0.0,0.279370995649079,0.0,0.2583659947310728,0,0
47,1.916667,hand,hand,right,right_hand,608.85,103.233,665.1104534510578,352.4639548017842,583.0569594197611,162.73411487001044,1,1,center,center,255.50206937308283,64.85108798738867,64.85108798738867,30.119087987388667,206.7128153823089,0.0,0.0,right,center,0.7993231352199547,0.0,0.32236088203768154,0.0,0.264302960212525,0,0
48,1.958333,hand,hand,right,right_hand,605.741,77.28,665.1872432502987,352.09810402638567,582.8880615629375,137.98366390728864,1,1,center,center,281.17404954446096,64.8628677054694,64.8628677054694,30.417867705469398,229.38646161864844,0.0,0.0,right,center,0.7957613343455108,0.0,0.22959443755629771,0.0,0.24485922109763725,0,0
49,2.0,hand,hand,right,right_hand,603.774,54.358,665.7327859380522,351.55591806102944,581.9381962038647,113.96100338389664,1,1,center,center,303.5877033984212,63.47692761786847,63.47692761786847,30.371927617868465,251.93823995010132,0.0,0.0,right,center,0.7963102429683041,0.0032238657965566737,1.0,0.0,0.39956114061155956,0,0
50,2.041667,hand,hand,right,right_hand,598.452,54.524,666.6511639246731,351.4793433798345,584.1215268040555,94.35394079023035,1,1,center,center,304.68607109918867,42.329500887359146,42.329500887359146,12.239500887359146,270.0455770053027,0.0,0.0,right,center,0.9636867520320065,1.0,0.1494497701270842,0.0,0.4208116420334185,0,0
51,2.083333,hand,hand,right,right_hand,594.793,55.986,667.5793443283878,352.0151883891053,586.1255484748884,76.89030483944248,1,1,center,center,304.846079684491,22.62995087843757,22.62995087843757,0.0,286.929298621035,0.0,0.4792561401953037,right,center,1.0,0.8589123429725717,0.48335435642832536,0.0,0.6192845647901419,1,1
52,2.125,hand,hand,right,right_hand,594.096,51.306,668.0527799005034,351.58134374546916,588.0687647095085,63.87316062815171,1,1,center,center,309.24890841312794,13.937757764458118,13.937757764458118,0.0,298.61922463019886,0.0,1.0,right,center,1.0,0.0,0.17541943529098913,0.0,0.5850838870581978,1,1
53,2.166667,hand,hand,right,right_hand,593.339,49.1,668.8932594159231,351.40693375140836,589.7244510491881,55.865234849434216,1,1,center,center,311.60540481523583,7.6702911734701935,7.6702911734701935,0.0,305.9617557932265,0.0,1.0,right,center,1.0,0.0,0.09843161060854466,0.0,0.569686322121709,1,1
54,2.208333,hand,hand,right,right_hand,593.034,48.207,669.0079855626119,350.9202778824377,591.8373689582965,49.96539196305639,1,1,center,center,312.10154611696163,2.1269386793487497,2.1269386793487497,0.0,310.69140223996874,0.0,1.0,right,center,1.0,0.0,0.12380427247185177,0.0,0.5747608544943703,1,1
55,2.25,hand,hand,right,right_hand,593.65,45.83,668.8864296318252,350.742524529652,592.759239577525,46.71197550495157,1,1,center,center,314.05758701039247,1.2535289871328605,1.2535289871328605,0.0,313.4165340339024,0.0,1.0,right,center,1.0,0.0,0.23481415893931085,0.0,0.5969628317878621,1,1
56,2.291667,hand,hand,right,right_hand,594.201,46.765,669.3016199801426,351.0487198544427,592.9126598962,47.15799117329851,1,1,center,center,313.4145581970607,1.3469455391180305,1.3469455391180305,0.0,313.34461572055613,0.0,1.0,right,center,1.0,0.0,0.10211196843260449,0.0,0.5704223936865209,1,1
57,2.333333,hand,hand,right,right_hand,595.083,46.298,669.7864268568408,351.6447857952034,592.1563483216654,52.62923601478991,1,1,center,center,314.3521299110556,6.974943693053825,6.974943693053825,0.0,308.9283543216136,0.0,1.0,right,center,1.0,0.0,0.21081821747236534,0.0,0.592163643494473,1,1
58,2.375,hand,hand,right,right_hand,595.686,48.792,669.4704730046253,352.6111777770057,590.363073923249,61.765851021251876,1,1,center,center,312.650349818557,14.023350253780112,14.023350253780112,0.0,301.41165320053796,0.0,1.0,right,center,1.0,0.0,0.6933693046815923,0.0,0.6886738609363185,1,1
59,2.416667,hand,hand,right,right_hand,594.387,41.691,669.9694864365248,353.6755978637854,589.2077357998986,77.85911371388352,1,1,center,center,321.00950384709074,36.537066484254865,36.537066484254865,10.386066484254865,287.3972743341622,0.0,0.0,right,center,0.9737169133217136,0.0,0.5530446210997225,0.0,0.3540381525503729,0,0
60,2.458333,hand,hand,right,right_hand,595.518,42.004,669.9970996182569,354.59401193038616,588.5224618754611,104.13961239233478,1,1,center,center,321.34039870297227,62.52816870037332,62.52816870037332,31.771168700373323,263.37335256871694,0.0,0.0,right,center,0.7793957523828787,0.0,1.0,0.0,0.3948489380957197,0,0
61,2.5,hand,hand,right,right_hand,599.12,68.352,669.2442562216103,355.8306924263641,588.7957208858585,139.18948720924325,1,1,center,center,295.90777264175756,71.58589479322306,71.58589479322306,37.681894793223066,231.0960376890837,0.0,0.0,right,center,0.7042662392021671,0.0,1.0,0.0,0.3760665598005418,0,0
62,2.541667,hand,hand,right,right_hand,603.29,110.375,668.9725548059915,357.1299906784101,587.6865849699271,176.93545360575646,1,1,center,center,255.3472604719783,68.3649072609973,68.3649072609973,34.2349072609973,197.6802470734431,0.0,0.0,right,center,0.748720263109519,0.2418938619105798,0.3678353614232852,0.0,0.29703121734862376,0,0
63,2.583333,hand,hand,right,right_hand,610.89,156.292,667.6169558633816,358.35970419683804,588.4491032062086,221.8530435340577,1,1,center,center,209.87926196007763,69.29534095582619,69.29534095582619,33.284340955826195,157.80246290743153,0.0,0.0,right,center,0.760679963970714,0.06670640738042864,0.4953063078663106,0.0,0.29923721367300493,0,0
64,2.625,hand,hand,right,right_hand,622.858,196.755,667.5121167651606,359.68336643694215,585.7604798788482,261.5622575451239,1,1,center,center,168.936801005249,74.67400236802149,74.67400236802149,37.35200236802149,127.71484699811349,0.0,0.0,right,center,0.7085838107972243,0.0,1.0,0.0,0.37714595269930606,0,0
65,2.666667,hand,hand,right,right_hand,628.364,270.019,668.1353244878701,360.4373150018393,583.8423237562447,291.25169777909946,1,1,center,center,98.77869172696755,49.3255218982257,49.3255218982257,13.485521898225702,109.05026181918718,0.0,0.0,right,center,0.9560897103277437,1.0,1.0,0.0,0.589022427581936,1,1
66,2.708333,hand,hand,right,right_hand,628.459,295.987,667.9756563724836,360.36021686303474,583.2455797276134,303.76539064230934,1,1,center,center,75.53460915471962,45.87762781260404,45.87762781260404,14.350627812604039,101.89288612655787,0.0,0.0,right,center,0.9504216879994788,0.0,1.0,0.0,0.43760542199986974,0,0
67,2.75,hand,hand,right,right_hand,629.261,298.593,667.2427061715202,360.36397412933303,583.4049701879476,305.7580314940144,1,1,center,center,72.51388314375689,46.412424483472684,46.412424483472684,14.489424483472686,100.05286075841582,0.0,0.0,right,center,0.9494827826717823,0.0,0.23364703814966375,0.0,0.2841001032978783,0,0
68,2.791667,hand,hand,right,right_hand,629.336,297.984,666.3946061380277,360.16389155401214,583.0493409439925,304.0757682900731,1,1,center,center,72.38562842555265,46.68580563155163,46.68580563155163,14.88280563155163,100.46049373527322,0.0,0.0,right,center,0.9467778081961299,0.0,0.3231208737858754,0.0,0.3013186268062076,0,0
69,2.833333,hand,hand,right,right_hand,628.86,292.85,666.439017554897,360.2412521114252,582.4006616089769,302.8358766224796,1,1,center,center,77.16063388501237,47.52039410243755,47.52039410243755,16.96739410243755,101.77338750930913,0.0,0.0,right,center,0.931383132275595,0.0,0.10647888071398522,0.0,0.2541415592116958,0,0
70,2.875,hand,hand,right,right_hand,627.151,286.858,666.6141220298856,360.4770141855947,582.0362554828168,301.7417725767193,1,1,center,center,83.5290204061106,47.50649280852256,47.50649280852256,16.79849280852256,102.97205502711279,0.0,0.0,right,center,0.9326956050408471,0.01185272237999918,0.1497627695094525,0.0,0.2649043635191022,0,0
71,2.916667,hand,hand,right,right_hand,625.21,278.766,666.583809727069,360.39019787796565,581.3926386032678,300.6220834198266,1,1,center,center,91.51121139266488,48.9657997200726,48.9657997200726,19.312799720072604,104.06614792201161,0.0,0.0,right,center,0.9120186200885145,0.0,0.12489431375001442,0.0,0.2529835177721315,0,0
72,2.958333,hand,hand,right,right_hand,623.978,272.287,666.4844446808229,360.0979379615402,580.3295090659152,298.7250710796634,1,1,center,center,97.5579759173453,51.03099414313044,51.03099414313044,21.77099414313044,105.77949574520319,0.0,0.0,right,center,0.8895574767607277,0.0,0.19916904120099446,0.0,0.2622231774303808,0,0
73,3.0,hand,hand,right,right_hand,621.599,268.373,666.0958724899971,359.14321736028677,579.0355706471402,297.3160140368156,1,1,center,center,101.09007874675319,51.47177459356924,51.47177459356924,22.136774593569243,106.78061260252818,0.0,0.0,right,center,0.8860368497295581,0.0,0.10409032407286381,0.0,0.2423272772469623,0,0
74,3.041667,hand,hand,right,right_hand,618.495,265.736,665.9270324941036,358.0132266290519,577.2905250613057,296.38261613216434,1,1,center,center,103.75396021777249,51.35196038444609,51.35196038444609,22.203960384446088,107.9572257892148,0.0,0.0,right,center,0.8853853453120215,0.0,0.15661898857540862,0.0,0.2526701340430871,0,0
75,3.083333,hand,hand,right,right_hand,615.925,265.243,665.856574300807,356.27316075408686,575.2553419554379,296.20176564498996,1,1,center,center,103.82510428153641,51.11229065227878,51.11229065227878,21.17429065227878,108.70674226032529,0.0,0.0,right,center,0.895203826028815,0.07225752506437239,0.05876906444571238,0.0,0.24639339815600209,0,0
76,3.125,hand,hand,right,right_hand,612.937,265.466,666.2188395996924,353.9806031218004,572.9450421689819,296.9696600750841,1,1,center,center,103.31403291391341,50.91009025020854,50.91009025020854,21.03709025020854,109.3171940465961,0.0,0.0,right,center,0.8964848651821581,0.009628098390894175,0.027427204090884123,0.0,0.23105087187235046,0,0
77,3.166667,hand,hand,right,right_hand,609.566,265.744,666.4579037973633,350.7281043702005,570.5414124895622,297.37985862084423,1,1,center,center,102.26918750676359,50.23689860090754,50.23689860090754,21.414898600907538,109.75431029956503,0.0,0.0,right,center,0.8929416471658497,0.0,0.14732265390624202,0.0,0.25269994257271083,0,0
78,3.208333,hand,hand,right,right_hand,606.077,268.097,666.3344478691322,347.81575103985205,567.5565010165333,298.2218372293462,1,1,center,center,99.93017207558034,48.90127462581997,48.90127462581997,19.248274625819974,110.52890604479327,0.0,0.0,right,center,0.9125790997634462,0.15204378772544308,0.04082655222964577,0.0,0.2591166535456072,0,0
79,3.25,hand,hand,right,right_hand,603.127,270.247,665.8265274555351,345.1726940339608,564.7683517729104,299.6750230482928,1,1,center,center,97.69897834480213,48.34660726814712,48.34660726814712,19.395607268147117,110.82776248494936,0.0,0.0,right,center,0.9112970939688446,0.0,0.06146363538211689,0.0,0.24011700056863453,0,0
80,3.291667,hand,hand,right,right_hand,600.624,273.14,664.9602127164634,343.07975361982176,562.4399759443812,300.76307487220447,1,1,center,center,95.03008683095788,47.12805914182644,47.12805914182644,18.26805914182644,110.91032525438213,0.0,0.0,right,center,0.9209030722918623,0.07912618430320531,0.04879999777687327,0.0,0.25185469527382104,0,0
81,3.333333,hand,hand,right,right_hand,598.275,275.362,663.4637430821159,341.68529310054475,560.3817284758184,301.86530268519056,1,1,center,center,92.99651301165481,46.242027205002394,46.242027205002394,17.551027205002395,110.50580696041199,0.0,0.0,right,center,0.9267616161865875,0.050318030654319036,0.0909417141527572,0.0,0.25742645147534615,0,0
82,3.375,hand,hand,right,right_hand,596.754,276.604,661.7584317876069,340.7365079205525,558.7510904349994,302.220733630449,1,1,center,center,91.31568717481885,45.8305376064802,45.8305376064802,17.6135376064802,109.97262041844242,0.0,0.0,right,center,0.9262587496940967,0.0,0.07227579308628733,0.0,0.24601984604078164,0,0
83,3.416667,hand,hand,right,right_hand,594.539,278.593,660.361851222975,340.0508293740389,557.5841347831847,302.4587855321124,1,1,center,center,90.05394235951242,43.991337582048686,43.991337582048686,14.522337582048685,109.43683455213454,0.0,0.0,right,center,0.949258949858879,0.216926317503966,0.16927254335049002,0.0,0.30370819376041264,0,0
84,3.458333,hand,hand,right,right_hand,593.236,278.375,658.8646459970103,339.58902661740876,556.4419921910618,302.4470877910011,1,1,center,center,89.74561955949561,43.968902888994954,43.968902888994954,14.559902888994955,108.94917912695708,0.0,0.0,right,center,0.9490029227769919,0.0,0.07780715319901679,0.0,0.2528121613340513,0,0
85,3.5,hand,hand,right,right_hand,592.601,277.286,657.6299113978781,339.2070344595511,555.6824060550708,302.33330734323977,1,1,center,center,89.79406342366958,44.61334087486918,44.61334087486918,15.308340874869181,108.41109535960751,0.0,0.0,right,center,0.9437792013013906,0.0,0.015610657688245084,0.0,0.23906693186299666,0,0
