contact_type,target,start_frame,end_frame,start_time,end_time,peak_frame,peak_time,mean_score,max_score,num_frames
floor_contact_state,floor,37,39,1.5,1.583333,37,1.5,0.9974929291545701,0.9993486072484349,3
anchor_contact_state,right_hand,51,58,2.083333,2.375,55,2.25,0.5996297947961993,0.6886738609363185,8
anchor_contact_state,right_hand,65,65,2.666667,2.666667,65,2.666667,0.589022427581936,0.589022427581936,1
floor_contact_state,floor,66,70,2.708333,2.875,68,2.791667,0.8680966329325136,0.9975808508690195,5
anchor_contact_state,right_hand,105,116,4.333333,4.791667,111,4.583333,0.5430484677856632,0.6483148692509548,12
anchor_contact_state,right_hand,122,122,5.041667,5.041667,122,5.041667,0.5944503072671836,0.5944503072671836,1
floor_contact_state,floor,123,126,5.083333,5.208333,124,5.125,0.7880225017072143,0.9321374421976958,4
anchor_contact_state,right_hand,140,150,5.791667,6.208333,144,5.958333,0.5711568402742443,0.6908915374354836,11
anchor_contact_state,right_hand,158,158,6.541667,6.541667,158,6.541667,0.5899572989941582,0.5899572989941582,1
floor_contact_state,floor,158,164,6.541667,6.791667,159,6.583333,0.8503757288291135,1.0,7
floor_contact_state,floor,174,192,7.208333,7.958333,186,7.708333,0.8581225561802546,0.9995501012348141,19
