frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,z_da3_raw,depth_conf,source
1,0.000000,-0.352740,0.085031,4.113874,1.000000,0.000000,0.000000,0.000000,0.129598,shared_fullimg_cam,514.076,390.355,46.265,4.113874,0.697514,L0_backproject
2,0.041667,-0.354836,0.051128,4.116839,1.000000,0.000000,0.000000,0.000000,0.130460,shared_fullimg_cam,513.419,378.239,46.539,4.116839,0.689085,L0_backproject
3,0.083333,-0.352258,0.044465,4.122855,1.000000,0.000000,0.000000,0.000000,0.130690,shared_fullimg_cam,514.522,375.839,46.553,4.122855,0.696603,L0_backproject
4,0.125000,-0.347532,0.051757,4.120715,1.000000,0.000000,0.000000,0.000000,0.127819,shared_fullimg_cam,516.141,378.446,45.554,4.120715,0.711864,L0_backproject
5,0.166667,-0.340022,0.095260,4.136115,1.000000,0.000000,0.000000,0.000000,0.132943,shared_fullimg_cam,519.269,393.824,47.204,4.136115,0.709170,L0_backproject
6,0.208333,-0.330043,0.167615,4.096190,1.000000,0.000000,0.000000,0.000000,0.134664,shared_fullimg_cam,521.670,420.095,48.281,4.096190,0.773016,L0_backproject
7,0.250000,-0.325910,0.284290,4.088188,1.000000,0.000000,0.000000,0.000000,0.143081,shared_fullimg_cam,522.923,462.126,51.399,4.088188,0.749389,L0_backproject
8,0.291667,-0.327401,0.439576,4.180189,1.000000,0.000000,0.000000,0.000000,0.130421,shared_fullimg_cam,524.976,514.434,45.820,4.180189,0.637790,L0_backproject
9,0.333333,-0.301601,0.609344,3.995717,1.000000,0.000000,0.000000,0.000000,0.124295,shared_fullimg_cam,529.148,583.961,45.684,3.995717,0.858566,L0_backproject
10,0.375000,-0.305841,0.662083,4.025479,1.000000,0.000000,0.000000,0.000000,0.126690,shared_fullimg_cam,528.421,601.546,46.220,4.025479,0.804250,L0_backproject
11,0.416667,-0.311111,0.546726,4.059948,1.000000,0.000000,0.000000,0.000000,0.123446,shared_fullimg_cam,527.462,557.767,44.654,4.059948,0.802348,L0_backproject
12,0.458333,-0.312835,0.443693,4.141626,1.000000,0.000000,0.000000,0.000000,0.127506,shared_fullimg_cam,529.070,517.332,45.213,4.141626,0.723250,L0_backproject
