sample,label,n_frames,tz_min,tz_max,jerk,contact_rate,contact_gap_cm,audio_err_ms,pen_frames
02_mug_v2,full_audio,192,1.719,2.074,0.002185,0.0,11.08,144.3,40
02_mug_v2,full_audio_r45,192,1.816,1.892,0.00024,1.0,2.28,265.5,3
