frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,z_da3_raw,depth_conf,source
1,0.000000,-0.315320,0.076011,3.677464,1.000000,0.000000,0.000000,0.000000,0.115850,shared_fullimg_cam,514.076,390.355,46.265,4.113874,0.697514,L1_L3contact
2,0.041667,-0.315923,0.045521,3.665368,1.000000,0.000000,0.000000,0.000000,0.116153,shared_fullimg_cam,513.419,378.239,46.539,4.116839,0.689085,L1_L3contact
3,0.083333,-0.312758,0.039479,3.660545,1.000000,0.000000,0.000000,0.000000,0.116035,shared_fullimg_cam,514.522,375.839,46.553,4.122855,0.696603,L1_L3contact
4,0.125000,-0.309147,0.046040,3.665579,1.000000,0.000000,0.000000,0.000000,0.113701,shared_fullimg_cam,516.141,378.446,45.554,4.120715,0.711864,L1_L3contact
5,0.166667,-0.302765,0.084823,3.682917,1.000000,0.000000,0.000000,0.000000,0.118377,shared_fullimg_cam,519.269,393.824,47.204,4.136115,0.709170,L1_L3contact
6,0.208333,-0.300182,0.152450,3.725590,1.000000,0.000000,0.000000,0.000000,0.122480,shared_fullimg_cam,521.670,420.095,48.281,4.096190,0.773016,L1_L3contact
7,0.250000,-0.304326,0.265463,3.817445,1.000000,0.000000,0.000000,0.000000,0.133605,shared_fullimg_cam,522.923,462.126,51.399,4.088188,0.749389,L1_L3contact
8,0.291667,-0.307420,0.412749,3.925079,1.000000,0.000000,0.000000,0.000000,0.122461,shared_fullimg_cam,524.976,514.434,45.820,4.180189,0.637790,L1_L3contact
9,0.333333,-0.303840,0.613866,4.025371,1.000000,0.000000,0.000000,0.000000,0.125218,shared_fullimg_cam,529.148,583.961,45.684,3.995717,0.858566,L1_L3contact
10,0.375000,-0.311382,0.674080,4.098420,1.000000,0.000000,0.000000,0.000000,0.128986,shared_fullimg_cam,528.421,601.546,46.220,4.025479,0.804250,L1_L3contact
11,0.416667,-0.315673,0.554744,4.119489,1.000000,0.000000,0.000000,0.000000,0.125256,shared_fullimg_cam,527.462,557.767,44.654,4.059948,0.802348,L1_L3contact
12,0.458333,-0.309667,0.439201,4.099693,1.000000,0.000000,0.000000,0.000000,0.126215,shared_fullimg_cam,529.070,517.332,45.213,4.141626,0.723250,L1_L3contact
