frame,part,kind,dist_before_m,dist_after_m,radius_m,pose_delta_deg
94,left_hand,penetration,-0.0047,0.0008,0.0000,1.58
94,right_hand,penetration,-0.0021,-0.0001,0.0000,1.58
95,left_hand,penetration,-0.0044,0.0008,0.0000,1.54
95,right_hand,penetration,-0.0018,0.0008,0.0000,1.54
96,left_hand,penetration,-0.0048,0.0009,0.0000,1.49
96,right_hand,penetration,-0.0024,0.0008,0.0000,1.49
97,left_hand,penetration,-0.0033,0.0009,0.0000,1.52
97,right_hand,penetration,-0.0033,0.0004,0.0000,1.52
98,left_hand,penetration,-0.0069,0.0008,0.0000,1.62
98,right_hand,penetration,-0.0028,0.0026,0.0000,1.62
99,left_hand,penetration,-0.0065,0.0008,0.0000,1.77
99,right_hand,penetration,-0.0024,0.0006,0.0000,1.77
100,left_hand,penetration,-0.0059,0.0009,0.0000,2.04
100,right_hand,penetration,-0.0012,0.0022,0.0000,2.04
101,left_hand,penetration,-0.0075,0.0008,0.0000,2.59
102,left_hand,penetration,-0.0075,-0.0003,0.0000,3.18
103,left_hand,penetration,-0.0072,-0.0019,0.0000,4.91
103,right_hand,penetration,-0.0021,0.0006,0.0000,4.91
104,left_hand,penetration,-0.0070,0.0003,0.0000,5.18
104,right_hand,penetration,-0.0017,0.0008,0.0000,5.18
105,left_hand,penetration,-0.0070,0.0004,0.0000,4.44
106,left_hand,penetration,-0.0074,0.0006,0.0000,3.71
107,left_hand,penetration,-0.0070,-0.0015,0.0000,3.11
108,left_hand,penetration,-0.0075,0.0001,0.0000,2.47
109,left_hand,penetration,-0.0070,0.0017,0.0000,2.42
110,left_hand,penetration,-0.0091,0.0003,0.0000,1.82
111,left_hand,penetration,-0.0058,0.0008,0.0000,1.52
112,left_hand,penetration,-0.0029,0.0008,0.0000,2.06
113,left_hand,penetration,-0.0038,0.0008,0.0000,2.18
113,right_hand,penetration,-0.0014,0.0004,0.0000,2.18
114,left_hand,penetration,-0.0052,0.0003,0.0000,1.69
114,right_hand,penetration,-0.0076,0.0006,0.0000,1.69
115,left_hand,penetration,-0.0054,0.0008,0.0000,1.15
115,right_hand,penetration,-0.0068,0.0008,0.0000,1.15
116,left_hand,penetration,-0.0054,0.0007,0.0000,0.74
116,right_hand,penetration,-0.0053,0.0016,0.0000,0.74
117,left_hand,penetration,-0.0023,0.0018,0.0000,0.76
117,right_hand,penetration,-0.0054,0.0011,0.0000,0.76
118,left_hand,penetration,-0.0011,0.0026,0.0000,0.52
118,right_hand,penetration,-0.0088,0.0000,0.0000,0.52
119,right_hand,penetration,-0.0069,0.0014,0.0000,0.72
120,right_hand,penetration,-0.0077,0.0006,0.0000,0.72
121,right_hand,penetration,-0.0045,0.0026,0.0000,0.77
122,left_hand,penetration,-0.0026,0.0052,0.0000,0.72
122,right_hand,penetration,-0.0041,0.0039,0.0000,0.72
123,left_hand,penetration,-0.0029,0.0009,0.0000,0.51
123,right_hand,penetration,-0.0035,0.0031,0.0000,0.51
124,left_hand,penetration,-0.0052,0.0010,0.0000,0.42
124,right_hand,penetration,-0.0020,0.0037,0.0000,0.42
125,left_hand,penetration,-0.0027,0.0009,0.0000,0.41
125,right_hand,penetration,-0.0020,0.0025,0.0000,0.41
126,left_hand,penetration,-0.0023,0.0020,0.0000,0.61
126,right_hand,penetration,-0.0017,0.0018,0.0000,0.61
127,right_hand,penetration,-0.0035,0.0042,0.0000,0.88
128,left_hand,penetration,-0.0018,0.0074,0.0000,0.65
128,right_hand,penetration,-0.0030,0.0009,0.0000,0.65
129,left_hand,penetration,-0.0035,0.0009,0.0000,0.68
129,right_hand,penetration,-0.0018,0.0010,0.0000,0.68
130,left_hand,penetration,-0.0052,0.0009,0.0000,0.75
130,right_hand,penetration,-0.0010,0.0009,0.0000,0.75
131,left_hand,penetration,-0.0051,0.0010,0.0000,0.85
131,right_hand,penetration,-0.0016,0.0009,0.0000,0.85
132,left_hand,penetration,-0.0083,0.0009,0.0000,0.92
132,right_hand,penetration,-0.0014,0.0013,0.0000,0.92
133,left_hand,penetration,-0.0090,0.0009,0.0000,0.97
133,right_hand,penetration,-0.0006,0.0012,0.0000,0.97
134,left_hand,penetration,-0.0087,0.0009,0.0000,1.00
135,left_hand,penetration,-0.0104,0.0008,0.0000,1.00
136,left_hand,penetration,-0.0099,0.0008,0.0000,0.88
136,right_hand,penetration,-0.0013,0.0010,0.0000,0.88
137,left_hand,penetration,-0.0100,0.0009,0.0000,0.89
137,right_hand,penetration,-0.0021,0.0015,0.0000,0.89
138,left_hand,penetration,-0.0090,0.0009,0.0000,0.87
138,right_hand,penetration,-0.0031,0.0021,0.0000,0.87
139,left_hand,penetration,-0.0081,0.0010,0.0000,0.84
139,right_hand,penetration,-0.0042,0.0008,0.0000,0.84
140,left_hand,penetration,-0.0070,0.0009,0.0000,0.80
140,right_hand,penetration,-0.0047,0.0018,0.0000,0.80
141,left_hand,penetration,-0.0057,0.0014,0.0000,0.80
141,right_hand,penetration,-0.0033,0.0006,0.0000,0.80
142,left_hand,penetration,-0.0055,0.0024,0.0000,0.86
142,right_hand,penetration,-0.0034,0.0009,0.0000,0.86
143,left_hand,penetration,-0.0060,0.0048,0.0000,0.94
143,right_hand,penetration,-0.0030,0.0009,0.0000,0.94
144,left_hand,penetration,-0.0056,0.0052,0.0000,0.96
144,right_hand,penetration,-0.0034,0.0008,0.0000,0.96
145,left_hand,penetration,-0.0059,0.0032,0.0000,0.90
145,right_hand,penetration,-0.0041,0.0019,0.0000,0.90
146,left_hand,penetration,-0.0066,0.0015,0.0000,0.75
146,right_hand,penetration,-0.0027,0.0009,0.0000,0.75
147,left_hand,penetration,-0.0070,0.0011,0.0000,0.73
147,right_hand,penetration,-0.0015,0.0008,0.0000,0.73
148,left_hand,penetration,-0.0078,0.0009,0.0000,0.85
148,right_hand,penetration,-0.0033,0.0006,0.0000,0.85
149,left_hand,penetration,-0.0062,0.0010,0.0000,0.80
149,right_hand,penetration,-0.0065,0.0009,0.0000,0.80
150,left_hand,penetration,-0.0063,0.0010,0.0000,0.82
150,right_hand,penetration,-0.0059,0.0009,0.0000,0.82
151,left_hand,penetration,-0.0056,0.0010,0.0000,0.79
151,right_hand,penetration,-0.0050,0.0009,0.0000,0.79
152,left_hand,penetration,-0.0040,0.0010,0.0000,0.77
152,right_hand,penetration,-0.0050,0.0009,0.0000,0.77
153,left_hand,penetration,-0.0038,0.0010,0.0000,0.78
153,right_hand,penetration,-0.0051,0.0009,0.0000,0.78
154,left_hand,penetration,-0.0034,0.0010,0.0000,0.79
154,right_hand,penetration,-0.0061,0.0009,0.0000,0.79
155,left_hand,penetration,-0.0039,0.0010,0.0000,0.96
155,right_hand,penetration,-0.0072,0.0017,0.0000,0.96
156,left_hand,penetration,-0.0031,0.0015,0.0000,0.99
156,right_hand,penetration,-0.0094,0.0011,0.0000,0.99
157,left_hand,penetration,-0.0028,0.0010,0.0000,0.89
157,right_hand,penetration,-0.0100,0.0007,0.0000,0.89
158,left_hand,penetration,-0.0027,0.0012,0.0000,0.81
158,right_hand,penetration,-0.0112,0.0010,0.0000,0.81
159,left_hand,penetration,-0.0035,0.0009,0.0000,0.86
159,right_hand,penetration,-0.0110,0.0010,0.0000,0.86
160,left_hand,penetration,-0.0038,0.0010,0.0000,0.99
160,right_hand,penetration,-0.0102,0.0010,0.0000,0.99
161,left_hand,penetration,-0.0045,0.0009,0.0000,0.93
161,right_hand,penetration,-0.0095,0.0010,0.0000,0.93
162,left_hand,penetration,-0.0039,0.0009,0.0000,0.88
162,right_hand,penetration,-0.0074,0.0014,0.0000,0.88
163,left_hand,penetration,-0.0044,0.0036,0.0000,1.04
163,right_hand,penetration,-0.0076,0.0009,0.0000,1.04
164,left_hand,penetration,-0.0002,0.0026,0.0000,1.17
164,right_hand,penetration,-0.0084,0.0007,0.0000,1.17
165,right_hand,penetration,-0.0080,0.0005,0.0000,0.96
166,right_hand,penetration,-0.0019,0.0015,0.0000,0.60
