frame,state_000,state_001,state_002
1,-0.17467855523423637,-0.93869659908235303,4.656037639482614
2,-0.17370560606277385,-0.936081467732922,4.6474963868483448
3,-0.17140952843728854,-0.93032025327855672,4.6307625251385254
4,-0.17278313604724665,-0.96630889366331307,4.6138267501878305
5,-0.174260374814072,-0.95161707243990212,4.5989473277302819
6,-0.17423850914201411,-0.92517567095019915,4.5863981684560198
7,-0.17575255574631454,-0.88784065922752831,4.5776898096377332
8,-0.17616596209572383,-0.83858469793712964,4.5749664282129201
9,-0.17643774483684962,-0.78699722854125076,4.5807300850073203
10,-0.17067433638321933,-0.73624461891943604,4.598002401160147
11,-0.1955671304901419,-0.75195344551928933,4.6288220563784934
12,-0.23488987599370678,-0.81450352807203041,4.6142466216837965
13,-0.27521698104285025,-0.88407827730560051,4.6174159005858817
14,-0.29651028584619443,-0.95584541992940764,4.6311248709772874
15,-0.28829325294058444,-0.99994069209952219,4.6256628515719767
16,-0.28219833215981943,-1.0988163960869703,4.6217522588534257
17,-0.27472268681246664,-1.1254826370070157,4.620797676707606
18,-0.26933546452347501,-1.1872360427095874,4.6196256934740978
19,-0.26363898938772062,-1.21705451789202,4.6191982185608227
20,-0.25783419233321547,-1.2373892948859169,4.618720096133937
21,-0.25191939433510874,-1.248433581400624,4.6181596277955164
22,-0.24590619662733201,-1.2502045439177172,4.6176736239669998
23,-0.23980292833096556,-1.2427814621247415,4.6175468792155279
24,-0.23363561470665054,-1.2262616031087588,4.6181368010913699
25,-0.22741437818954158,-1.2007360607087982,4.6198105352730643
26,-0.22112745963211988,-1.1661467552287332,4.6228704297313596
27,-0.20994199179570683,-1.1118302850696267,4.6277110989109858
28,-0.20514804289358504,-1.0817908382886188,4.6331554919358506
29,-0.2008228329861203,-1.0317338370820424,4.639506935804028
30,-0.19708380739143941,-0.93980436903672926,4.6459520349006302
31,-0.19309136661230089,-0.83311031067552421,4.6498872454561324
32,-0.18792113365180566,-0.72128078065908341,4.6480006163846532
33,-0.169912257875666,-0.64941208012478613,4.6352672543233098
34,-0.18024667745062917,-0.70222370968999748,4.6047751461450632
35,-0.19829686891180831,-0.78058060081698399,4.5726819765943931
36,-0.21304164135519599,-0.880839545398442,4.5526050989430091
37,-0.22539744306366283,-0.97486853374637761,4.5413371410475207
38,-0.23499211587162835,-1.0338374540173301,4.5362081295818006
39,-0.2383744132579145,-1.0649240917008151,4.5345251399342876
40,-0.239718433833043,-1.0836847000119054,4.5340621477787311
41,-0.24526425012104178,-1.0946944959877463,4.533398623391041
42,-0.24490725791185292,-1.0980763150076991,4.5317564978510987
43,-0.24582078642188765,-1.0951510176657873,4.5286919134054981
44,-0.24673907872429018,-1.08582945487506,4.5241937045591172
45,-0.24663658447872708,-1.0676818044165757,4.5186710069664775
46,-0.25017038647159345,-1.0405375064208779,4.5128689558586021
47,-0.25456233840955211,-0.99686715891553479,4.5081679218709514
48,-0.25752685441062012,-0.91196242456052812,4.5068047093858938
49,-0.25193712340659852,-0.76246264085018012,4.5115360629145673
50,-0.24991707212435574,-0.74084502633908156,4.5216896239008628
51,-0.25144170961114481,-0.76975087565509348,4.530745408103158
52,-0.25650868407028138,-0.88686977764369301,4.5373588548962767
53,-0.25045257492008116,-0.9477698421968761,4.5437007962857123
54,-0.24312785346132235,-0.996827057183437,4.548813788340297
55,-0.23845516961224428,-1.0257899040104148,4.5528819572233896
56,-0.2328515995134704,-1.0377513855419176,4.5559789460937843
57,-0.22668053719268888,-1.0421123623875781,4.5580774105735307
58,-0.22075293906972487,-1.0382012674607166,4.5593566845238369
59,-0.21517077922269603,-1.0262618919115671,4.5599656454562369
60,-0.20782247464036724,-1.0016588769228827,4.5601489408624047
61,-0.20520989011961943,-0.95435393631526477,4.5602506426838207
62,-0.20037026178547646,-0.89633940541355783,4.5602902971164045
63,-0.19649874177302454,-0.82412262829278726,4.5606974817505135
64,-0.19160341027836017,-0.74643411685306549,4.5619054884903765
65,-0.18215833236016402,-0.68152064382745337,4.5644530406046346
66,-0.19358333409083281,-0.69446259590239312,4.5683788365967839
