frame,time,ball_u,floor_depth_proxy,floor_row_proxy
159,6.583333,641.671,4.019337,109.000
160,6.625000,641.665,4.030838,109.000
161,6.666667,641.314,4.046502,109.000
162,6.708333,641.456,4.038877,109.000
163,6.750000,641.282,4.049284,109.000
164,6.791667,641.128,4.033316,109.000
165,6.833333,640.934,4.020387,109.000
166,6.875000,640.912,4.004272,109.000
167,6.916667,640.861,4.005568,109.000
168,6.958333,640.827,4.000002,109.000
169,7.000000,640.885,4.028234,109.000
170,7.041667,640.893,4.031343,109.000
171,7.083333,640.815,4.003796,109.000
172,7.125000,640.835,4.040131,109.000
173,7.166667,640.767,4.027840,109.000
174,7.208333,640.741,4.030053,109.000
175,7.250000,640.728,4.020354,109.000
176,7.291667,640.683,4.012098,109.000
177,7.333333,640.635,4.024556,109.000
178,7.375000,640.532,4.029047,109.000
179,7.416667,640.585,4.040993,109.000
180,7.458333,640.573,4.026471,109.000
181,7.500000,640.724,4.052273,109.000
182,7.541667,640.686,4.035656,109.000
183,7.583333,640.669,4.023289,109.000
184,7.625000,640.658,4.041444,109.000
185,7.666667,640.607,4.025287,109.000
186,7.708333,640.638,4.047497,109.000
187,7.750000,640.578,4.040712,109.000
188,7.791667,640.551,4.032621,109.000
189,7.833333,640.554,4.044878,109.000
190,7.875000,640.483,4.047707,109.000
191,7.916667,640.440,4.050804,109.000
192,7.958333,640.364,4.045222,109.000
193,8.000000,640.443,4.037043,109.000
194,8.041667,640.347,4.038660,109.000
195,8.083333,640.376,4.049304,109.000
196,8.125000,640.404,4.033814,109.000
197,8.166667,640.365,4.063562,109.000
198,8.208333,640.469,4.040223,109.000
199,8.250000,640.466,4.058724,109.000
200,8.291667,640.450,4.061114,109.000
201,8.333333,640.450,4.090424,109.000
202,8.375000,640.443,4.063995,109.000
203,8.416667,640.469,4.085752,109.000
204,8.458333,640.441,4.073431,109.000
205,8.500000,640.378,4.065160,109.000
206,8.541667,640.331,4.079854,109.000
207,8.583333,640.354,4.086466,109.000
208,8.625000,640.316,4.081555,109.000
209,8.666667,640.232,4.082641,109.000
210,8.708333,640.225,4.072129,109.000
211,8.750000,640.200,4.066451,109.000
212,8.791667,640.130,4.075213,109.000
213,8.833333,640.263,4.081942,109.000
214,8.875000,640.158,4.071185,109.000
215,8.916667,640.285,4.071298,109.000
216,8.958333,640.245,4.083810,109.000
217,9.000000,640.179,4.107089,109.000
218,9.041667,640.153,4.082376,109.000
219,9.083333,640.139,4.081480,109.000
220,9.125000,640.128,4.087121,109.000
221,9.166667,640.015,4.089134,109.000
222,9.208333,639.907,4.067298,109.000
223,9.250000,639.891,4.086495,109.000
224,9.291667,639.828,4.076921,109.000
225,9.333333,639.622,4.099154,109.000
226,9.375000,639.614,4.081627,109.000
227,9.416667,639.515,4.083141,109.000
228,9.458333,639.527,4.070832,109.000
229,9.500000,639.597,4.082462,109.000
230,9.541667,639.505,4.084387,109.000
231,9.583333,639.440,4.090089,109.000
232,9.625000,639.422,4.075177,109.000
233,9.666667,639.487,4.070443,109.000
234,9.708333,639.423,4.067123,109.000
235,9.750000,639.365,4.064095,109.000
236,9.791667,639.335,4.062455,109.000
237,9.833333,639.375,4.062739,109.000
238,9.875000,639.374,4.084592,109.000
239,9.916667,639.283,4.064831,109.000
240,9.958333,639.302,4.064074,109.000
