frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame,depth_outlier_corrected
1,0.000000,-1.105712,1.078459,7.948058,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.510,838.933,36.661,653.537,838.909,33.260,872.168,879.464,0.036626,0,0,0
2,0.033333,-1.103730,1.079766,7.944988,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.954,839.422,36.729,653.969,839.387,33.272,872.659,879.464,0.038177,0,0,0
3,0.066667,-1.103309,1.079744,7.941917,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.955,839.539,36.730,653.967,839.496,33.285,872.782,879.464,0.044242,0,0,0
4,0.100000,-1.103775,1.078694,7.938847,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.746,839.389,36.747,653.719,839.321,33.298,872.619,879.464,0.073199,0,0,0
5,0.133333,-1.103396,1.078458,7.935777,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.732,839.443,36.747,653.706,839.371,33.311,872.682,879.464,0.076159,0,0,0
6,0.166667,-1.102742,1.077869,7.932707,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.787,839.393,36.810,653.769,839.323,33.324,872.647,879.464,0.071869,0,0,0
7,0.200000,-1.102191,1.077549,7.929637,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.824,839.419,36.809,653.804,839.350,33.337,872.687,879.464,0.071553,0,0,0
8,0.233333,-1.101819,1.077059,7.926567,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.853,839.390,36.809,653.788,839.330,33.350,872.680,879.464,0.087963,0,0,0
9,0.266667,-1.101278,1.076531,7.923496,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.844,839.363,36.746,653.820,839.299,33.363,872.662,879.464,0.067833,0,0,0
10,0.300000,-1.101037,1.076033,7.920426,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.825,839.322,36.868,653.769,839.277,33.376,872.653,879.464,0.071945,0,0,0
11,0.333333,-1.100862,1.075783,7.917356,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.760,839.377,36.922,653.699,839.323,33.389,872.712,879.464,0.081493,0,0,0
12,0.366667,-1.100547,1.075460,7.914286,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.663,839.412,36.960,653.668,839.350,33.401,872.751,879.464,0.062646,0,0,0
13,0.400000,-1.100146,1.075516,7.911216,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.722,839.454,36.692,653.660,839.481,33.414,872.896,879.464,0.067511,0,0,0
14,0.433333,-1.099631,1.075028,7.908146,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.728,839.442,36.611,653.685,839.462,33.427,872.889,879.464,0.047446,0,0,0
15,0.466667,-1.098987,1.074350,7.905075,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.770,839.452,36.741,653.745,839.389,33.440,872.830,879.464,0.067457,0,0,0
