frame,measurement_depth_m,candidate_depth_m,depth_delta_m,contact_event_active,support_event_active,flight_active,contact_depth_gap_m,contact_surface_gap_m,audio_score,audio_anchor_type
80,2.272975,4.644610,2.371635,0,0,1,0.623596,0.682640,0.000000,
81,2.272975,4.608440,2.335465,0,0,1,0.636201,0.686651,0.000000,
82,2.272975,4.565939,2.292964,0,0,1,0.601935,0.687971,0.000000,
83,2.272975,4.523891,2.250916,0,0,1,0.600455,0.715659,0.000000,
84,2.277452,4.486485,2.209033,0,0,1,0.522209,0.764947,0.000000,
85,2.384151,4.455943,2.071792,0,0,1,0.549025,0.797543,0.000000,
86,2.410897,4.432866,2.021969,0,0,1,0.535498,0.828607,0.000000,
87,2.588177,4.417139,1.828962,0,0,1,1.197454,0.816525,0.000000,
88,2.588177,4.408058,1.819881,0,0,1,1.810666,0.770795,0.000000,
89,2.588177,4.404893,1.816716,0,0,1,0.447261,0.821428,0.000000,
90,2.588177,4.406525,1.818348,0,0,1,0.461971,0.799637,0.000000,
91,2.575924,4.412292,1.836368,0,0,1,0.465975,0.768735,0.000000,
92,2.350049,4.421482,2.071433,0,0,1,0.441004,0.741371,0.000000,
93,2.324316,4.433600,2.109284,0,0,1,0.407798,0.720377,0.000000,
94,2.291739,4.447752,2.156013,0,0,1,0.558443,0.709033,0.000000,
95,2.291739,4.462302,2.170563,0,0,1,0.480182,0.732869,0.000000,
96,2.291739,4.474625,2.182886,0,1,0,1.087056,0.764874,0.000000,
97,2.291739,4.481097,2.189358,0,0,1,0.689841,0.697214,0.919473,audio_floor_soft
98,2.281159,4.476786,2.195627,0,0,1,0.702707,0.658142,0.000000,
99,2.291739,4.467015,2.175276,0,0,1,0.712013,0.614099,0.000000,
100,2.321978,4.455117,2.133139,0,0,1,0.779488,0.603855,0.000000,
101,2.326330,4.443183,2.116853,0,0,1,0.761556,0.607236,0.000000,
102,2.382698,4.432420,2.049722,0,0,1,0.781444,0.601935,0.000000,
103,2.548195,4.423542,1.875347,0,0,1,0.776726,0.591279,0.000000,
104,2.597169,4.416667,1.819498,0,0,1,0.723343,0.556594,0.000000,
105,2.597169,4.411710,1.814541,0,0,1,0.670440,0.506882,0.000000,
106,2.597169,4.408401,1.811232,0,0,1,0.603417,0.469040,0.000000,
107,2.597169,4.406362,1.809193,0,0,1,0.704258,0.424846,0.000000,
108,2.487346,4.405333,1.917987,0,0,1,0.459677,0.381937,0.000000,
109,2.487346,4.404983,1.917637,0,0,1,0.453011,0.337963,0.000000,
110,2.487346,4.404995,1.917649,0,0,1,0.441667,0.308140,0.000000,
111,2.487346,4.405200,1.917854,0,0,1,0.376909,0.270095,0.000000,
112,2.386757,4.405415,2.018658,0,0,1,0.273785,0.265351,0.000000,
113,2.367266,4.405605,2.038339,0,0,1,0.327286,0.272278,0.000000,
114,2.356547,4.405672,2.049125,0,0,1,0.336026,0.263343,0.000000,
115,2.332227,4.405746,2.073519,0,0,1,0.350699,0.271438,0.188349,
116,2.293464,4.405814,2.112350,0,0,1,0.480333,0.283040,0.000000,
117,2.291475,4.406155,2.114680,0,0,1,0.500894,0.313209,0.000000,
118,2.291475,4.406768,2.115293,0,0,1,0.585762,0.339728,0.000000,
119,2.293464,4.407256,2.113792,0,0,1,0.634765,0.373375,0.000000,
120,2.332227,4.407606,2.075379,0,0,1,0.640829,0.392880,0.000000,
