frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,contact_depth_offset_used_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap,contact_surface_gap_m,audio_score,audio_anchor_type
1,0.000000,0.599390,-0.058712,4.414089,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,839.422,340.466,,839.422,340.466,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,-0.107772,3.427068,839.422,340.466,888.000,340.466,-0.023964,-0.023964,4.390125,4.408193,3.976674,4.408193,0.963057,0.869560,0.000000,
2,0.041667,0.608815,-0.065072,4.412037,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,842.652,338.340,,842.652,338.340,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,-0.117920,3.414575,842.652,338.340,842.487,284.206,-0.016622,-0.016622,4.395415,4.408193,3.971916,4.408193,0.980840,0.880451,0.289675,
3,0.083333,0.616051,-0.074690,4.409841,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,845.163,335.126,,845.163,335.126,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,-0.131512,3.399572,845.163,335.126,845.815,279.010,-0.056089,-0.056089,4.353752,4.408193,3.941736,4.408193,0.954180,0.893466,0.000000,
4,0.125000,0.625422,-0.088285,4.407338,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,848.402,330.582,,848.402,330.582,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.147918,3.383194,848.402,330.582,849.962,272.498,-0.115595,-0.115595,4.291743,4.408193,3.955407,4.408193,0.908549,0.907532,0.000000,
5,0.166667,0.639117,-0.112620,4.404305,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,853.112,322.447,,853.112,322.447,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.171333,3.365854,853.112,322.447,854.576,264.166,-0.080431,-0.080431,4.323874,4.408193,3.922481,4.408193,0.958020,0.922027,0.000000,
6,0.208333,0.654546,-0.139201,4.400533,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,858.444,313.544,,858.444,313.544,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.193177,3.347834,858.444,313.544,859.889,255.677,-0.065189,-0.065189,4.335344,4.408193,3.911556,4.408193,0.987509,0.936317,0.000000,
7,0.250000,0.672935,-0.170770,4.395891,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,864.818,302.948,,864.818,302.948,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.217695,3.328615,864.818,302.948,865.218,246.309,-0.106577,-0.106577,4.289314,4.408193,3.898293,4.408193,0.960699,0.950862,0.000000,
8,0.291667,0.690960,-0.201624,4.390453,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,871.126,292.557,,871.126,292.557,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.242289,3.313939,871.126,292.557,871.908,236.506,-0.091533,-0.091533,4.298920,4.408193,3.911556,4.408193,0.984981,0.960226,0.000000,
9,0.333333,0.710228,-0.226988,4.384473,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,877.895,283.969,,877.895,283.969,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.265047,3.300017,877.895,283.969,879.344,227.730,-0.098680,-0.098680,4.285793,4.408193,3.922481,4.408193,0.985777,0.968455,0.000000,
10,0.375000,0.728231,-0.255200,4.378520,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,884.257,274.403,,884.257,274.403,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.291682,3.295196,884.257,274.403,888.118,219.595,-0.137685,-0.137685,4.240835,4.408193,3.950121,4.408193,0.945639,0.967411,0.000000,
11,0.416667,0.743243,-0.281978,4.373645,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,889.570,265.316,,889.570,265.316,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.317210,3.304840,889.570,265.316,896.544,212.304,-0.112378,-0.112378,4.261267,4.408193,3.950121,4.408193,0.956427,0.952839,0.000000,
12,0.458333,0.742927,-0.302847,4.371556,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,889.583,258.260,,889.583,258.260,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.336906,3.324928,889.583,258.260,901.955,206.076,-0.153329,-0.153329,4.218227,4.408193,3.987929,4.408193,0.893299,0.929807,0.000000,
13,0.500000,0.735787,-0.317967,4.374360,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,887.026,253.249,,887.026,253.249,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.356257,3.343504,887.026,253.249,902.857,203.070,-0.131424,-0.131424,4.242936,4.408193,4.008424,4.408193,0.899432,0.913442,0.000000,
14,0.541667,0.718626,-0.324140,4.384985,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,880.680,251.440,,880.680,251.440,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.371420,3.365014,880.680,251.440,897.153,202.270,-0.093095,-0.093095,4.291890,4.408193,4.057145,4.408193,0.926876,0.902238,0.000000,
