frame,time,object_support_v_raw,object_support_v,support_v_raw,support_v,signed_gap,gap,floor_score,proposal_score,confidence_level,is_candidate,floor_contact_state
95,3.916667,150.508,141.466,674.172,674.172,-532.706309,532.706309,0.000000,0.995187,none,0,0
96,3.958333,152.631,144.816,674.172,674.172,-529.356839,529.356839,0.005680,0.746390,none,0,0
97,4.000000,131.208,140.733,674.172,674.172,-533.439111,533.439111,0.000000,0.497594,none,0,0
98,4.041667,93.060,126.431,674.172,674.172,-547.741101,547.741101,0.000000,0.000554,none,0,0
99,4.083333,84.990,113.999,674.172,674.172,-560.173494,560.173494,0.000000,0.003864,none,0,0
100,4.125000,62.569,98.570,674.172,674.172,-575.602469,575.602469,0.000000,0.001240,none,0,0
101,4.166667,43.626,82.087,674.172,674.172,-592.085651,592.085651,0.000000,0.150660,none,0,0
102,4.208333,27.378,65.674,674.172,674.172,-608.498279,608.498279,0.000000,0.106522,none,0,0
103,4.250000,16.084,50.797,674.172,674.172,-623.375319,623.375319,0.000000,0.291202,none,0,0
104,4.291667,9.685,38.463,674.172,674.172,-635.708946,635.708946,0.000000,0.436802,none,0,0
109,4.500000,22.669,33.725,674.172,674.172,-640.447286,640.447286,0.000000,0.513837,none,0,0
110,4.541667,38.285,35.093,674.172,674.172,-639.079323,639.079323,0.000000,0.398285,none,0,0
111,4.583333,58.546,42.129,674.172,674.172,-632.043449,632.043449,0.000000,0.176349,none,0,0
112,4.625000,82.850,54.345,674.172,674.172,-619.827138,619.827138,0.000000,0.412413,none,0,0
113,4.666667,109.252,70.817,674.172,674.172,-603.355120,603.355120,0.000000,0.670119,none,0,0
114,4.708333,139.967,91.562,674.172,674.172,-582.610207,582.610207,0.000000,0.748684,none,0,0
115,4.750000,167.959,114.481,674.172,674.172,-559.691168,559.691168,0.100315,1.000000,none,0,0
116,4.791667,159.832,128.086,674.172,674.172,-546.085941,546.085941,0.050139,1.000000,none,0,0
117,4.833333,139.047,131.375,674.172,674.172,-542.797782,542.797782,0.000000,0.571714,none,0,0
118,4.875000,116.392,126.880,674.172,674.172,-547.292570,547.292570,0.000000,0.600589,none,0,0
119,4.916667,96.998,117.915,674.172,674.172,-556.257123,556.257123,0.000000,0.450442,none,0,0
120,4.958333,81.023,106.848,674.172,674.172,-567.324809,567.324809,0.000000,0.450442,none,0,0
121,5.000000,68.471,95.335,674.172,674.172,-578.837789,578.837789,0.000000,0.600589,none,0,0
122,5.041667,59.900,84.704,674.172,674.172,-589.468176,589.468176,0.000000,0.450442,none,0,0
123,5.083333,55.616,75.978,674.172,674.172,-598.194646,598.194646,0.000000,0.300295,none,0,0
124,5.125000,40.508,65.337,674.172,674.172,-608.835576,608.835576,0.000000,0.000000,none,0,0
125,5.166667,44.771,59.167,674.172,674.172,-615.005326,615.005326,0.000000,0.300295,none,0,0
126,5.208333,50.934,56.697,674.172,674.172,-617.475251,617.475251,0.000000,0.450442,none,0,0
127,5.250000,63.397,58.707,674.172,674.172,-615.465299,615.465299,0.000000,0.600589,none,0,0
128,5.291667,80.237,65.166,674.172,674.172,-609.006333,609.006333,0.000000,0.450442,none,0,0
129,5.333333,99.919,75.592,674.172,674.172,-598.580456,598.580456,0.000000,0.495182,none,0,0
130,5.375000,123.095,89.843,674.172,674.172,-584.329542,584.329542,0.000000,0.742773,none,0,0
131,5.416667,143.502,105.941,674.172,674.172,-568.231803,568.231803,0.000000,1.000000,none,0,0
132,5.458333,135.193,114.716,674.172,674.172,-559.456085,559.456085,0.000000,1.000000,none,0,0
133,5.500000,109.266,113.081,674.172,674.172,-561.091183,561.091183,0.000000,0.495182,none,0,0
134,5.541667,80.751,103.382,674.172,674.172,-570.790251,570.790251,0.000000,0.303606,none,0,0
135,5.583333,57.357,89.575,674.172,674.172,-584.597799,584.597799,0.000000,0.455408,none,0,0
136,5.625000,37.512,73.956,674.172,674.172,-600.216583,600.216583,0.000000,1.000000,none,0,0
137,5.666667,20.250,57.844,674.172,674.172,-616.328331,616.328331,0.000000,1.000000,none,0,0
177,7.333333,75.921,63.267,674.172,674.172,-610.905255,610.905255,0.000000,1.000000,none,0,0
178,7.375000,74.649,66.682,674.172,674.172,-607.490702,607.490702,0.000000,1.000000,none,0,0
179,7.416667,76.957,69.764,674.172,674.172,-604.408114,604.408114,0.000000,0.000000,none,0,0
180,7.458333,82.669,73.636,674.172,674.172,-600.536703,600.536703,0.000000,0.000000,none,0,0
181,7.500000,91.249,78.920,674.172,674.172,-595.252715,595.252715,0.000000,0.000000,none,0,0
182,7.541667,106.735,87.264,674.172,674.172,-586.908124,586.908124,0.000000,0.000000,none,0,0
183,7.583333,118.914,96.759,674.172,674.172,-577.413210,577.413210,0.000000,0.001295,none,0,0
184,7.625000,152.513,113.485,674.172,674.172,-560.687070,560.687070,0.004952,0.499601,none,0,0
185,7.666667,165.684,129.145,674.172,674.172,-545.027472,545.027472,0.086269,0.749402,none,0,0
186,7.708333,172.720,142.217,674.172,674.172,-531.954954,531.954954,0.129709,0.999202,none,0,0
187,7.750000,182.656,154.349,674.172,674.172,-519.823391,519.823391,0.191053,0.749402,none,0,0
188,7.791667,195.227,166.612,674.172,674.172,-507.559997,507.559997,0.268666,0.554393,proposal,0,0
189,7.833333,212.131,180.268,674.172,674.172,-493.904421,493.904421,0.373031,0.369596,proposal,0,0
190,7.875000,230.737,195.409,674.172,674.172,-478.763718,478.763718,0.487904,0.004927,soft,0,0
191,7.916667,251.288,212.172,674.172,674.172,-461.999926,461.999926,0.614785,0.000015,soft,0,0
192,7.958333,271.409,229.943,674.172,674.172,-444.228971,444.228971,0.739012,0.000000,strong,0,0
193,8.000000,288.361,247.469,674.172,674.172,-426.703703,426.703703,0.843673,0.000000,strong,0,0
194,8.041667,301.540,263.690,674.172,674.172,-410.482315,410.482315,0.925039,0.000000,strong,0,0
195,8.083333,313.085,278.509,674.172,674.172,-395.663844,395.663844,0.996318,0.000000,strong,0,0
196,8.125000,323.804,292.097,674.172,674.172,-382.075214,382.075214,1.000000,0.371594,strong,0,0
197,8.166667,329.912,303.442,674.172,674.172,-370.730773,370.730773,1.000000,0.557391,strong,0,0
198,8.208333,333.520,312.465,674.172,674.172,-361.707264,361.707264,1.000000,0.743188,strong,0,0
199,8.250000,334.671,319.127,674.172,674.172,-355.045508,355.045508,1.000000,0.557391,strong,1,1
200,8.291667,334.332,323.688,674.172,674.172,-350.483979,350.483979,1.000000,0.609366,strong,0,0
201,8.333333,331.044,325.895,326.005,639.356,-313.460592,313.460592,1.000000,0.457024,strong,0,0
202,8.375000,328.615,326.711,674.172,642.837,-316.126294,316.126294,1.000000,0.304683,strong,0,0
203,8.416667,324.909,326.170,326.005,611.154,-284.983703,284.983703,1.000000,0.000000,strong,0,0
204,8.458333,321.999,324.919,326.005,582.639,-257.720247,257.720247,1.000000,0.000000,strong,0,0
205,8.500000,316.302,322.334,674.172,591.793,-269.458666,269.458666,1.000000,0.000000,strong,0,0
206,8.541667,312.117,319.269,674.172,600.031,-280.761723,280.761723,0.990341,0.000000,strong,0,0
207,8.583333,307.767,315.818,674.172,607.445,-291.626459,291.626459,0.963485,0.000000,strong,0,0
208,8.625000,304.441,312.405,674.172,614.118,-301.712411,301.712411,0.942950,0.000000,strong,0,0
209,8.666667,300.729,308.902,674.172,620.123,-311.220731,311.220731,0.920032,0.000000,strong,0,0
210,8.708333,300.897,306.501,674.172,625.528,-319.027253,319.027253,0.921070,0.000000,strong,0,0
211,8.750000,302.843,305.403,674.172,630.392,-324.989007,324.989007,0.933084,0.000000,strong,0,0
212,8.791667,307.360,305.990,674.172,634.770,-328.780024,328.780024,0.960972,0.000000,strong,0,0
213,8.833333,314.576,308.566,674.172,638.711,-330.144536,330.144536,1.000000,0.000000,strong,0,0
214,8.875000,319.858,311.954,674.172,642.257,-330.303135,330.303135,1.000000,0.000000,strong,0,0
215,8.916667,327.167,316.518,674.172,645.448,-328.930691,328.930691,1.000000,0.000000,strong,0,0
216,8.958333,334.970,322.053,674.172,648.321,-326.267392,326.267392,1.000000,0.000000,strong,0,0
217,9.000000,343.485,328.483,674.172,650.906,-322.423065,322.423065,1.000000,0.000000,strong,0,0
218,9.041667,351.675,335.440,674.172,653.233,-317.792069,317.792069,1.000000,0.000000,strong,0,0
219,9.083333,359.533,342.668,674.172,655.327,-312.658302,312.658302,1.000000,0.000000,strong,0,0
220,9.125000,364.982,349.362,674.172,657.211,-307.848762,307.848762,1.000000,0.000000,strong,0,0
221,9.166667,369.061,355.272,674.172,658.907,-303.635301,303.635301,1.000000,0.000000,strong,0,0
222,9.208333,370.898,359.960,369.270,629.944,-269.983743,269.983743,1.000000,0.021281,strong,1,1
223,9.250000,369.641,362.864,369.270,603.876,-241.012003,241.012003,1.000000,0.074474,strong,0,0
224,9.291667,365.271,363.586,369.270,580.416,-216.829311,216.829311,1.000000,0.106133,strong,0,0
225,9.333333,359.261,362.289,369.270,559.301,-197.012299,197.012299,1.000000,0.137369,strong,0,0
226,9.375000,345.753,357.328,674.172,570.788,-213.460138,213.460138,1.000000,0.227954,strong,0,0
227,9.416667,326.894,348.198,674.172,581.127,-232.928755,232.928755,1.000000,0.231760,strong,0,0
228,9.458333,299.843,333.691,674.172,590.431,-256.739773,256.739773,0.914562,0.310805,strong,0,0
229,9.500000,269.817,314.529,674.172,598.805,-284.276204,284.276204,0.729183,0.253538,strong,0,0
230,9.541667,232.369,289.881,674.172,606.342,-316.460931,316.460931,0.497980,0.043874,soft,0,0
231,9.583333,199.625,262.804,674.172,613.125,-350.320784,350.320784,0.295819,0.098899,proposal,0,0
232,9.625000,172.003,235.564,674.172,619.230,-383.665890,383.665890,0.125282,0.088600,none,0,0
233,9.666667,147.146,209.038,674.172,624.724,-415.685512,415.685512,0.000000,0.141852,none,0,0
234,9.708333,94.181,174.581,674.172,629.669,-455.087601,455.087601,0.000000,0.122988,none,0,0
235,9.750000,77.546,145.471,674.172,634.119,-488.648532,488.648532,0.000000,0.027552,none,0,0
236,9.791667,66.875,121.892,674.172,638.125,-516.232554,516.232554,0.000000,0.005756,none,0,0
237,9.833333,60.373,103.436,674.172,641.729,-538.293034,538.293034,0.000000,0.047124,none,0,0
238,9.875000,59.221,90.172,674.172,644.974,-554.801928,554.801928,0.000000,0.054100,none,0,0
239,9.916667,62.227,81.788,674.172,647.894,-566.105215,566.105215,0.000000,0.000000,none,0,0
240,9.958333,70.861,78.510,674.172,650.521,-572.011292,572.011292,0.000000,0.000000,none,0,0
