frame,time,object_z_raw,object_z_aligned_m,affine_a,affine_b,sample_count,depth_conf,source
77,2.533333,6.519195,6.931160,0.164452,5.859062,5032,0.110875,obs_disk
78,2.566667,6.860896,6.860301,0.114606,6.074003,5023,0.123864,obs_disk
79,2.600000,6.848308,6.736554,0.066634,6.280225,5022,0.123554,obs_disk
80,2.633333,6.396822,6.623654,0.027605,6.447071,5030,0.116852,obs_disk
81,2.666667,6.545074,6.564280,0.000144,6.563338,5023,0.127163,obs_disk
82,2.700000,6.553403,6.522939,-0.017231,6.635860,5022,0.136660,obs_disk
83,2.733333,6.546731,6.496785,-0.028101,6.680757,5024,0.157590,obs_disk
84,2.766667,7.100811,6.454800,-0.037308,6.719719,5033,0.188392,obs_disk
85,2.800000,8.977646,6.330028,-0.049238,6.772068,5028,0.236379,obs_disk
86,2.833333,7.514613,6.357079,-0.063829,6.836726,5022,0.300190,obs_disk
87,2.866667,5.775298,6.452608,-0.074883,6.885081,5025,0.591243,obs_disk
88,2.900000,12.494339,5.946174,-0.075059,6.883990,5033,0.317056,obs_disk
89,2.933333,12.459211,6.045786,-0.062609,6.825848,5029,0.317983,obs_disk
90,2.966667,14.160296,6.149651,-0.040554,6.723902,5023,0.239823,obs_disk
91,3.000000,8.234919,6.498905,-0.010167,6.582629,4979,0.122487,obs_disk
92,3.033333,8.819540,6.656614,0.029432,6.397041,5031,0.136221,obs_disk
93,3.066667,7.796034,6.761001,0.073132,6.190859,5027,0.122902,obs_disk
94,3.100000,7.781624,6.858864,0.106057,6.033564,5023,0.119287,obs_disk
95,3.133333,6.926226,6.780079,0.113510,5.993882,5021,0.107092,obs_disk
96,3.166667,5.958913,6.640829,0.094957,6.074990,5029,0.115898,obs_disk
97,3.200000,6.768434,6.650655,0.065342,6.208389,5029,0.119243,obs_disk
98,3.233333,6.741099,6.598586,0.042563,6.311662,5029,0.121193,obs_disk
99,3.266667,6.675701,6.579518,0.034874,6.346710,5029,0.121191,obs_disk
100,3.300000,8.238083,6.648410,0.038560,6.330748,5024,0.128368,obs_disk
101,3.333333,9.102982,6.711345,0.044543,6.305871,5022,0.100028,obs_disk
102,3.366667,7.869105,6.668499,0.046870,6.299678,5025,0.120484,obs_disk
103,3.400000,5.224397,6.551065,0.047144,6.304767,5031,0.106748,obs_disk
104,3.433333,5.231512,6.562812,0.052432,6.288516,5032,0.111183,obs_disk
105,3.466667,6.719458,6.684601,0.068523,6.224161,5027,0.131783,obs_disk
106,3.500000,7.890276,6.860531,0.094324,6.116289,5022,0.130624,obs_disk
107,3.533333,7.392905,6.903631,0.122790,5.995852,5028,0.146288,obs_disk
108,3.566667,6.777884,6.888510,0.147044,5.891860,5024,0.134901,obs_disk
109,3.600000,6.802715,6.934004,0.165126,5.810698,5023,0.126574,obs_disk
110,3.633333,6.767527,6.956127,0.179949,5.738316,5027,0.134420,obs_disk
111,3.666667,5.562701,6.746931,0.196533,5.653680,5024,0.105656,obs_disk
112,3.700000,5.219621,6.683472,0.217858,5.546337,5024,0.122157,obs_disk
113,3.733333,5.235318,6.693094,0.240094,5.436127,5030,0.128122,obs_disk
114,3.766667,5.333025,6.719308,0.252460,5.372935,5022,0.110294,obs_disk
115,3.800000,5.582895,6.769790,0.245095,5.401449,5023,0.098455,obs_disk
116,3.833333,6.424363,6.921318,0.217728,5.522555,5030,0.089577,obs_disk
117,3.866667,6.455643,6.854524,0.180321,5.690438,5028,0.101585,obs_disk
118,3.900000,6.109148,6.737007,0.146369,5.842820,5023,0.086580,obs_disk
119,3.933333,6.086397,6.697679,0.124562,5.939544,5030,0.101776,obs_disk
120,3.966667,6.905959,6.771719,0.113522,5.987739,5028,0.094458,obs_disk
121,4.000000,6.146733,6.671766,0.104606,6.028781,5018,0.102888,obs_disk
122,4.033333,7.450479,6.776460,0.092257,6.089101,5028,0.099979,obs_disk
123,4.066667,6.752168,6.693996,0.081060,6.146666,5024,0.133565,obs_disk
124,4.100000,6.740094,6.699691,0.081047,6.153425,5029,0.121608,obs_disk
125,4.133333,4.843769,6.556148,0.097614,6.083326,5030,0.108603,obs_disk
126,4.166667,6.308386,6.754357,0.126678,5.955225,5025,0.078531,obs_disk
127,4.200000,26.255905,9.954758,0.157511,5.819152,5024,0.308889,obs_disk
128,4.233333,26.438967,10.476207,0.179789,5.722761,5030,0.318218,obs_disk
129,4.266667,6.214705,6.862682,0.190435,5.679186,5028,0.097468,obs_disk
130,4.300000,6.751258,6.977727,0.195020,5.661095,5027,0.094680,obs_disk
131,4.333333,6.203175,6.881244,0.201773,5.629608,5019,0.079880,obs_disk
132,4.366667,5.359702,6.717122,0.213939,5.570475,5022,0.074539,obs_disk
133,4.400000,5.550814,6.767516,0.227972,5.502087,5028,0.079992,obs_disk
134,4.433333,5.566547,6.778474,0.238043,5.453399,5026,0.080299,obs_disk
135,4.466667,5.585701,6.786818,0.241882,5.435735,5030,0.082088,obs_disk
136,4.500000,5.554834,6.782556,0.243429,5.430346,5028,0.078359,obs_disk
137,4.533333,5.858208,6.866184,0.249631,5.403795,5023,0.077139,obs_disk
138,4.566667,5.965578,6.911856,0.262784,5.344196,5030,0.103572,obs_disk
139,4.600000,5.962218,6.928471,0.276151,5.281996,5020,0.102918,obs_disk
140,4.633333,7.147876,7.259844,0.278626,5.268261,5019,0.099689,obs_disk
141,4.666667,9.196983,7.760531,0.264250,5.330232,5023,0.117914,obs_disk
