frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,u_ref_proj,v_ref_proj,support_v_obs,support_proj_v,residual_px,proposal_score,anchor_score,floor_score,depth_prior_m,depth_prior_gap_m,contact_depth_offset_m,contact_frame,audio_contact_frame
22,0.700000,-0.702996,0.684504,5.065384,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,654.271,837.687,,654.271,837.687,,868.984,868.984,654.271,837.687,654.271,837.687,868.984,868.984,0.000004,0.970601,0.058188,1.000000,5.035391,0.029993,0.028804,0,1
23,0.733333,-0.703201,0.684741,5.066628,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,654.257,837.717,,654.257,837.717,,869.002,869.002,654.257,837.717,654.257,837.717,869.002,869.002,0.000003,0.974389,0.053276,1.000000,5.019371,0.047257,0.042575,0,1
24,0.766667,-0.703564,0.684825,5.068695,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,654.224,837.632,,654.224,837.632,,869.001,869.001,654.224,837.632,654.224,837.632,869.001,869.001,0.000002,0.974360,0.056578,1.000000,5.037257,0.031438,0.129988,0,1
25,0.800000,-0.703975,0.685270,5.071374,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,654.207,837.668,,654.207,837.668,,868.996,868.996,654.207,837.668,654.207,837.668,868.996,868.996,0.000001,0.975528,0.055911,1.000000,5.042750,0.028624,0.299789,0,1
26,0.833333,-0.704602,0.685751,5.074629,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,654.131,837.686,,654.131,837.686,,869.010,869.010,654.131,837.686,654.131,837.686,869.010,869.010,0.000001,0.978317,0.050509,1.000000,5.029273,0.045356,0.093246,0,1
27,0.866667,-0.705472,0.686202,5.078887,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,654.010,837.632,,654.010,837.632,,868.998,868.998,654.010,837.632,654.010,837.632,868.998,868.998,0.000000,0.980068,0.047236,1.000000,4.999033,0.079854,0.067860,0,1
28,0.900000,-0.706444,0.687069,5.084640,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,653.935,837.671,,653.935,837.671,,869.000,869.000,653.935,837.671,653.935,837.671,869.000,869.000,0.000007,0.981800,0.043682,1.000000,5.006395,0.078245,0.107331,0,1
29,0.933333,-0.707333,0.687932,5.092135,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,654.001,837.606,,654.001,837.606,,868.992,868.992,654.001,837.606,654.001,837.606,868.992,868.992,0.000011,0.981071,0.046051,1.000000,5.007072,0.085063,0.098975,0,1
30,0.966667,-0.708884,0.689344,5.101522,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,653.894,837.668,,653.894,837.668,,869.027,869.027,653.894,837.668,653.894,837.668,869.027,869.027,0.000007,0.982985,0.041645,1.000000,5.015908,0.085614,0.108579,0,1
31,1.000000,-0.710404,0.690993,5.112839,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,653.917,837.720,,653.917,837.720,,869.024,869.024,653.917,837.720,653.917,837.720,869.024,869.024,0.000018,0.984402,0.038370,1.000000,5.005106,0.107733,0.129213,0,1
