frame,u_obs,v_obs,u_reproj,v_reproj,error_u,error_v,error_px
93,742.111,622.901,742.111,622.901,0.000161,0.000424,0.000454
94,741.809,622.113,741.809,622.112,-0.000116,-0.000688,0.000698
95,741.106,619.174,741.108,619.176,0.001660,0.001865,0.002497
96,742.166,620.595,742.165,620.596,-0.000600,0.000651,0.000886
97,740.500,626.500,740.500,626.499,0.000252,-0.000733,0.000775
98,740.854,626.938,740.854,626.938,0.000009,-0.000168,0.000169
99,741.964,629.445,741.964,629.445,-0.000101,0.000467,0.000478
100,742.128,646.028,742.128,646.028,0.000126,0.000134,0.000184
101,743.449,672.964,743.449,672.964,-0.000111,-0.000158,0.000194
102,743.445,701.887,743.445,701.888,-0.000050,0.000723,0.000724
103,742.455,728.398,742.457,728.386,0.002151,-0.012217,0.012405
104,742.280,729.242,742.279,729.226,-0.001324,-0.016240,0.016294
105,740.928,702.666,740.928,702.667,-0.000063,0.000912,0.000914
106,738.009,676.460,738.009,676.460,0.000083,-0.000213,0.000229
107,735.443,651.343,735.443,651.343,-0.000246,0.000291,0.000381
108,732.526,635.496,732.526,635.499,-0.000472,0.002656,0.002697
109,731.823,633.213,731.824,633.211,0.001344,-0.001825,0.002267
110,741.261,618.901,741.233,618.920,-0.028208,0.019155,0.034097
111,732.957,615.410,732.958,615.409,0.000983,-0.000631,0.001168
112,730.039,610.972,730.039,610.976,0.000045,0.003785,0.003786
113,729.350,610.753,729.347,610.751,-0.002912,-0.002276,0.003696
114,727.646,612.999,727.646,613.000,0.000302,0.000615,0.000685
115,727.010,620.145,727.010,620.145,-0.000154,-0.000234,0.000280
116,724.708,624.816,724.708,624.816,0.000109,-0.000253,0.000276
117,723.738,628.195,723.738,628.196,-0.000026,0.000730,0.000730
118,722.984,640.907,722.984,640.906,0.000079,-0.001046,0.001049
119,722.371,646.447,722.371,646.448,-0.000179,0.000848,0.000867
120,718.847,667.274,718.847,667.274,0.000100,-0.000166,0.000194
121,715.966,694.234,715.966,694.234,0.000135,-0.000167,0.000215
122,713.618,724.342,713.618,724.343,-0.000452,0.001268,0.001346
123,706.600,760.939,706.611,760.895,0.010860,-0.043504,0.044839
124,706.793,759.274,706.781,759.315,-0.011666,0.040585,0.042228
125,705.451,757.179,705.470,757.127,0.018720,-0.052192,0.055447
126,716.100,715.052,716.099,715.054,-0.001080,0.002055,0.002322
127,716.550,692.902,716.550,692.904,0.000245,0.001923,0.001939
128,715.326,692.329,715.326,692.327,0.000087,-0.002193,0.002195
129,715.000,668.000,715.000,668.003,-0.000162,0.002948,0.002953
130,714.837,658.477,714.837,658.473,0.000377,-0.004270,0.004287
131,718.751,617.959,718.751,617.961,-0.000111,0.001676,0.001679
132,721.952,599.175,721.952,599.175,-0.000045,-0.000286,0.000289
133,723.888,590.364,723.888,590.366,-0.000217,0.002161,0.002172
134,725.767,590.790,725.768,590.788,0.000527,-0.001839,0.001913
135,729.747,590.347,729.747,590.348,-0.000441,0.000626,0.000765
136,733.629,594.130,733.629,594.130,-0.000092,-0.000030,0.000097
137,737.060,604.624,737.060,604.625,0.000336,0.000898,0.000959
138,743.387,625.487,743.386,625.485,-0.000583,-0.002088,0.002168
139,742.841,625.163,742.841,625.164,0.000356,0.001412,0.001457
140,744.982,642.215,744.982,642.215,-0.000042,-0.000130,0.000137
141,747.264,667.901,747.264,667.902,0.000001,0.000803,0.000803
142,749.004,698.536,749.004,698.534,-0.000099,-0.002419,0.002421
143,749.511,699.356,749.511,699.358,0.000147,0.002211,0.002216
144,751.924,729.204,751.924,729.204,-0.000076,-0.000264,0.000274
145,753.686,761.492,753.687,761.502,0.001453,0.009525,0.009636
146,755.143,780.037,755.140,779.998,-0.003132,-0.039227,0.039352
147,753.875,750.301,753.877,750.299,0.002154,-0.002136,0.003033
148,753.510,712.851,753.510,712.854,0.000030,0.002999,0.002999
149,753.461,712.037,753.461,712.034,-0.000132,-0.002902,0.002905
150,752.091,678.255,752.091,678.257,0.000138,0.001658,0.001664
151,752.724,651.585,752.724,651.585,0.000048,0.000006,0.000049
152,755.175,629.991,755.175,629.991,0.000042,-0.000460,0.000462
153,757.770,611.264,757.770,611.267,-0.000384,0.002716,0.002743
154,757.240,610.539,757.240,610.537,0.000147,-0.002100,0.002106
155,756.568,598.808,756.568,598.808,-0.000021,0.000479,0.000479
156,755.352,591.199,755.352,591.203,0.000201,0.003609,0.003615
157,754.315,589.790,754.316,589.785,0.000781,-0.004711,0.004775
158,753.606,589.922,753.605,589.924,-0.001030,0.002305,0.002525
159,751.829,595.874,751.829,595.874,-0.000085,-0.000188,0.000206
160,749.534,607.548,749.534,607.549,0.000299,0.000871,0.000921
161,750.500,632.000,750.500,632.000,-0.000017,-0.000489,0.000489
162,751.018,654.664,751.018,654.665,-0.000410,0.001130,0.001202
163,748.146,679.530,748.153,679.490,0.006745,-0.040100,0.040664
164,749.181,682.052,749.176,682.136,-0.004911,0.084210,0.084353
165,748.423,715.327,748.425,715.212,0.001992,-0.115154,0.115171
166,749.528,669.230,749.527,669.278,-0.001450,0.047525,0.047547
167,752.590,656.863,752.598,656.925,0.008044,0.061707,0.062229
168,760.438,699.424,760.422,699.361,-0.015805,-0.062537,0.064503
169,759.869,697.172,759.883,697.171,0.013813,-0.001030,0.013851
170,769.046,672.944,769.044,672.956,-0.002078,0.011826,0.012007
171,778.949,651.506,778.949,651.506,-0.000125,-0.000224,0.000256
172,784.414,634.461,784.414,634.462,-0.000269,0.000711,0.000760
173,785.408,632.492,785.409,632.491,0.000506,-0.000568,0.000761
174,792.965,627.293,792.963,627.293,-0.001559,-0.000165,0.001568
175,797.064,623.894,797.069,623.903,0.004983,0.008686,0.010014
176,802.222,628.819,802.222,628.820,-0.000471,0.001264,0.001349
177,802.294,630.595,802.300,630.528,0.005765,-0.066597,0.066846
178,804.180,582.952,804.180,582.960,-0.000411,0.008030,0.008040
179,802.523,580.622,802.523,580.619,0.000168,-0.003465,0.003469
180,801.308,534.414,801.308,534.415,-0.000319,0.001160,0.001203
181,797.713,492.265,797.716,492.267,0.002615,0.001748,0.003146
182,800.545,460.251,800.545,460.250,-0.000201,-0.000717,0.000745
183,801.964,433.316,801.964,433.318,-0.000133,0.001857,0.001861
184,801.104,431.168,801.104,431.166,0.000157,-0.002090,0.002096
185,801.718,407.630,801.718,407.631,-0.000084,0.000707,0.000712
186,801.909,391.285,801.909,391.285,0.000097,-0.000021,0.000099
187,803.110,382.486,803.110,382.487,-0.000140,0.000520,0.000538
188,802.856,382.435,802.856,382.434,0.000082,-0.000710,0.000715
189,802.779,377.221,802.780,377.222,0.000905,0.000733,0.001165
190,801.911,375.271,801.905,375.276,-0.005768,0.004799,0.007503
191,797.452,383.394,797.453,383.394,0.000562,0.000060,0.000566
192,798.039,398.964,798.039,398.965,-0.000163,0.000536,0.000560
193,798.500,418.000,798.500,417.999,0.000034,-0.001061,0.001061
194,799.049,418.829,799.049,418.829,-0.000095,-0.000236,0.000254
195,798.681,419.284,798.681,419.285,0.000145,0.001290,0.001298
196,799.737,445.212,799.737,445.211,-0.000160,-0.000868,0.000883
197,798.971,473.306,798.971,473.307,-0.000014,0.001092,0.001092
198,798.123,507.557,798.123,507.553,0.000186,-0.003945,0.003949
199,799.458,511.446,799.458,511.449,-0.000111,0.002621,0.002624
200,800.494,550.610,800.494,550.609,0.000185,-0.000716,0.000739
201,802.959,598.128,802.958,598.131,-0.000508,0.002861,0.002906
