frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,contact_depth_offset_used_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap
1,0.000000,-0.933278,0.907353,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.000,837.500,,654.000,837.500,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,1,0,0,0,0,foot,left,left_foot,left_foot,0.938462,6.709749,654.000,837.500,619.738,842.576,0.091118,0.091118,6.809824,6.718706,4.968519,6.718706,0.100075
2,0.033333,-0.932759,0.908579,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.170,837.902,,654.170,837.902,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,1,0,1,0,1,floor,,floor,left_foot,0.937442,6.703704,654.170,837.902,618.738,842.933,0.200667,0.200667,6.919373,6.718706,4.969635,6.718706,0.215668
3,0.066667,-0.932967,0.908781,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.102,837.968,,654.102,837.968,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,1,0,0,0,1,foot,left,left_foot,left_foot,0.934794,6.695471,654.102,837.968,618.738,842.920,0.157906,0.157906,6.876612,6.718706,4.971676,6.718706,0.181140
4,0.100000,-0.933885,0.908408,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.801,837.846,,653.801,837.846,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,1,0,0,0,1,foot,left,left_foot,left_foot,0.932170,6.688560,653.801,837.846,618.353,843.746,0.178775,0.178775,6.897481,6.718706,4.974477,6.718706,0.208921
5,0.133333,-0.933979,0.908344,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.770,837.825,,653.770,837.825,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,1,0,0,0,0,foot,left,left_foot,left_foot,0.928628,6.679928,653.770,837.825,618.352,843.730,0.151302,0.151302,6.870008,6.718706,4.977691,6.718706,0.190080
6,0.166667,-0.933830,0.908210,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.819,837.781,,653.819,837.781,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,1,0,0,0,0,foot,left,left_foot,left_foot,0.924734,6.670431,653.819,837.781,618.351,843.713,0.180867,0.180867,6.899573,6.718706,4.981020,6.718706,0.229142
7,0.200000,-0.933683,0.908174,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.867,837.769,,653.867,837.769,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,1,0,0,0,0,foot,left,left_foot,left_foot,0.923400,6.663061,653.867,837.769,618.483,843.718,0.180699,0.180699,6.899405,6.718706,4.984250,6.718706,0.236344
8,0.233333,-0.933491,0.908046,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.930,837.727,,653.930,837.727,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,1,0,0,0,0,foot,left,left_foot,left_foot,0.923543,6.660546,653.930,837.727,618.357,842.798,0.183299,0.183299,6.902005,6.718706,4.987540,6.718706,0.241458
9,0.266667,-0.933320,0.907817,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.986,837.652,,653.986,837.652,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,1,0,0,0,0,foot,left,left_foot,left_foot,0.924749,6.660575,653.986,837.652,618.351,844.116,0.112531,0.112531,6.831237,6.718706,4.990995,6.718706,0.170662
10,0.300000,-0.933162,0.907686,6.718706,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.038,837.609,,654.038,837.609,,,868.998,proxy_support,radius_free_proxy_observations,0.984126,0.000000,0,1,0,0,0,0,foot,left,left_foot,left_foot,0.926108,6.658776,654.038,837.609,617.969,842.875,0.084395,0.084395,6.803101,6.718706,4.994220,6.718706,0.144325
