frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,global_z_ref,contact_depth_gap,audio_support,audio_anchor,audio_event_type
1,0.000000,-0.333212,0.080323,3.886129,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,514.076,390.355,46.265,514.076,390.355,45.349,435.704,668.476,floor,ball_contact_events,0.617236,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.053659,3.667256,3.852399,0.218873,0.000000,0,
2,0.041667,-0.325255,0.046866,3.773638,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,513.419,378.239,46.539,513.419,378.239,46.701,424.940,668.476,floor,ball_contact_events,0.617236,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,-0.054241,3.663545,3.841154,0.110093,0.000000,0,
3,0.083333,-0.312753,0.039479,3.660486,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,514.522,375.839,46.553,514.522,375.839,48.145,423.984,668.476,floor,ball_contact_events,0.617236,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,-0.050013,3.660486,3.829910,0.000000,0.000000,0,
4,0.125000,-0.311480,0.046388,3.693242,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,516.141,378.446,45.554,516.141,378.446,47.718,426.164,668.476,floor,ball_contact_events,0.617236,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,-0.037309,3.669440,3.818665,0.023802,0.000000,0,
5,0.166667,-0.305979,0.085723,3.722016,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,519.269,393.824,47.204,519.269,393.824,47.349,441.173,668.476,floor,ball_contact_events,0.617236,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,-0.009671,3.685719,3.807420,0.036297,0.000000,0,
6,0.208333,-0.301768,0.153256,3.745276,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.670,420.095,48.281,521.670,420.095,47.055,467.150,668.476,floor,ball_contact_events,0.617236,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.032352,3.706092,3.796175,0.039184,0.000000,0,
7,0.250000,-0.299999,0.261688,3.763160,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,522.923,462.126,51.399,522.923,462.126,46.831,508.957,668.476,floor,ball_contact_events,0.617236,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.089653,3.749129,3.784931,0.014031,0.000000,0,
8,0.291667,-0.295807,0.397157,3.776807,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,524.976,514.434,45.820,524.976,514.434,46.662,561.096,668.476,floor,ball_contact_events,0.617236,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.131219,3.786225,3.773686,-0.009419,0.474190,0,
9,0.333333,-0.285378,0.576565,3.780778,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.148,583.961,45.684,529.148,583.961,46.613,630.574,668.476,floor,ball_contact_events,0.617236,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.158073,3.815989,3.762441,-0.035211,0.711285,0,
10,0.375000,-0.286482,0.620176,3.770681,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,528.421,601.546,46.220,528.421,601.546,46.738,648.284,668.476,floor,ball_contact_events,0.617236,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.168980,3.840481,3.751196,-0.069800,0.948380,0,bounce
11,0.416667,-0.287306,0.504894,3.749308,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.462,557.767,44.654,527.462,557.767,47.004,604.771,668.476,floor,ball_contact_events,0.617236,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.165606,3.852963,3.739951,-0.103654,0.711285,0,
12,0.458333,-0.282249,0.400313,3.736699,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.070,517.332,45.213,529.070,517.332,47.163,564.495,668.476,floor,ball_contact_events,0.617236,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.148050,3.847499,3.728707,-0.110801,0.474190,0,
