frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,global_z_ref,contact_depth_gap,audio_support,audio_anchor,audio_event_type
18,0.566667,-0.866088,0.847821,6.235046,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.002,839.544,36.741,654.002,839.544,42.397,881.941,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.207886,7.005423,6.235147,-0.770377,0.000000,0,
19,0.600000,-0.866410,0.848240,6.236713,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.970,839.612,36.770,653.970,839.612,42.386,881.998,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.208135,7.005694,6.236822,-0.768981,0.000000,0,
20,0.633333,-0.866236,0.848520,6.238394,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.114,839.630,36.770,654.114,839.630,42.375,882.005,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.208768,7.000780,6.238497,-0.762386,0.000000,0,
21,0.666667,-0.866541,0.848400,6.240098,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.090,839.506,36.770,654.090,839.506,42.363,881.869,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.207107,7.004317,6.240172,-0.764219,0.000000,0,
22,0.700000,-0.867048,0.848390,6.241837,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.996,839.419,36.544,653.996,839.419,42.351,881.770,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.204668,7.004880,6.241846,-0.763044,0.000000,0,
23,0.733333,-0.867251,0.848916,6.243622,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.012,839.519,36.543,654.012,839.519,42.339,881.858,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.202237,6.997117,6.243521,-0.753496,0.000000,0,
24,0.766667,-0.867632,0.848849,6.245466,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.968,839.407,36.770,653.968,839.407,42.327,881.734,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.196578,6.985474,6.245196,-0.740008,0.000000,0,
25,0.800000,-0.867943,0.849172,6.247380,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.952,839.429,36.770,653.952,839.429,42.314,881.743,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.189718,6.976687,6.246870,-0.729307,0.000000,0,
26,0.833333,-0.868273,0.849386,6.249370,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.933,839.409,36.938,653.933,839.409,42.300,881.709,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.181625,6.967778,6.248545,-0.718408,0.000000,0,
27,0.866667,-0.868775,0.849595,6.251429,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.857,839.384,36.938,653.857,839.384,42.286,881.670,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.176413,6.952919,6.250220,-0.701489,0.000000,0,
28,0.900000,-0.869185,0.850049,6.253539,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.816,839.443,36.938,653.816,839.443,42.272,881.715,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.171246,6.944088,6.251895,-0.690549,0.000000,0,
29,0.933333,-0.869101,0.850100,6.255654,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.949,839.360,36.938,653.949,839.360,42.258,881.618,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.169113,6.945466,6.253569,-0.689812,0.000000,0,
30,0.966667,-0.869530,0.850543,6.257697,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.898,839.418,36.938,653.898,839.418,42.244,881.662,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.171315,6.939274,6.255244,-0.681578,0.000000,0,
31,1.000000,-0.869725,0.850931,6.259551,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.920,839.466,36.770,653.920,839.466,42.231,881.697,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.175594,6.939247,6.256919,-0.679697,0.000000,0,
32,1.033333,-0.869430,0.851018,6.261049,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,654.097,839.425,37.010,654.097,839.425,42.221,881.646,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.181871,6.952808,6.258593,-0.691758,0.000000,0,
33,1.066667,-0.872424,0.850619,6.261976,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.089,839.240,36.846,653.089,839.240,42.215,881.455,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.189855,6.971805,6.260268,-0.709829,0.000000,0,
34,1.100000,-0.871297,0.851751,6.262065,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.490,839.634,36.846,653.490,839.634,42.214,881.848,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.195791,6.984333,6.261943,-0.722268,0.000000,0,
35,1.133333,-0.870980,0.851895,6.261018,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.550,839.735,36.846,653.550,839.735,42.221,881.956,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.204723,7.005196,6.263617,-0.744178,0.000000,0,
36,1.166667,-0.870700,0.851091,6.258533,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.527,839.571,37.014,653.527,839.571,42.238,881.809,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.211020,7.020286,6.265292,-0.761754,0.000000,0,
37,1.200000,-0.870097,0.850226,6.254360,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.535,839.466,36.600,653.535,839.466,42.266,881.732,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.215615,7.033266,6.266967,-0.778906,0.000000,0,
38,1.233333,-0.869585,0.849643,6.248381,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.422,839.547,36.627,653.422,839.547,42.307,881.854,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.215103,7.041344,6.268642,-0.792964,0.000000,0,
39,1.266667,-0.868149,0.848313,6.240725,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.553,839.445,36.786,653.553,839.445,42.359,881.804,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.212327,7.046837,6.270316,-0.806112,0.000000,0,
40,1.300000,-0.866788,0.847113,6.231919,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.601,839.444,36.936,653.601,839.444,42.419,881.863,879.464,floor,ball_contact_events,0.687020,0.000000,0,1,0,1,0,1,floor,,floor,left_hand,0.206229,7.050067,6.271991,-0.818149,0.000000,0,
41,1.333333,-0.865563,0.845799,6.223068,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.599,839.405,36.488,653.599,839.405,42.479,881.884,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.195739,7.051484,6.202454,-0.828415,0.000000,0,
42,1.366667,-0.864377,0.844701,6.216065,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.674,839.353,36.708,653.674,839.353,42.527,881.880,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.187229,7.065536,6.205206,-0.849471,0.000000,0,
43,1.400000,-0.863438,0.843909,6.212397,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.826,839.249,36.730,653.826,839.249,42.552,881.801,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.181959,7.081493,6.207958,-0.869096,0.000000,0,
44,1.433333,-0.863623,0.843668,6.213339,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.807,839.118,36.730,653.807,839.118,42.545,881.663,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.177376,7.112044,6.210710,-0.898704,0.000000,0,
45,1.466667,-0.864693,0.844806,6.220081,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.760,839.197,36.730,653.760,839.197,42.499,881.696,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.179378,7.127616,6.213462,-0.907535,0.000000,0,
46,1.500000,-0.866529,0.846698,6.233758,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.783,839.209,36.730,653.783,839.209,42.406,881.615,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.180660,7.157848,6.216214,-0.924090,0.000000,0,
47,1.533333,-0.869432,0.849839,6.255381,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.819,839.281,36.730,653.819,839.281,42.259,881.540,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.183892,7.161756,6.218966,-0.906375,0.000000,0,
48,1.566667,-0.873349,0.853818,6.285613,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.919,839.236,36.706,653.919,839.236,42.056,881.292,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.192210,7.136562,6.221719,-0.850950,0.000000,0,
49,1.600000,-0.879103,0.859305,6.324402,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.792,839.312,36.612,653.792,839.312,41.798,881.110,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.190006,7.142221,6.224471,-0.817819,0.000000,0,
50,1.633333,-0.886096,0.864925,6.370444,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.587,839.092,36.736,653.587,839.092,41.496,880.588,879.464,floor,ball_contact_events,0.687020,0.000000,0,1,0,0,0,1,hand,left,left_hand,left_hand,0.188215,7.126502,6.227223,-0.756058,0.000000,0,
51,1.666667,-0.893364,0.870336,6.420478,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.481,838.618,36.616,653.481,838.618,41.173,879.791,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,1,hand,left,left_hand,left_hand,0.176742,7.112470,6.229975,-0.691992,0.400000,0,
52,1.700000,-0.813991,0.727142,6.466543,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,682.704,787.710,39.538,682.704,787.710,40.879,828.589,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.182991,6.474989,6.232727,-0.008446,0.600000,0,
53,1.733333,-0.821363,0.733364,6.515686,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,682.303,787.945,39.386,682.303,787.945,40.571,828.516,879.464,floor,ball_contact_events,0.687020,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,0.181516,6.515686,6.235479,0.000000,0.800000,0,placement
54,1.766667,-0.759316,0.501025,6.453554,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,700.809,711.024,39.901,700.809,711.024,40.962,751.986,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.175901,6.545836,6.238231,-0.092283,0.600000,0,
55,1.800000,-0.722178,0.264819,6.398654,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,711.371,631.171,40.503,711.371,631.171,41.313,672.484,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.164652,6.575544,6.240983,-0.176890,0.400000,0,
56,1.833333,-0.701627,0.106169,6.353359,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,716.724,576.812,40.479,716.724,576.812,41.608,618.420,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.154254,6.600991,6.243735,-0.247632,0.000000,0,
57,1.866667,-0.674068,-0.046345,6.316157,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,724.903,523.836,41.269,724.903,523.836,41.853,565.689,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.150600,6.616515,6.246487,-0.300357,0.000000,0,
58,1.900000,-0.649509,-0.190855,6.288020,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,732.455,473.137,40.327,732.455,473.137,42.040,515.177,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.149571,6.609759,6.249239,-0.321739,0.000000,0,
59,1.933333,-0.643434,-0.194046,6.268551,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,733.883,471.808,40.116,733.883,471.808,42.171,513.979,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.151937,6.601097,6.251991,-0.332546,0.000000,0,
60,1.966667,-0.633990,-0.317628,6.256591,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,736.776,428.165,40.442,736.776,428.165,42.251,470.416,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.154267,6.586337,6.254743,-0.329746,0.000000,0,
61,2.000000,-0.624661,-0.422097,6.250658,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,739.852,391.241,41.441,739.852,391.241,42.291,433.532,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.156830,6.567871,6.257496,-0.317213,0.000000,0,
62,2.033333,-0.626493,-0.517806,6.249233,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,739.156,357.469,40.316,739.156,357.469,42.301,399.770,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.156791,6.552280,6.260248,-0.303046,0.000000,0,
63,2.066667,-0.622106,-0.591242,6.250935,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,740.762,331.639,40.055,740.762,331.639,42.289,373.928,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,-0.066476,6.694768,6.263000,-0.443834,0.000000,0,
64,2.100000,-0.622806,-0.593016,6.254596,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,740.644,331.136,40.055,740.644,331.136,42.265,373.401,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,-0.059610,6.700478,6.265752,-0.445883,0.000000,0,
