frame,time,active_side,active_object_point_id,active_object_u,active_object_v,min_object_boundary_gap_px,active_part_distance_px,proposal_score,anchor_score,confidence_level,is_candidate,anchor_contact_state
64,2.100000,left,boundary_028,726.000,380.000,488.300490,488.300490,0.000000,0.000000,none,0,0
65,2.133333,left,boundary_026,727.000,359.000,510.142295,510.142295,0.157051,0.037640,none,0,0
66,2.166667,left,boundary_027,731.000,343.000,527.022037,527.022037,0.188199,0.056460,none,0,0
67,2.200000,left,boundary_029,733.000,334.000,537.603374,537.603374,0.324859,0.075280,none,0,0
68,2.233333,left,boundary_029,731.000,334.000,537.275827,537.275827,0.188199,0.056460,none,0,0
69,2.266667,left,boundary_027,734.000,328.000,544.405149,544.405149,0.125466,0.037640,none,0,0
70,2.300000,left,boundary_030,737.000,330.000,543.370000,543.370000,0.000000,0.000000,none,0,0
71,2.333333,left,boundary_030,735.000,334.000,539.141720,539.141720,0.093957,0.000000,none,0,0
72,2.366667,left,boundary_029,745.000,344.000,532.635182,532.635182,0.000000,0.000000,none,0,0
73,2.400000,left,boundary_025,731.000,356.000,516.722778,516.722778,0.000000,0.000000,none,0,0
74,2.433333,left,boundary_028,735.000,356.000,515.270716,515.270716,0.134569,0.000000,none,0,0
75,2.466667,left,boundary_028,738.000,375.000,493.095455,493.095455,0.445306,0.000000,none,0,0
76,2.500000,left,boundary_026,731.000,397.000,463.538665,463.538665,0.082246,0.000000,none,0,0
77,2.533333,left,boundary_028,740.000,427.000,430.614339,430.614339,0.101600,0.000000,none,0,0
78,2.566667,left,boundary_026,735.000,457.000,394.515871,394.515871,0.154237,0.000000,none,0,0
79,2.600000,left,boundary_026,735.000,457.000,390.382699,390.382699,0.624719,0.000000,none,0,0
80,2.633333,left,boundary_027,739.000,495.000,347.812430,347.812430,0.714127,0.000000,none,0,0
81,2.666667,left,boundary_027,738.000,533.000,302.115418,302.115418,0.233849,0.000000,none,0,0
82,2.700000,left,boundary_028,744.000,582.000,244.106390,244.106390,0.366946,0.000000,none,0,0
83,2.733333,left,boundary_028,744.000,582.000,236.275506,236.275506,0.983679,0.000000,none,0,0
84,2.766667,left,boundary_026,739.000,630.000,170.897102,170.897102,1.000000,0.000000,none,0,0
85,2.800000,left,boundary_029,752.000,677.000,104.457360,104.457360,0.022477,0.000000,none,0,0
86,2.833333,left,boundary_035,767.000,735.000,31.039175,31.039175,1.000000,0.238777,none,1,1
87,2.866667,left,boundary_036,768.000,756.000,6.262189,6.262189,1.000000,0.689335,soft,1,1
